element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Hg	2	"200.4667"	"0.0003"	"200.46684"	"0.00010"	"45"	"5.2e+07"		"11.8162072"	"17.9989795"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"5/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,5/2]"	"5/2"	6	6		"T7226"	"L11760"	
Hg	2	"201.0342"	"0.0003"	"201.03418"	"0.00010"	"3.5"	"1.1e+06"		"10.5183412"	"16.6836676"	"5d9.6s.6p"	"(2D<5/2>,3P<1>)*"	"5/2"	"5d10.8d"	"2D"	"3/2"	6	4		"T7226"	"L11760"	
Hg	2	"201.5171"	"0.0003"	"201.51697"	"0.00010"	"4"	"8.5e+06"		"11.8162072"	"17.9667648"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"5/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,5/2]"	"3/2"	6	4		"T7226"	"L11760"	
Hg	2	"201.7249"	"0.0003"	"201.72481"	"0.00010"	"7"	"1.0e+07"		"12.0383417"	"18.1825633"	"5d9.6s.6p"	"(2D<3/2>,3P<0>)*"	"3/2"	"5d9.6p2"	"(2D<5/2>,3P<0>)"	"5/2"	4	6		"T7226"	"L11760"	
Hg	2	"202.2298"	"0.0003"	"202.22916"	"0.00010"	"50u"	"1.4e+08"		"13.5112688"	"19.640169"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"5/2"	"5d9.6p2"	"(2D<5/2>,3P<2>)"	"7/2"	6	8		"T7226"	"L11760"	
Hg	2	"202.2326"	"0.0003"	"202.23291"	"0.00010"	"600p"	"7.7e+07"		"11.8017287"	"17.9305154"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"7/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,3/2]"	"9/2"	8	10		"T7226"	"L11760"	
Hg	2	"202.6860"	"0.0002"	"202.68598"	"0.00010"	"175000"	"1.6e+07"		"4.40325219"	"10.5183412"	"5d9.6s2"	"2D"	"5/2"	"5d9.6s.6p"	"(2D<5/2>,3P<1>)*"	"5/2"	6	6		"T7226"	"L11760"	
Hg	2	"202.9574"	"0.0003"	"202.95695"	"0.00010"	"20"	"1.8e+07"		"11.8162072"	"17.9231329"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"5/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,3/2]"	"3/2"	6	4		"T7226"	"L11760"	
Hg	2	"203.1753"	"0.0003"	"203.17474"	"0.00010"	"3.5"	"9.0e+06"		"13.1529893"	"19.253370"	"5d9.6s.6p"	"(2D<5/2>,1P<1>)*"	"3/2"	"5d9.6p2"	"(2D<5/2>,3P<1>)"	"5/2"	4	6		"T7226"	"L11760"	
Hg	2	"203.7730"	"0.0003"	"203.77279"	"0.00010"	"3.5"	"1.9e+07"		"11.925784"	"18.008263"	"5d9.6s.6p"	"(2D<5/2>,3P<2>)*"	"1/2"	"5d9.6s.6d"	"[(2D<5/2>,1/2)<3>,5/2]"	"1/2"	2	2		"T7226"	"L11760"	
