element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Kr	1	"349.59897"	"349.598894+"	"10"	"1.77e+04"	C	"9.91523229"	"13.46068780"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<1/2>).6p"	"2[3/2]"	"2"	5	5		"T3952n,T3408,T7199"	"L4054"	
Kr	1	"350.25537"	"350.255262+"	"20"	"2.30e+05"	D+	"9.91523229"	"13.45404392"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<1/2>).6p"	"2[1/2]"	"1"	5	3		"T3952n,T3408,T7199"	"L7350"	
Kr	1	"351.18963"	"351.189443+"	"4"	"1.33e+04"	C	"9.91523229"	"13.44463078"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<1/2>).6p"	"2[3/2]"	"1"	5	3		"T3952n,T3408,T7199"	"L7350"	
Kr	1	"361.54749"	"361.547453+"	"20"	"1.14e+05"	C	"10.03240062"	"13.46068780"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<1/2>).6p"	"2[3/2]"	"2"	3	5		"T3952n,T3408,T7199"	"L4054"	
Kr	1	"362.253"	"362.249497+"	"1"	"4.0e+03"	D	"10.03240062"	"13.45404392"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<1/2>).6p"	"2[1/2]"	"1"	3	3		"T3952n,T3408,T7199"	"L7408"	
Kr	1	"363.24896"	"363.248842+"	"4"	"9.7e+03"	C	"10.03240062"	"13.44463078"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<1/2>).6p"	"2[3/2]"	"1"	3	3		"T3952n,T3408,T7199"	"L7350"	
Kr	1	"366.53254"	"366.53244+"	"80"	"2.33e+06"	C	"9.91523229"	"13.2968946"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).7p"	"2[3/2]"	"2"	5	5		"T4229n,T7199,T3378"	"L4054"	
Kr	1	"377.34238"	"377.34230+"	"50"	"1.98e+06"	C	"10.03240062"	"13.3171897"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	"4s2.4p5.(2P*<3/2>).7p"	"2[1/2]"	"0"	3	1		"T4229n,T7199,T3378"	"L4054"	
Kr	2	"425.05798"	"425.0580+"	"150"	"1.2e+07"	D	"14.6889484"	"17.6050048"	"4s2.4p4.(3P).5s"	"2P"	"3/2"	"4s2.4p4.(3P).5p"	"2D*"	"3/2"	4	4		"T3408"	"L605"	
Kr	1	"427.396943"	"427.39694+"	"1000"	"1.99e+06"	C+	"9.91523229"	"12.81533065"	"4s2.4p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	"4s2.4p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	5	5		"T3408n,T7199,T3378"	"L11281"	
