element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Li	3	""	"208.192538"	"0.000004"	""	"4.7555e+08"	AA	"(108.8480984778)"	"(114.801468575)"	"3p"	"2P*"	"1/2"	"4d"	"2D"	"3/2"	2	4		"T8637"	""	
Li	3	""	"208.195216"	"0.000004"	""	"2.4853e+08"	AA	"(108.848175812)"	"(114.8014693419)"	"3s"	"2S"	"1/2"	"4p"	"2P*"	"3/2"	2	4		"T8637"	""	
Li	3	""	"208.207444"	"0.000004"	""	"4.9601e+07"	AA	"(108.8480984778)"	"(114.801042400)"	"3p"	"2P*"	"1/2"	"4s"	"2S"	"1/2"	2	2		"T8637"	""	
Li	3	""	"208.211294"	"0.000004"	""	"2.4849e+08"	AA	"(108.848175812)"	"(114.8010096962)"	"3s"	"2S"	"1/2"	"4p"	"2P*"	"1/2"	2	2		"T8637"	""	
Li	3	""	"208.225239"	"0.000004"	""	"1.0431e+09"	AA	"(108.84918622311)"	"(114.8016214842)"	"3d"	"2D"	"3/2"	"4f"	"2F*"	"5/2"	4	6		"T8637"	""	
Li	3	""	"208.225292"	"0.000004"	""	"5.7042e+08"	AA	"(108.8491880200)"	"(114.801621761)"	"3p"	"2P*"	"3/2"	"4d"	"2D"	"5/2"	4	6		"T8637"	""	
Li	3	""	"208.230562"	"0.000004"	""	"2.8167e+06"	AA	"(108.84918622311)"	"(114.8014693419)"	"3d"	"2D"	"3/2"	"4p"	"2P*"	"3/2"	4	4		"T8637"	""	
Li	3	""	"208.230652"	"0.000004"	""	"9.5063e+07"	AA	"(108.8491880200)"	"(114.801468575)"	"3p"	"2P*"	"3/2"	"4d"	"2D"	"3/2"	4	4		"T8637"	""	
Li	3	""	"208.235263"	"0.000004"	""	"1.1174e+09"	AA	"(108.84954932554)"	"(114.8016980730)"	"3d"	"2D"	"5/2"	"4f"	"2F*"	"7/2"	6	8		"T8637"	""	
Li	3	""	"208.237943"	"0.000004"	""	"7.4491e+07"	AA	"(108.84954932554)"	"(114.8016214842)"	"3d"	"2D"	"5/2"	"4f"	"2F*"	"5/2"	6	6		"T8637"	""	
Li	3	""	"208.243267"	"0.000004"	""	"2.5347e+07"	AA	"(108.84954932554)"	"(114.8014693419)"	"3d"	"2D"	"5/2"	"4p"	"2P*"	"3/2"	6	4		"T8637"	""	
Li	3	""	"208.245564"	"0.000004"	""	"9.9164e+07"	AA	"(108.8491880200)"	"(114.801042400)"	"3p"	"2P*"	"3/2"	"4s"	"2S"	"1/2"	4	2		"T8637"	""	
Li	3	""	"208.246645"	"0.000004"	""	"2.8166e+07"	AA	"(108.84918622311)"	"(114.8010096962)"	"3d"	"2D"	"3/2"	"4p"	"2P*"	"1/2"	4	2		"T8637"	""	
Li	2	"232.984"	"232.9801"	"0.0010"	"*"	"1.1758e+07"	AAA	"68.780786"	"74.100818"	"1s.3s"	"3S"	"1"	"1s.6p"	"3P*"	"2"	3	5		"T8636c73"	"L3501"	
Li	2	"232.984"	"232.9838"	"0.0010"	"*"	"1.1758e+07"	AAA	"68.780786"	"74.100735"	"1s.3s"	"3S"	"1"	"1s.6p"	"3P*"	"1"	3	3		"T8636c73"	"L3501"	
Li	2	"232.984"	"232.9858"	"0.0010"	"*"	"1.1758e+07"	AAA	"68.780786"	"74.100687"	"1s.3s"	"3S"	"1"	"1s.6p"	"3P*"	"0"	3	1		"T8636c73"	"L3501"	
Li	1	"233.394"	"233.3937"	"0.0010"	"*"	"1.09e+05"	B'	"0.000000"	"5.310605"	"1s2.2s"	"2S"	"1/2"	"1s2.13p"	"2P*"	"3/2"	2	4		"T117"	"L7397"	
Li	1	"233.394"	"233.3937"	"0.0010"	"*"	"1.09e+05"	B'	"0.000000"	"5.310605"	"1s2.2s"	"2S"	"1/2"	"1s2.13p"	"2P*"	"1/2"	2	2		"T117"	"L7397"	
Li	1	"234.015"	"234.0154"	"0.0010"	"*"	"1.34e+05"	B'	"0.000000"	"5.296498"	"1s2.2s"	"2S"	"1/2"	"1s2.12p"	"2P*"	"3/2"	2	4		"T117"	"L7397"	
Li	1	"234.015"	"234.0154"	"0.0010"	"*"	"1.34e+05"	B'	"0.000000"	"5.296498"	"1s2.2s"	"2S"	"1/2"	"1s2.12p"	"2P*"	"1/2"	2	2		"T117"	"L7397"	
Li	1	"234.822"	"234.840"	"0.010"	"*"	"1.65e+05"	B'	"0.000000"	"5.27790"	"1s2.2s"	"2S"	"1/2"	"1s2.11p"	"2P*"	"1/2"	2	2		"T117"	"L7397"	
Li	1	"234.822"	"234.840"	"0.010"	"*"	"1.65e+05"	B'	"0.000000"	"5.27790"	"1s2.2s"	"2S"	"1/2"	"1s2.11p"	"2P*"	"3/2"	2	4		"T117"	"L7397"	
Li	1	"235.893"	"235.8929"	"0.0010"	"*"	"2.09e+05"	B'	"0.000000"	"5.254346"	"1s2.2s"	"2S"	"1/2"	"1s2.10p"	"2P*"	"3/2"	2	4		"T117"	"L7397"	
Li	1	"235.893"	"235.8929"	"0.0010"	"*"	"2.09e+05"	B'	"0.000000"	"5.254346"	"1s2.2s"	"2S"	"1/2"	"1s2.10p"	"2P*"	"1/2"	2	2		"T117"	"L7397"	
Li	2	""	"236.78"	"0.10"	""	"7.9551e+06"	AAA	"69.279628"	"74.5143"	"1s.3s"	"1S"	"0"	"1s.7p"	"1P*"	"1"	1	3		"T8636c73"	""	
