element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Mn	2	"200.191"	"0.002"	"200.1896"	"0.0004"	"60H"	"1.8e+08"	D	"7.3817036"	"13.573036"	"3d6"	"c 1G"	"4"	"3d5.(b 2G).4p"	"v 1G*"	"4"	9	9		"c88"	"L562"	
Mn	2	"203.731"	"0.002"	"203.73039"	"0.00025"	"500"	"1.4e+08"	D	"3.784458"	"9.868202"	"3d6"	"a 3H"	"6"	"3d5.(2I).4p"	"y 3H*"	"6"	13	13		"c88"	"L562"	
Mn	2	"203.7643"	"0.0006"	"203.76474"	"0.00017"	"400"	"1.2e+08"	D	"3.803774"	"9.886494"	"3d6"	"a 3H"	"5"	"3d5.(2I).4p"	"y 3H*"	"5"	11	11		"c88"	"L562"	
Mn	2	"203.997"	"0.002"	"203.99717"	"0.00021"	"400*"	"1.2e+08"	D	"3.818225"	"9.894015"	"3d6"	"a 3H"	"4"	"3d5.(2I).4p"	"y 3H*"	"4"	9	9		"c88"	"L562"	
Mn	2	"207.6210"	"0.0006"	"207.6217"	"0.0003"	"300"	"1.2e+08"	D	"4.800700"	"10.770438"	"3d6"	"a 1I"	"6"	"3d5.(2H).4p"	"y 1I*"	"6"	13	13		"c88"	"L562"	
Mn	2	"208.476"	"0.002"	"208.47656"	"0.00022"	"100"	"4.2e+07"	D	"3.784458"	"9.729718"	"3d6"	"a 3H"	"6"	"3d5.(2I).4p"	"z 3I*"	"7"	13	15		"c88"	"L562"	
Mn	2	"208.891"	"0.002"	"208.8924"	"0.0003"	"40"	"7.e+07"	D	"5.3968661"	"11.330293"	"3d5.(4F).4s"	"a 5F"	"5"	"3d4.(5D).4s.4p.(3P*)"	"w 5F*"	"5"	11	11		"c88"	"L562"	
Mn	2	"209.7463"	"0.0006"	"209.74753"	"0.00018"	"200"	"4.6e+07"	D	"3.803774"	"9.713014"	"3d6"	"a 3H"	"5"	"3d5.(2I).4p"	"z 3I*"	"6"	11	13		"c88"	"L562"	
Mn	2	"210.250"	"0.002"	"210.24965"	"0.00018"	"200"	"9.e+07"	D	"4.823218"	"10.718347"	"3d6"	"a 1G"	"4"	"3d5.(4F).4p"	"3F*"	"4"	9	9		"c88"	"L562"	
Mn	2	"211.3964"	"0.0006"	"211.39784"	"0.00022"	"300"	"5.3e+07"	D	"3.818225"	"9.681338"	"3d6"	"a 3H"	"4"	"3d5.(2I).4p"	"z 3I*"	"5"	9	11		"c88"	"L562"	
Mn	2	"211.940"	"0.002"	"211.9437"	"0.0003"	"30"	"7.e+07"	D	"6.1846056"	"12.032622"	"3d5.(4F).4s"	"c 3F"	"4"	"3d4.(5D).4s.4p.(3P*)"	"s 3F*"	"4"	9	9		"c88"	"L562"	
Mn	2	"211.978"	"0.002"	"211.97742"	"0.00018"	"60*"	"1.3e+08"	D	"4.823218"	"10.670303"	"3d6"	"a 1G"	"4"	"3d5.(a 2F).4p"	"y 1F*"	"3"	9	7		"c88"	"L562"	
Mn	2	"213.3452"	"0.0006"	"213.34555"	"0.00018"	"100"	"8.e+07"	D	"4.823218"	"10.632812"	"3d6"	"a 1G"	"4"	"3d5.(a 2G).4p"	"1G*"	"4"	9	9		"c88"	"L562"	
Mn	2	"222.994"	"0.002"	"222.99399"	"0.00025"	"10"	"4.8e+07"	D	"4.3099509"	"9.868202"	"3d6"	"b 3G"	"5"	"3d5.(2I).4p"	"y 3H*"	"6"	11	13		"c88"	"L562"	
Mn	2	"222.999"	"0.002"	"222.99967"	"0.00020"	"10"	"4.9e+07"	D	"4.3283838"	"9.886494"	"3d6"	"b 3G"	"4"	"3d5.(2I).4p"	"y 3H*"	"5"	9	11		"c88"	"L562"	
Mn	2	"223.166"	"0.002"	"223.16576"	"0.00015"	"10"	"5.3e+07"	D	"4.3400408"	"9.894015"	"3d6"	"b 3G"	"3"	"3d5.(2I).4p"	"y 3H*"	"4"	7	9		"c88"	"L562"	
Mn	2	"229.8953"	"0.0002"	"229.89532"	"0.00003"	"60"	"8.6e+05"	C	"0.0000000"	"5.3914112"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(6S).4p"	"z 5P*"	"2"	7	5		"T7252c89"	"L18290"	
Mn	2	"230.5003"	"0.0002"	"230.50033"	"0.00003"	"100"	"1.46e+06"	C+	"0.0000000"	"5.3772613"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(6S).4p"	"z 5P*"	"3"	7	7		"T7252c89"	"L18290"	
Mn	25	""	""	"231.4"	"1.0"	""	"8.83e+06"	A	"(7619.13)"	"(7624.484)"	"3p"	"2P*"	"1/2"	"3d"	"2D"	"3/2"	2	4		"T7228extrap"	"L11926"	
Mn	2	"232.042"	"0.002"	"232.0386"	"0.0005"	"60*"	"1.2e+08"	D	"4.800700"	"10.142318"	"3d6"	"a 1I"	"6"	"3d5.(2I).4p"	"z 1I*"	"6"	13	13		"c88"	"L562"	
Mn	2	"232.715"	"0.002"	"232.71511"	"0.00016"	"12"	"9.e+05"	D	"3.420542"	"8.7466314"	"3d5.(4G).4s"	"a 5G"	"3"	"3d5.(4G).4p"	"z 3G*"	"4"	7	9		"T7259"	"L562"	
Mn	2	"233.2141"	"0.0006"	"233.2135"	"0.0003"	"15"	"4.8e+07"	D	"6.005305"	"11.320013"	"3d5.(2H).4s"	"b 3H"	"6"	"3d5.(b 2F).4p"	"u 3G*"	"5"	13	11		"c88"	"L562"	
Mn	2	"233.323"	"0.002"	"233.3234"	"0.0003"	"10"	"4.5e+07"	D	"5.992538"	"11.304743"	"3d5.(2H).4s"	"b 3H"	"5"	"3d5.(b 2F).4p"	"u 3G*"	"4"	11	9		"c88"	"L562"	
