element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Os	3	"200.11439"	"0.00090"	"200.1145"	"0.0005"	"232"	"9.00e+07"		"4.522187"	"10.715843"	"5d5.6s"	"36473"	"2"	"5d5.6p"	"86429*"	"3"	5	7		"T9870"	"L20381"	
Os	3	"200.24128"	"0.00090"	"200.2417"	"0.0006"	"464"	"2.07e+08"		"3.625038"	"9.814760"	"5d5.6s"	"29237"	"2"	"5d5.6p"	"79161*"	"1"	5	3		"T9870"	"L20381"	
Os	3	"200.46972"	"0.00090"	"200.4700"	"0.0005"	"881"	"2.28e+08"		"3.625038"	"9.807713"	"5d5.6s"	"29237"	"2"	"5d5.6p"	"79104*"	"2"	5	5		"T9870"	"L20381"	
Os	3	"200.54476"	"0.00090"	"200.5444"	"0.0005"	"15"	"1.67e+07"		"4.427503"	"10.607883"	"5d5.(4D).6s"	"5D"	"3"	"5d5.6p"	"85558*"	"4"	7	9		"T9870"	"L20381"	
Os	3	"200.67241"	"0.00090"	"200.6732"	"0.0005"	"32"	"1.46e+07"		"5.315436"	"11.491851"	"5d5.(2I).6s"	"3I"	"7"	"5d5.(4G).6p"	"5H*"	"6"	15	13		"T9870"	"L20381"	
Os	3	"200.96919"	"0.00090"	"200.9691"	"0.0009"	"481"	"3.10e+08"		"3.743876"	"9.91120"	"5d5.(4P).6s"	"5P"	"1"	"5d5.(4P).6p"	"5D*"	"0"	3	1		"T9870"	"L20381"	
Os	3	"201.40397"	"0.00090"	"201.4030"	"0.0005"	"46"	"1.69e+07"		"5.112719"	"11.266758"	"5d5.(4F).6s"	"5F"	"5"	"5d5.(2I).6p"	"3K*"	"6"	11	13		"T9870"	"L20381"	
Os	3	"201.40397"	"0.00090"	"201.4041"	"0.0005"	"46"	"4.44e+07"		"5.864891"	"12.018897"	"5d5.6s"	"47303"	"4"	""	"96938*"	"4"	9	9		"T9870"	"L20381"	
Os	3	"201.71440"	"0.00090"	"201.7151"	"0.0005"	"21"	"5.80e+07"		"4.939853"	"11.084370"	""	"39842"	"2"	"5d5.6p"	"89401*"	"2"	5	5		"T9870"	"L20381"	
Os	3	"201.79485"	"0.00090"	"201.7940"	"0.0004"	"367"	"9.55e+07"		"5.056446"	"11.198560"	"5d5.(2I).6s"	"3I"	"6"	"5d5.6p"	"90322*"	"5"	13	11		"T9870"	"L20381"	
Os	3	"201.80097"	"0.00090"	"201.8012"	"0.0006"	"83"	"4.80e+07"		"3.215689"	"9.357586"	"5d5.6s"	"25936"	"3"	"5d5.(6S).6p"	"5P*"	"2"	7	5		"T9870"	"L20381"	
Os	3	"201.97103"	"0.00090"	"201.9708"	"0.0005"	"43"	"7.86e+07"		"5.393549"	"11.530290"	"5d5.(4F).6s"	"5F"	"4"	"5d5.6p"	"92998*"	"3"	9	7		"T9870"	"L20381"	
