element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
P	12	""	"207"	""	"7.9e+07"	C	"326.02"	"332.00"	"1s2.2s.3s"	"1S"	"0"	"1s2.2s.3p"	"1P*"	"1"	1	3		"T828"	""	
P	4	""	"208.8704"	""	"1.2e+08"	D	"27.171618"	"33.105669"	"3s.3d"	"1D"	"2"	"3p.3d"	"1D*"	"2"	5	5		"T1002"	""	
P	1	"213.5465"	"213.5469"	"400"	"2.11e+07"	C	"1.408587"	"7.2127021"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p2.(3P).4s"	"2P"	"3/2"	4	4		"T1220"	"L5148"	
P	1	"213.6182"	"213.6182"	"400"	"2.83e+08"	C	"1.410522"	"7.2127021"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p2.(3P).4s"	"2P"	"3/2"	6	4		"T1220"	"L5148"	
P	1	"214.9145"	"214.9142"	"400"	"3.18e+08"	C	"1.408587"	"7.1757806"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p2.(3P).4s"	"2P"	"1/2"	4	2		"T1220"	"L5148"	
P	1	"215.2940"	"215.2939"	"280"	"4.85e+07"	C	"2.321320"	"8.0783444"	"3s2.3p3"	"2P*"	"1/2"	"3s2.3p2.(1D).4s"	"2D"	"3/2"	2	4		"T1220"	"L5148"	
P	1	"215.4080"	"215.4072"	"500"	"5.8e+07"	C	"2.324457"	"8.0784540"	"3s2.3p3"	"2P*"	"3/2"	"3s2.3p2.(1D).4s"	"2D"	"5/2"	4	6		"T1220"	"L5148"	
P	1	""	"215.4113"	""	"1.73e+07"	C	"2.324457"	"8.0783444"	"3s2.3p3"	"2P*"	"3/2"	"3s2.3p2.(1D).4s"	"2D"	"3/2"	4	4		"T1220"	""	
P	1	""	"222.2586"	""	"5.4e+03"	E	"1.408587"	"6.9852271"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	4	6		"T1220"	""	
P	1	""	"222.3358"	""	"8.8e+04"	E	"1.410522"	"6.9852271"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p2.(3P).4s"	"4P"	"5/2"	6	6		"T1220"	""	
P	1	""	"223.4961"	""	"1.3e+05"	E	"1.408587"	"6.9543513"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	4	4		"T1220"	""	
P	1	"223.5732"	"223.5742"	"180"	"6.2e+05"	E	"1.410522"	"6.9543513"	"3s2.3p3"	"2D*"	"5/2"	"3s2.3p2.(3P).4s"	"4P"	"3/2"	6	4		"T1220"	"L5148"	
P	1	""	"224.2543"	""	"4.0e+05"	E	"1.408587"	"6.9356043"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p2.(3P).4s"	"4P"	"1/2"	4	2		"T1220"	""	
P	5	"242.440"	"242.4403"	"375"	"6.4e+08"	C	"37.711142"	"42.823599"	"2p6.4p"	"2P*"	"1/2"	"2p6.4d"	"2D"	"3/2"	2	4		"T1619interp,LS"	"L2613"	
P	5	"244.093"	"244.0936"	"450"	"7.4e+08"	C	"37.746404"	"42.824235"	"2p6.4p"	"2P*"	"3/2"	"2p6.4d"	"2D"	"5/2"	4	6		"T1619interp,LS"	"L2613"	
P	5	"244.124"	"244.1242"	"200"	"1.2e+08"	C	"37.746404"	"42.823599"	"2p6.4p"	"2P*"	"3/2"	"2p6.4d"	"2D"	"3/2"	4	4		"T1619interp,LS"	"L2613"	
