element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Pt	2	"201.3562"	"0.0010"	"201.35523"	"0.00006"	"89"	"9.e+06"	D	"2.6926027"	"8.8481002"	"5d8.6s"	"4P"	"1/2"	"5d8.(3F).6p"	"(3,3/2)*"	"3/2"	2	4		"T8261"	"L11529"	
Pt	2	"201.493181"	"0.000019"	"201.493190"	"0.000017"	"28000"	"7.6e+07"	C+	"2.0855300"	"8.2368136"	"5d8.6s"	"4F"	"5/2"	"5d8.(3P).6p"	"(2,3/2)*"	"7/2"	6	8		"T8261"	"L9083,L11529"	
Pt	2	"203.14405"	"0.00020"	"203.14388"	"0.00003"	"550"	"1.7e+07"	D	"2.6245879"	"8.7258948"	"5d8.6s"	"4F"	"3/2"	"5d8.(3P).6p"	"(1,3/2)*"	"5/2"	4	6		"T8261"	"L10146"	
Pt	2	"203.646617"	"0.000012"	"203.646627"	"0.000009"	"34000"	"1.26e+08"	B+	"0.5934693"	"6.6797160"	"5d8.6s"	"4F"	"9/2"	"5d8.(3F).6p"	"(4,1/2)*"	"9/2"	10	10		"T8261"	"L9083,L11529"	
Pt	2	"204.157469"	"0.000016"	"204.157482"	"0.000013"	"22000"	"9.7e+07"	C+	"1.9578728"	"8.0288922"	"5d9"	"2D"	"3/2"	"5d8.(3F).6p"	"(3,1/2)*"	"5/2"	4	6		"T8261"	"L9083,L11529"	
Pt	2	"204.91690"	"0.00020"	"204.91686"	"0.00004"	"4500"	"1.32e+08"	B	"2.6245879"	"8.6731125"	"5d8.6s"	"4F"	"3/2"	"5d8.(3F).6p"	"(3,3/2)*"	"5/2"	4	6		"T8261"	"L10146"	
Pt	1	"204.939196"	"0.000006"	"204.939194"	"0.000005"	"32000"	"2.33e+08"	B	"0.00000000"	"6.04786551"	"5d9.6s"	"3D"	"3"	"5d8.6s.(4F).6p"	"a 3D*"	"3"	7	7		"T4200n,T3313"	"L9083,L11529"	
Pt	2	"205.702545"	"0.000024"	"205.702527"	"0.000013"	"13000"	"2.65e+07"	C+	"1.0439271"	"7.0693528"	"5d9"	"2D"	"3/2"	"5d8.(3P).6p"	"(2,1/2)*"	"5/2"	4	6		"T8261"	"L9083,L11529"	
Pt	2	"205.99139"	"0.00020"	"205.99144"	"0.00003"	"1700"	"4.0e+07"	C+	"2.0855300"	"8.1025059"	"5d8.6s"	"4F"	"5/2"	"5d8.(3P).6p"	"(2,3/2)*"	"5/2"	6	6		"T8261"	"L10146"	
Pt	2	"206.17320"	"0.00020"	"206.17320"	"0.00006"	"340"	"1.1e+07"	D+	"2.9088612"	"8.9205334"	"5d8.6s"	"2F"	"5/2"	"5d7.(4F).6s.6p.(3P*)"	"71948*"	"5/2"	6	6		"T8261"	"L10146"	
Pt	1	"206.751000"	"0.000006"	"206.751007"	"0.000005"	"11000"	"4.20e+07"	B+	"0.00000000"	"5.99487346"	"5d9.6s"	"3D"	"3"	"5d8.6s.(4F).6p"	"3F*"	"4"	7	9		"T3313"	"L9083,L11529"	
Pt	2	"206.81809"	"0.00020"	"206.818016"	"0.000022"	"2700"	"2.35e+07"	C+	"1.6526197"	"7.6455511"	"5d8.6s"	"4P"	"5/2"	"5d8.(3F).6p"	"(4,3/2)*"	"7/2"	6	8		"T8261"	"L10146"	
Pt	2	"207.539968"	"0.000022"	"207.539937"	"0.000013"	"11000"	"2.41e+07"	C+	"1.0439271"	"7.0160150"	"5d9"	"2D"	"3/2"	"5d8.(3P).6p"	"(2,1/2)*"	"3/2"	4	4		"T8261"	"L9083,L11529"	
