element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ra	2	"210.760"	"0.020"	"210.758"	"0.020"	"4"	"2.67e+07"	B	"1.49825879"	"7.3792"	"6d"	"2D"	"3/2"	"6f"	"2F*"	"5/2"	4	6		"T8601"	"L3526c161"	
Ra	2	"248.011"	"0.003"	"248.0164"	"0.0012"	"4"	"7.5e+05"	D+	"1.49825879"	"6.495783"	"6d"	"2D"	"3/2"	"8p"	"2P*"	"3/2"	4	4		"T8601"	"L3526c161"	
Ra	2	"270.8960"	"0.0020"	"270.8960"	"0.0011"	"20"	"3.70e+08"	AA	"1.49825879"	"6.073721"	"6d"	"2D"	"3/2"	"5f"	"2F*"	"5/2"	4	6		"T8601"	"L3526c163"	
Ra	2	"381.44219"	"0.00003"	"381.44219"	"0.00003"	"200"	"1.880e+08"	AA	"0.0000000"	"3.2494837"	"7s"	"2S"	"1/2"	"7p"	"2P*"	"3/2"	2	4		"T8601"	"L19080,L3526c163"	
Ra	2	"468.223940"	"0.000017"	"468.223940"	"0.000018"	"100"	"1.061e+08"	A+	"0.0000000"	"2.64722703"	"7s"	"2S"	"1/2"	"7p"	"2P*"	"1/2"	2	2		"T8601"	"L19080,L3526c163"	
Ra	1	"482.592806"	"0.000012"	"482.59281"	"0.00012"	"100"	"1.770e+08"	AA	"0.00000000"	"2.56840882"	"7s2"	"1S"	"0"	"7s.7p"	"1P*"	"1"	1	3		"T3403"	"L3527,L18892"	
Ra	1	"540.0230"	"0.0020"	"540.0231"	"0.0013"	"20"	"3.4e+07"	D+	"1.735027"	"4.030295"	"7s.6d"	"3D"	"2"	"6d.7p"	"3D*"	"2"	5	5		"T8060"	"L3527"	
Ra	1	"540.6810"	"0.0020"	"540.6796"	"0.0016"	"20"	"4.2e+07"	D+	"1.823472"	"4.115952"	"7s.6d"	"3D"	"3"	"6d.7p"	"3D*"	"3"	7	7		"T8060"	"L3527"	
Ra	1	"555.5850"	"0.0020"	"555.5852"	"0.0018"	"20"	"4.3e+07"	D+	"1.73569904"	"3.966676"	"7s.7p"	"3P*"	"1"	"7s.7d"	"3D"	"2"	3	5		"T8060"	"L3527"	
Ra	1	"566.0810"	"0.0020"	"566.0812"	"0.0020"	"50"	"4.3e+07"	C+	"1.823472"	"4.013083"	"7s.6d"	"3D"	"3"	"6d.7p"	"3F*"	"4"	7	9		"T8002"	"L3527"	
Ra	1	"581.158"	"0.005"	"581.1588"	"0.0021"	"5"	"4.0e+06"	C+	"1.7005399"	"3.833345"	"7s.6d"	"3D"	"1"	"6d.7p"	"1D*"	"2"	3	5		"T8002"	"L3527"	
Ra	1	"616.703"	"0.005"	"616.7051"	"0.0024"	"5"	"1.46e+07"	C+	"1.823472"	"3.833345"	"7s.6d"	"3D"	"3"	"6d.7p"	"1D*"	"2"	7	5		"T8002"	"L3527"	
Ra	1	"620.0300"	"0.0020"	"620.0304"	"0.0016"	"30"	"2.5e+07"	C+	"1.735027"	"3.734121"	"7s.6d"	"3D"	"2"	"6d.7p"	"3F*"	"3"	5	7		"T8002"	"L3527"	
Ra	1	"644.6200"	"0.0020"	"644.6200"	"0.0020"	"20"	"3.5e+07"	D+	"2.069115"	"3.991953"	"7s.7p"	"3P*"	"2"	"7s.7d"	"3D"	"3"	5	7		"T8060"	"L3527"	
Ra	1	"648.7320"	"0.0020"	"648.7319"	"0.0017"	"20"	"9.9e+06"	C+	"1.823472"	"3.734121"	"7s.6d"	"3D"	"3"	"6d.7p"	"3F*"	"3"	7	7		"T8002"	"L3527"	
Ra	1	"698.0220"	"0.0020"	"698.0232"	"0.0017"	"20"	"1.66e+07"	C+	"1.7005399"	"3.476269"	"7s.6d"	"3D"	"1"	"6d.7p"	"3F*"	"2"	3	5		"T8002"	"L3527"	
Ra	2	"707.802"	"0.010"	"707.79042"	"0.00011"	"5"	"3.38e+06"	A	"1.49825879"	"3.2494837"	"6d"	"2D"	"3/2"	"7p"	"2P*"	"3/2"	4	4		"T8601"	"L3526c163"	
Ra	1	"711.8500"	"0.0020"	"711.8486"	"0.0017"	"20"	"9.7e+06"	C+	"1.735027"	"3.476269"	"7s.6d"	"3D"	"2"	"6d.7p"	"3F*"	"2"	5	5		"T8002"	"L3527"	
Ra	1	"714.12167"	"0.00005"	"714.12167"	"0.00005"	"50"	"2.37e+06"	B+	"0.00000000"	"1.73569904"	"7s2"	"1S"	"0"	"7s.7p"	"3P*"	"1"	1	3		"T7904"	"L3527,L19075"	
Ra	1	"722.5160"	"0.0020"	"722.5166"	"0.0019"	"20"	"3.5e+07"	C+	"2.117813"	"3.833345"	"7s.6d"	"1D"	"2"	"6d.7p"	"1D*"	"2"	5	5		"T8002"	"L3527"	
Ra	1	"731.0270"	"0.0020"	"731.0269"	"0.0018"	"10"	"8.5e+06"	C+	"1.621515"	"3.317076"	"7s.7p"	"3P*"	"0"	"7s.8s"	"3S"	"1"	1	3		"T8002"	"L3527"	
Ra	1	"783.8120"	"0.0020"	"783.8113"	"0.0018"	"20"	"2.1e+07"	C+	"1.73569904"	"3.317076"	"7s.7p"	"3P*"	"1"	"7s.8s"	"3S"	"1"	3	3		"T8002"	"L3527"	
Ra	2	"801.9700"	"0.0020"	"801.9701"	"0.0019"	"50"	"2.29e+07"	B+	"1.703914"	"3.2494837"	"6d"	"2D"	"5/2"	"7p"	"2P*"	"3/2"	6	4		"T8601"	"L3526c163"	
