element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Rh	1	"308.396"	"308.3966"	"180"	"4.8e+06"	C	"0.189692"	"4.208810"	"4d8.(3F).5s"	"a 4F"	"7/2"	"4d8.(3F).5p"	"z 2F*"	"5/2"	8	6		"T5181"	"L3475"	
Rh	1	"311.491"	"311.4907"	"70"	"4.5e+06"	D	"0.410370"	"4.389566"	"4d9"	"a 2D"	"5/2"	"4d8.(3P).5p"	"z 4P*"	"3/2"	6	4		"T5181"	"L3475"	
Rh	1	"312.176"	"312.1754"	"140"	"1.1e+07"	C	"0.410370"	"4.380839"	"4d9"	"a 2D"	"5/2"	"4d8.(3P).5p"	"z 4P*"	"5/2"	6	6		"T5181"	"L3475"	
Rh	1	"312.370"	"312.3703"	"240"	"4.6e+06"	C+	"0.000000"	"3.967992"	"4d8.(3F).5s"	"a 4F"	"9/2"	"4d8.(3F).5p"	"z 2F*"	"7/2"	10	8		"T5181"	"L3475"	
Rh	1	"313.771"	"313.7708"	"95"	"3.3e+06"	D+	"0.430557"	"4.380839"	"4d8.(3F).5s"	"a 4F"	"3/2"	"4d8.(3P).5p"	"z 4P*"	"5/2"	4	6		"T5181"	"L3475"	
Rh	1	"318.905"	"318.9043"	"140"	"3.0e+06"	C	"0.322115"	"4.208810"	"4d8.(3F).5s"	"a 4F"	"5/2"	"4d8.(3F).5p"	"z 2F*"	"5/2"	6	6		"T5181"	"L3475"	
Rh	1	"319.713"	"319.7130"	"190"	"4.3e+06"	C+	"0.322115"	"4.198978"	"4d8.(3F).5s"	"a 4F"	"5/2"	"4d8.(3F).5p"	"z 2D*"	"3/2"	6	4		"T5181"	"L3475"	
Rh	1	"326.314"	"326.3142"	"520"	"1.25e+07"	C+	"0.410370"	"4.208810"	"4d9"	"a 2D"	"5/2"	"4d8.(3F).5p"	"z 2F*"	"5/2"	6	6		"T5181"	"L3475"	
Rh	1	"327.161"	"327.1610"	"520"	"2.0e+07"	C+	"0.410370"	"4.198978"	"4d9"	"a 2D"	"5/2"	"4d8.(3F).5p"	"z 2D*"	"3/2"	6	4		"T5181"	"L3475"	
Rh	1	"328.055"	"328.0536"	"2300*"	"2.4e+07"	C+	"0.189692"	"3.967992"	"4d8.(3F).5s"	"a 4F"	"7/2"	"4d8.(3F).5p"	"z 2F*"	"7/2"	8	8		"T5181"	"L3475"	
Rh	1	"328.055"	"328.0577"	"2300*"	"1.38e+07"	C+	"0.430557"	"4.208810"	"4d8.(3F).5s"	"a 4F"	"3/2"	"4d8.(3F).5p"	"z 2F*"	"5/2"	4	6		"T5181"	"L3475"	
Rh	1	"328.357"	"328.3571"	"2300"	"4.4e+07"	C+	"0.322115"	"4.096923"	"4d8.(3F).5s"	"a 4F"	"5/2"	"4d8.(3F).5p"	"z 2G*"	"7/2"	6	8		"T5181"	"L3475"	
