element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Ta	1	"252.635"	"252.6351+"	"1200D"	"4.5e+07"	D+	"0.249221"	"5.155384"	"5d3.6s2"	"a 4F"	"5/2"	"5d4.(5D).6p"	"y 6F*"	"5/2"	6	6		"T7871"	"L3475"	
Ta	1	"255.107"	"255.1097+"	"460D"	"5.0e+07"	D+	"0.752449"	"5.611026"	"5d3.6s2"	"a 4P"	"3/2"	"5d4.(5D).6p"	"x 6D*"	"5/2"	4	6		"T7871"	"L3475"	
Ta	1	"277.588"	"277.5881+"	"770"	"3.6e+07"	C+	"0.000000"	"4.465163"	"5d3.6s2"	"a 4F"	"3/2"	"5d3.6s.(3H).6p"	"z 4G*?"	"5/2"	4	6		"T7871"	"L3475"	
Ta	1	"289.184"	"289.1837+"	"770"	"5.6e+07"	C+	"0.249221"	"4.535349"	"5d3.6s2"	"a 4F"	"5/2"	"5d3.6s.(3G).6p"	"y 4F*?"	"3/2"	6	4		"T7871"	"L3475"	
Ta	1	"291.412"	"291.4109+"	"210"	"3.8e+07"	D+	"1.357654"	"5.611026"	"5d3.6s2"	"a 2P"	"3/2"	"5d4.(5D).6p"	"x 6D*"	"5/2"	4	6		"T7871"	"L3475"	
Ta	1	"302.748"	"302.7474+"	"290D"	"5.9e+07"	D+	"1.516917"	"5.611026"	"5d4.(5D).6s"	"a 6D"	"7/2"	"5d4.(5D).6p"	"x 6D*"	"5/2"	8	6		"T7871"	"L182,L3475"	
Ta	1	"312.776"	"312.7865+"	"150bl(Ta II)"	"5.7e+05"	C+	"0.000000"	"3.962711"	"5d3.6s2"	"a 4F"	"3/2"	"5d3.6s.(5P).6p"	"z 6P*"	"5/2"	4	6		"T4976"	"L3475"	
Ta	1	"316.818"	"316.8265+"	"70bl(Ta II)"	"6.0e+05"	C+	"0.000000"	"3.912184"	"5d3.6s2"	"a 4F"	"3/2"	""	"315*"	"3/2"	4	4		"T4976"	"L182,L3475"	
Ta	1	"317.0289"	"317.0290+"	"320"	"8.5e+06"	C+	"0.491463"	"4.401148"	"5d3.6s2"	"a 4F"	"7/2"	""	"354*"	"9/2"	8	10		"T4976"	"L7593,L3475"	
Ta	1	"320.549"	"320.5471+"	"8w"	"5.6e+05"	C	"0.249221"	"4.115996"	"5d3.6s2"	"a 4F"	"5/2"	"5d3.6s.(5P).6p"	"z 6P*"	"7/2"	6	8		"T4976"	"L7593"	
Ta	1	"326.0182"	"326.0143+"	"70"	"5.8e+05"	C+	"0.000000"	"3.801933"	"5d3.6s2"	"a 4F"	"3/2"	"5d3.6s.(5P).6p"	"y 6D*"	"3/2"	4	4		"T4976"	"L7593,L3475"	
Ta	1	"331.7928"	"331.7915+"	"210"	"6.1e+06"	C	"0.491463"	"4.227199"	"5d3.6s2"	"a 4F"	"7/2"	"5d3.6s.(5P).6p"	"y 6D*"	"7/2"	8	8		"T7871"	"L7593,L3475"	
Ta	1	"333.7799"	"333.7791+"	"70"	"1.32e+06"	B	"0.249221"	"3.962711"	"5d3.6s2"	"a 4F"	"5/2"	"5d3.6s.(5P).6p"	"z 6P*"	"5/2"	6	6		"T4976"	"L7593,L3475"	
Ta	1	"338.384"	"338.3834+"	"8"	"5.3e+05"	B	"0.249221"	"3.912184"	"5d3.6s2"	"a 4F"	"5/2"	""	"315*"	"3/2"	6	4		"T4976"	"L7607"	
Ta	1	"340.6935"	"340.6937+"	"450"	"6.8e+06"	B+	"0.000000"	"3.638125"	"5d3.6s2"	"a 4F"	"3/2"	""	"293*"	"5/2"	4	6		"T4976"	"L7593,L3475"	
Ta	1	"341.9748"	"341.9714+"	"75"	"1.91e+06"	B	"0.491463"	"4.115996"	"5d3.6s2"	"a 4F"	"7/2"	"5d3.6s.(5P).6p"	"z 6P*"	"7/2"	8	8		"T4976"	"L7593,L3475"	
Ta	1	"346.3771"	"346.3770+"	"230"	"2.62e+06"	B+	"0.000000"	"3.578433"	"5d3.6s2"	"a 4F"	"3/2"	""	"288*"	"5/2"	4	6		"T4976"	"L7593,L3475"	
Ta	1	"348.4621"	"348.4621+"	"45"	"8.5e+05"	B	"0.000000"	"3.557021"	"5d3.6s2"	"a 4F"	"3/2"	""	"286*"	"3/2"	4	4		"T4976"	"L7593,L3475"	
Ta	1	"348.8847"	"348.8847+"	"110h"	"7.3e+05"	B	"0.249221"	"3.801933"	"5d3.6s2"	"a 4F"	"5/2"	"5d3.6s.(5P).6p"	"y 6D*"	"3/2"	6	4		"T4976"	"L7593"	
Ta	1	"349.7848"	"349.7845+"	"380"	"4.88e+06"	B+	"0.249221"	"3.792794"	"5d3.6s2"	"a 4F"	"5/2"	""	"305*"	"7/2"	6	8		"T4976"	"L7593,L3475"	
Ta	1	"350.3868"	"350.3868+"	"240"	"5.5e+07"	C	"1.236843"	"4.774326"	"5d4.(5D).6s"	"a 6D"	"3/2"	"5d4.(5D).6p"	"y 6F*"	"1/2"	4	2		"T7871"	"L7593,L3475"	
Ta	1	"350.4976"	"350.4961+"	"130*"	"2.72e+06"	B+	"0.491463"	"4.027844"	"5d3.6s2"	"a 4F"	"7/2"	"5d3.6s.(5P).6p"	"y 6D*"	"5/2"	8	6		"T4976"	"L7593,L3475"	
Ta	1	"351.1043"	"351.1019+"	"490"	"5.7e+06"	D+	"0.696920"	"4.227199"	"5d3.6s2"	"a 4F"	"9/2"	"5d3.6s.(5P).6p"	"y 6D*"	"7/2"	10	8		"T7871"	"L7593,L3475"	
Ta	1	"355.3415"	"355.3418+"	"55"	"3.3e+05"	B	"0.000000"	"3.488157"	"5d3.6s2"	"a 4F"	"3/2"	"5d3.6s.(5F).6p"	"y 4D*"	"5/2"	4	6		"T4976"	"L7593,L3475"	
Ta	1	"360.7406"	"360.7405+"	"750"	"4.63e+06"	B+	"0.249221"	"3.685176"	"5d3.6s2"	"a 4F"	"5/2"	""	"297*"	"7/2"	6	8		"T4976"	"L7593,L3475"	
Ta	1	"362.5238"	"362.5215+"	"55"	"1.03e+06"	B	"0.696920"	"4.115996"	"5d3.6s2"	"a 4F"	"9/2"	"5d3.6s.(5P).6p"	"z 6P*"	"7/2"	10	8		"T4976"	"L7593,L3475"	
Ta	1	"362.6617"	"362.6610+"	"980"	"7.1e+06"	B+	"0.491463"	"3.909224"	"5d3.6s2"	"a 4F"	"7/2"	""	"315*"	"9/2"	8	10		"T4976"	"L7593,L3475"	
Ta	1	"364.2057"	"364.2050+"	"500"	"5.5e+06"	B+	"0.696920"	"4.100192"	"5d3.6s2"	"a 4F"	"9/2"	""	"330*"	"11/2"	10	12		"T4976"	"L7593,L3475"	
