element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
W	3	"200.1715"	"200.1722"	"0.0005"	""	"9.66e+07"	B	"1.597044"	"7.788917"	"5d4"	"3P2"	"1"	""	""	"2"	3	5		"T7469"	"L14407"	
W	3	"202.5468"	"202.5462"	"0.0005"	"5d"	"8.6e+06"	C	"2.278383"	"8.397690"	"5d4"	"3F2"	"4"	"5d3.(4F).6p"	"5F*"	"5"	9	11		"T7469"	"L10405"	
W	3	"202.5652"	"202.5647"	"0.0005"	"40"	"4.1e+06"	C	"2.278941"	"8.397690"	"5d4"	"3H"	"6"	"5d3.(4F).6p"	"5F*"	"5"	13	11		"T7469"	"L10405"	
W	3	"203.0744"	"203.0739"	"0.0005"	"100"	"4.36e+07"	B	"1.359926"	"7.463335"	"5d3.(4F).6s"	"5F"	"1"	"5d3.(4F).6p"	"5F*"	"1"	3	3		"T7469"	"L10405"	
W	2	"204.08731"	"204.087180"	"0.000054"	"12"	"2.48e+07"	B	"0.00000000"	"6.07311043"	"5d4.(5D).6s"	"6D"	"1/2"	"5d3.(4F).6s.(5F).6p"	"6D*"	"3/2"	2	4		"T7162"	"L11762"	
W	3	"204.7280"	"204.7277"	"0.0005"	"200*"	"3.54e+07"	B	"1.734804"	"7.788917"	"5d4"	"3F2"	"2"	""	""	"2"	5	5		"T7469"	"L10405"	
W	2	"204.963568"	"204.963568"	"0.000013"	"52"	"7.49e+07"	B	"0.18831080"	"6.23545720"	"5d4.(5D).6s"	"6D"	"3/2"	"5d3.(4F).6s.(5F).6p"	"6D*"	"5/2"	4	6		"T7162"	"L11762"	
W	3	"207.8347"	"207.8344"	"0.0005"	"800"	"1.50e+08"	B	"2.434064"	"8.397690"	"5d3.(4F).6s"	"5F"	"5"	"5d3.(4F).6p"	"5F*"	"5"	11	11		"T7469"	"L10405"	
W	2	"207.911801"	"207.911797"	"0.000018"	"296*"	"3.74e+08"	B	"0.76214141"	"6.7235493"	"5d4.(5D).6s"	"6D"	"9/2"	"5d4.(5D).6p"	"6F*"	"11/2"	10	12		"T7162"	"L11762"	
W	3	"209.2096"	"209.2094"	"0.0005"	"900*"	"1.47e+08"	B	"1.864479"	"7.788917"	"5d3.(4F).6s"	"5F"	"3"	""	""	"2"	7	5		"T7469"	"L10405"	
W	3	"209.2755"	"209.2753"	"0.0005"	"800"	"2.05e+08"	B	"1.540763"	"7.463335"	"5d3.(4F).6s"	"5F"	"2"	"5d3.(4F).6p"	"5F*"	"1"	5	3		"T7469"	"L10405"	
W	2	"209.475078"	"209.475078"	"0.000006"	"142"	"1.76e+08"	B	"0.18831080"	"6.10523511"	"5d4.(5D).6s"	"6D"	"3/2"	""	""	"5/2"	4	6		"T7162"	"L11762"	
