element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Y	5	"200.8006"	"0.0007"	"200.8004"	"0.0008"	"5000"	"6.64e+08"		"39.567396"	"45.739898"	"4s2.4p4.(1D<2>).5s"	"2[2]"	"5/2"	"4s2.4p4.(1D<2>).5p"	"2[3]*"	"7/2"	6	8		"T9678"	"L19755"	
Y	5	"200.8290"	"0.0007"	"200.8297"	"0.0005"	"1200"	"4.66e+08"		"38.541455"	"44.713059"	"4s2.4p4.(3P<1>).5s"	"2[1]"	"1/2"	"4s2.4p4.(3P<1>).5p"	"2[1]*"	"1/2"	2	2		"T9678"	"L19755"	
Y	5	"201.6006"	"0.0007"	"201.6012"	"0.0006"	"4"	"6.00e+06"		"36.832127"	"42.980114"	"4s2.4p4.(3P).4d"	"2P"	"3/2"	"4s2.4p4.(3P<2>).5p"	"2[3]*"	"5/2"	4	6		"T9678"	"L19755"	
Y	5	"204.6101"	"0.0007"	"204.6103"	"0.0005"	"1500"	"3.50e+08"		"37.965867"	"44.023452"	"4s2.4p4.(3P<1>).5s"	"2[1]"	"3/2"	"4s2.4p4.(3P<1>).5p"	"2[2]*"	"3/2"	4	4		"T9678"	"L19755"	
Y	5	"204.8134"	"0.0007"	"204.8143"	"0.0005"	"8"	"1.24e+07"		"38.688528"	"44.740080"	"4s2.4p4.(3P).4d"	"2D"	"3/2"	"4s2.4p4.(3P<1>).5p"	"2[1]*"	"3/2"	4	4		"T9678"	"L19755"	
Y	5	"205.7325"	"0.0007"	"205.7331"	"0.0005"	"20"	"2.28e+07"		"38.688528"	"44.713059"	"4s2.4p4.(3P).4d"	"2D"	"3/2"	"4s2.4p4.(3P<1>).5p"	"2[1]*"	"1/2"	4	2		"T9678"	"L19755"	
Y	5	"205.9643"	"0.0007"	"205.9642"	"0.0006"	"12"	"2.5e+07"	E	"37.965867"	"43.983640"	"4s2.4p4.(3P<1>).5s"	"2[1]"	"3/2"	"4s2.4p4.(3P<0>).5p"	"2[1]*"	"1/2"	4	2		"T9678"	"L19755"	
Y	5	"206.2527"	"0.0007"	"206.2538"	"0.0005"	"1500"	"2.55e+08"		"38.541455"	"44.550778"	"4s2.4p4.(3P<1>).5s"	"2[1]"	"1/2"	"4s2.4p4.(3P<0>).5p"	"2[1]*"	"3/2"	2	4		"T9678"	"L19755"	
Y	5	"206.6665"	"0.0007"	"206.6670"	"0.0006"	"20"	"2.2e+05"	E	"36.832127"	"42.829438"	"4s2.4p4.(3P).4d"	"2P"	"3/2"	"4s2.4p4.(3P<2>).5p"	"2[1]*"	"1/2"	4	2		"T9678"	"L19755"	
Y	5	"207.0620"	"0.0007"	"207.0624"	"0.0006"	"5000"	"5.93e+08"		"36.994255"	"42.980114"	"4s2.4p4.(3P<2>).5s"	"2[2]"	"3/2"	"4s2.4p4.(3P<2>).5p"	"2[3]*"	"5/2"	4	6		"T9678"	"L19755"	
Y	5	"207.8715"	"0.0007"	"207.8721"	"0.0008"	"8000"	"5.88e+08"		"36.464053"	"42.426598"	"4s2.4p4.(3P<2>).5s"	"2[2]"	"5/2"	"4s2.4p4.(3P<2>).5p"	"2[2]*"	"5/2"	6	6		"T9678"	"L19755"	
