element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Zn	2	"202.54845"	"0.00010"	"202.5483+"	"0.0006"	"500"	"4.07e+08"	B+	"0.000000"	"6.119245"	"3d10.4s"	"2S"	"1/2"	"3d10.4p"	"2P*"	"3/2"	2	4		"T7574"	"L9761,L640"	
Zn	2	"206.20011"	"0.00010"	"206.2004+"	"0.0006"	"500"	"3.86e+08"	B+	"0.000000"	"6.010878"	"3d10.4s"	"2S"	"1/2"	"3d10.4p"	"2P*"	"1/2"	2	2		"T7574"	"L9761,L640"	
Zn	2	"206.42266"	"0.00010"	"206.4230+"	"0.0006"	"200"	"4.6e+08"	C+	"6.010878"	"12.015276"	"3d10.4p"	"2P*"	"1/2"	"3d10.4d"	"2D"	"3/2"	2	4		"T7870"	"L9761,L640"	
Zn	2	"209.99273"	"0.00010"	"209.9937+"	"0.0006"	"300"	"5.6e+08"	C	"6.119245"	"12.021557"	"3d10.4p"	"2P*"	"3/2"	"3d10.4d"	"2D"	"5/2"	4	6		"T7870"	"L9761,L640"	
Zn	2	"210.21661"	"0.00010"	"210.2175+"	"0.0006"	"200"	"9.3e+07"	C+	"6.119245"	"12.015276"	"3d10.4p"	"2P*"	"3/2"	"3d10.4d"	"2D"	"3/2"	4	4		"T7870"	"L9761,L640"	
Zn	1	"213.857351"	"0.000010"	"213.857354"	"0.000009"	"80000000r"	"7.14e+08"	A	"0.00000000"	"5.7956913"	"3d10.4s2"	"1S"	"0"	"3d10.4s.4p"	"1P*"	"1"	1	3		"T7574"	"L9761"	
Zn	2	"250.19945"	"0.00010"	"250.1990+"	"0.0009"	"1000"	"1.97e+08"	C+	"6.010878"	"10.964809"	"3d10.4p"	"2P*"	"1/2"	"3d10.5s"	"2S"	"1/2"	2	2		"T7870"	"L9761,L640"	
Zn	2	"255.79460"	"0.00010"	"255.7948+"	"0.0009"	"1000"	"3.91e+08"	C+	"6.119245"	"10.964809"	"3d10.4p"	"2P*"	"3/2"	"3d10.5s"	"2S"	"1/2"	4	2		"T7870"	"L9761,L640"	
Zn	2	"257.0652"	"0.0010"	"257.065+"	"0.007"	"30"	"1.76e+07"	C	"7.776593"	"12.59821"	"3d9.4s2"	"2D"	"5/2"	"3d10.5p"	"2P*"	"3/2"	6	4		"T7870"	"L45"	
Zn	2	"276.3955"	"0.0010"	"276.392+"	"0.008"	"30"	"1.91e+06"	C	"8.113729"	"12.59821"	"3d9.4s2"	"2D"	"3/2"	"3d10.5p"	"2P*"	"3/2"	4	4		"T7870"	"L45"	
Zn	2	"278.281"	"0.010"	"278.281+"	"0.008"	"30"	"4.37e+06"	C	"8.113729"	"12.56777"	"3d9.4s2"	"2D"	"3/2"	"3d10.5p"	"2P*"	"1/2"	4	2		"T7870"	"L45"	
Zn	1	"307.589713"	"0.000021"	"307.589703"	"0.000019"	"88000"	"3.8e+04"	B	"0.00000000"	"4.02965990"	"3d10.4s2"	"1S"	"0"	"3d10.4s.4p"	"3P*"	"1"	1	3		"T7574"	"L9761"	
Zn	1	"328.232559"	"0.000022"	"328.232554"	"0.000015"	"360000"	"9.0e+07"	B	"4.00609281"	"7.78233268"	"3d10.4s.4p"	"3P*"	"0"	"3d10.4s.4d"	"3D"	"1"	1	3		"T2177"	"L9761"	
Zn	1	"330.258289"	"0.000022"	"330.258290"	"0.000016"	"1400000"	"1.20e+08"	B	"4.02965990"	"7.78273789"	"3d10.4s.4p"	"3P*"	"1"	"3d10.4s.4d"	"3D"	"2"	3	5		"T2177"	"L9761"	
Zn	1	"330.293949"	"0.000022"	"330.293951"	"0.000014"	"550000"	"6.7e+07"	B	"4.02965990"	"7.78233268"	"3d10.4s.4p"	"3P*"	"1"	"3d10.4s.4d"	"3D"	"1"	3	3		"T2177"	"L9761"	
Zn	1	"334.501339"	"0.000022"	"334.501340"	"0.000021"	"2900000"	"1.70e+08"	B	"4.07788079"	"7.7833537"	"3d10.4s.4p"	"3P*"	"2"	"3d10.4s.4d"	"3D"	"3"	5	7		"T2177"	"L9761"	
Zn	1	"334.556939"	"0.000022"	"334.556938"	"0.000017"	"530000"	"4.0e+07"	B	"4.07788079"	"7.78273789"	"3d10.4s.4p"	"3P*"	"2"	"3d10.4s.4d"	"3D"	"2"	5	5		"T2177"	"L9761"	
Zn	1	"334.59353"	"0.00003"	"334.593534"	"0.000016"	"75000"	"4.5e+06"	B	"4.07788079"	"7.78233268"	"3d10.4s.4p"	"3P*"	"2"	"3d10.4s.4d"	"3D"	"1"	5	3		"T2177"	"L9761"	
Zn	2	"407.814"	"0.010"	"407.813+"	"0.024"	"40"	"8.9e+06"	C	"12.56777"	"15.60713"	"3d10.5p"	"2P*"	"1/2"	"3d10.7s"	"2S"	"1/2"	2	2		"T7870"	"L45"	
Zn	2	"411.939"	"0.010"	"411.939+"	"0.024"	"40"	"1.56e+07"	C	"12.59821"	"15.60713"	"3d10.5p"	"2P*"	"3/2"	"3d10.7s"	"2S"	"1/2"	4	2		"T7870"	"L45"	
Zn	2	"491.16269"	"0.00010"	"491.161+"	"0.024"	"800"	"1.82e+08"	C	"12.015276"	"14.53888"	"3d10.4d"	"2D"	"3/2"	"3d10.4f"	"2F*"	"5/2"	4	6		"T7870"	"L9761,L45"	
Zn	2	"492.40132"	"0.00010"	"492.401+"	"0.024"	"500"	"2.72e+08"	C	"12.021557"	"14.53881"	"3d10.4d"	"2D"	"5/2"	"3d10.4f"	"2F*"	"7/2"	6	8		"T7870"	"L9761,L45"	
