element	sp_num	obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Zr	3	"200.1911"	"200.19097"	"400000"	"9.49e+08"		"6.651613"	"12.842904"	"4d.5p"	"1D*"	"2"	"4d.5d"	"1F"	"3"	5	7		"T6869"	"L9267"	
Zr	3	"200.3232"	"200.32325"	"800"	"1.08e+08"		"7.401791"	"13.588994"	"4d.5p"	"3P*"	"1"	"4d.5d"	"3P"	"1"	3	3		"T6869"	"L9267"	
Zr	3	"200.4469"	"200.44650"	"2"	"3.97e+05"		"0.712090"	"6.895489"	"4d2"	"1D"	"2"	"4d.5p"	"3D*"	"1"	5	3		"T6869"	"L9267"	
Zr	3	"200.4620"	"200.46218"	"10"	"7.42e+06"		"6.997392"	"13.180308"	"4d.5p"	"3D*"	"2"	"4d.(2D<5/2>).6s"	"2[5/2]"	"3"	5	7		"T6869"	"L9267"	
Zr	3	"200.6812"	"200.68101"	"1000000"	"2.28e+08"		"0.712090"	"6.888265"	"4d2"	"1D"	"2"	"4d.5p"	"3F*"	"2"	5	5		"T6869"	"L9267"	
Zr	3	"200.8171"	"200.81676"	"200000"	"4.90e+08"		"7.483488"	"13.655488"	"4d.5p"	"3P*"	"2"	"4d.5d"	"3P"	"2"	5	5		"T6869"	"L9267"	
Zr	3	"201.3251"	"201.32455"	"1000"	"4.79e+08"		"7.432559"	"13.588994"	"4d.5p"	"3P*"	"0"	"4d.5d"	"3P"	"1"	1	3		"T6869"	"L9267"	
Zr	3	"201.6569"	"201.65668"	"4000"	"2.50e+08"		"7.401791"	"13.548088"	"4d.5p"	"3P*"	"1"	"4d.5d"	"1D"	"2"	3	5		"T6869"	"L9267"	
Zr	3	"201.9055"	"201.9052"	"2500"	"1.89e+08"		"7.401791"	"13.540524"	"4d.5p"	"3P*"	"1"	"4d.5d"	"3P"	"0"	3	1		"T6869"	"L9267"	
Zr	3	"202.1402"	"202.13991"	"2000"	"6.65e+07"		"6.888265"	"13.019871"	"4d.5p"	"3F*"	"2"	"4d.(2D<3/2>).6s"	"2[3/2]"	"1"	5	3		"T6869"	"L9267"	
Zr	3	"202.3785"	"202.37839"	"7"	"1.95e+06"		"6.895489"	"13.019871"	"4d.5p"	"3D*"	"1"	"4d.(2D<3/2>).6s"	"2[3/2]"	"1"	3	3		"T6869"	"L9267"	
Zr	3	"202.6706"	"202.67044"	"400000"	"6.66e+08"		"6.888265"	"13.003822"	"4d.5p"	"3F*"	"2"	"4d.5d"	"3D"	"3"	5	7		"T6869"	"L9267"	
Zr	3	"202.9869"	"202.98654"	"150000"	"1.95e+08"		"6.952702"	"13.058737"	"4d.5p"	"3F*"	"3"	"4d.(2D<3/2>).6s"	"2[3/2]"	"2"	7	5		"T6869"	"L9267"	
