g,LeveleV
1,0.000000,
3,0.5876395,
5,0.6530431,
7,0.9207678,
5,1.1267089,
5,1.6411072,
7,1.8534617,
9,2.0775849,
1,2.199111,
3,2.357595,
5,2.3808643,
9,2.5848476,
1,2.598265,
3,2.750035,
5,2.7523788,
5,3.2790013,
5,3.496493,
3,3.6265838,
7,3.7047793,
7,3.8651541,
5,3.9524748,
9,4.0872034,
5,4.1292863,
3,4.139654,
5,4.3886831,
7,4.4813216,
1,4.560141,
3,4.5694975,
7,4.5840571,
5,4.7574742,
9,4.850135,
9,4.935443,
5,5.155084,
9,5.161187,
7,5.1995281,
7,5.365515,
3,5.480092,
5,5.542750,
9,5.584281,
7,5.679345,
9,5.880277,
3,6.015506,
11,6.094014,
5,6.134619,
1,6.172004,
7,6.206609,
3,6.228414,
5,6.355119,
3,6.407577,
7,6.602811,
1,6.617531,
5,6.773629,
7,6.775002,
3,6.961981,
3,7.004048,
3,7.088857,
9,7.151872,
7,7.184205,
7,7.323976,
5,7.415187,
9,7.425293,
3,7.446854,
5,7.724713,
7,7.730499,
9,7.794864,
5,7.883117,
7,7.970328,
0,11.75,

#ignore,test#16.96
