g,LeveleV
6,0.00000,
4,0.57147,
10,7.84154,
8,8.15310,
6,8.44817,
4,8.59777,
8,8.88798,
6,9.16602,
6,9.47268,
4,9.59746,
2,9.78151,
4,9.93453,
6,10.19502,
4,10.56095,
2,10.60133,
10,10.61256,
8,10.62843,
4,13.81635,
8,14.30868,
10,14.62077,
6,14.77112,
12,14.92175,
8,15.00975,
4,15.12723,
10,15.16256,
6,15.19139,
2,15.29982,
8,15.32763,
4,15.36422,
6,15.50916,
10,15.52852,
6,15.64712,
8,15.71215,
8,15.83587,
4,15.85321,
6,15.96909,
2,16.01116,
4,16.10958,
6,16.13628,
6,16.34999,
2,16.54738,
8,16.56823,
4,16.73188,
4,16.78124,
2,16.81557,
6,16.83193,
10,16.96167,
4,16.96167,
6,16.97671,
8,16.98257,
6,17.21475,
4,17.27358,
12,17.35025,
4,17.36720,
8,17.46660,
2,17.48069,
4,17.59206,
6,17.62603,
2,17.82651,
8,18.04925,
10,18.11041,
2,20.48078,
4,20.90262,
,34.8,

#ignore,test#8.27
