g,LeveleV
1,0.000000,
1,4.636145,
3,4.643693,
5,4.659052,
3,7.420705,
5,10.598337,
3,11.316596,
1,11.665048,
3,11.672797,
5,11.687827,
1,11.821968,
7,11.846618,
5,11.846753,
3,11.846869,
1,13.071347,
3,13.073080,
5,13.076729,
3,13.256460,
5,13.649399,
1,13.841265,
3,14.8896243,
1,15.0475561,
7,15.062034,
5,15.062086,
3,15.0621276,
5,15.301941,
7,15.302186,
9,15.302546,
7,15.30839,
5,15.472500,
1,15.585203,
3,15.5859083,
5,15.5875046,
3,15.6057689,
3,16.3926349,
1,16.4624524,
5,16.467928,
7,16.467940,
3,16.467947,
5,16.544168,
7,16.544833,
9,16.545700,
7,16.574428,
5,16.6035135,
7,16.63666,
11,16.63666,
9,16.63666,
9,16.63666,
3,16.727874,
1,16.7393899,
3,16.7398135,
5,16.7406102,
3,17.171798,
5,17.17446,
7,17.17663,
9,17.17947,
1,17.209081,
3,17.210850,
5,17.210850,
7,17.210881,
7,17.2642222,
5,17.269654,
7,17.30709,
9,17.30709,
11,17.30709,
9,17.30709,
3,17.347743,
1,17.36895,
3,17.36918,
5,17.36965,
5,17.492297,
7,17.495418,
9,17.499508,
3,17.628438,
1,17.650770,
3,17.651077,
5,17.651096,
7,17.651132,
7,17.680649,
5,17.681296,
7,17.71134,
11,17.71134,
9,17.71134,
9,17.71134,
3,17.724930,
1,17.75025,
3,17.750416,
5,17.750823,
5,17.762699,
7,17.763571,
9,17.764921,
3,17.919108,
3,17.93332,
5,17.933345,
7,17.933378,
1,17.933588,
5,17.950709,
7,17.950984,
3,17.970406,
7,17.97363,
9,17.97363,
11,17.97363,
9,17.97363,
9,17.97674,
11,17.97674,
13,17.97674,
11,17.97674,
5,17.993766,
7,17.994066,
9,17.994485,
1,17.995791,
3,17.996438,
5,17.997483,
1,18.073939,
3,18.081198,
5,18.096925,
3,18.115597,
3,18.12506,
5,18.12506,
7,18.12511,
1,18.12551,
5,18.13591,
7,18.136247,
3,18.138878,
7,18.15338,
9,18.15338,
11,18.15338,
9,18.15338,
9,18.15563,
11,18.15563,
13,18.15563,
11,18.15563,
5,18.163673,
7,18.163808,
9,18.163991,
1,18.175445,
3,18.175705,
5,18.176344,
3,18.254621,
3,18.259255,
5,18.261217,
7,18.261273,
3,18.26138,
1,18.261754,
5,18.268438,
7,18.268659,
7,18.28189,
9,18.28189,
11,18.28189,
9,18.28189,
9,18.28358,
11,18.28358,
13,18.28358,
11,18.28358,
5,18.288011,
7,18.288075,
9,18.288180,
5,18.29689,
3,18.350218,
3,18.35662,
7,18.36122,
1,18.36189,
5,18.366415,
7,18.36651,
7,18.37695,
9,18.37695,
11,18.37695,
9,18.37695,
5,18.380951,
7,18.380970,
9,18.381039,
3,18.422123,
3,18.43362,
1,18.43767,
7,18.440872,
7,18.44920,
9,18.44920,
11,18.44920,
9,18.44920,
5,18.45204,
7,18.45204,
9,18.45204,
3,18.480338,
1,18.49624,
7,18.49864,
7,18.50532,
9,18.50532,
11,18.50532,
9,18.50532,
5,18.50749,
7,18.50749,
9,18.50749,
3,18.527848,
1,18.54272,
7,18.54444,
5,18.55163,
7,18.55163,
9,18.55163,
3,18.56678,
1,18.58015,
7,18.58134,
9,18.58725,
3,18.59886,
7,18.61147,
5,18.61644,
7,18.61644,
9,18.61644,
7,18.63649,
5,18.64064,
9,18.64064,
7,18.64064,
7,18.65743,
3,18.658729,
5,18.661751,
7,18.665098,
7,18.67506,
7,18.69017,
,18.82855,
,25.48441,

#ignore,test#1.09
