g,LeveleV
4,0.00000,
4,2.61490,
6,2.63092,
2,4.321420,
4,4.343464,
6,14.57600,
4,14.69407,
2,14.75946,
4,18.09192,
6,18.10162,
4,20.62556,
2,20.76048,
2,22.04842,
4,22.40177,
6,22.44508,
8,22.50726,
10,22.58938,
2,23.22105,
4,23.23433,
6,23.28687,
8,23.41125,
8,25.75904,
10,25.77127,
6,27.374074,
4,27.43781,
2,27.47830,
4,27.64303,
2,27.77485,
4,27.86599,
6,28.03813,
6,29.5918,
4,29.6384,
6,30.57797,
8,30.59156,
2,31.022731,
4,31.107903,
6,31.239970,
2,31.75084,
4,31.906537,
6,33.19569,
4,33.19826,
2,35.454050,
4,35.487315,
6,35.552196,
8,35.65176,
2,35.84660,
4,35.860433,
6,35.934402,
4,35.98660,
6,36.16162,
4,36.171646,
2,36.65843,
4,36.67480,
6,37.64971,
8,37.68984,
6,37.917765,
4,37.926717,
,59.58,

#ignore,test#4.8
