g,LeveleV
4,0.00000,
4,1.31330,
6,1.35324,
2,2.25479,
4,2.31200,
2,6.28523,
4,6.39885,
6,6.55850,
2,6.58797,
4,6.77019,
6,6.86456,
4,7.05019,
2,7.12762,
2,7.457333,
2,7.53719,
6,7.54010,
4,7.54255,
4,7.54573,
6,7.64797,
4,7.69028,
2,7.73637,
4,7.75576,
6,7.78014,
8,7.79504,
6,7.84607,
4,7.87344,
4,7.89122,
4,7.9326,
2,7.93272,
2,7.95011,
6,7.95597,
2,7.97513,
4,7.97744,
6,8.01428,
4,8.02024,
4,8.03560,
2,8.12064,
4,8.24311,
2,8.25590,
6,8.27290,
8,8.28031,
2,8.30803,
4,8.42102,
4,8.46820,
2,8.46992,
6,8.48085,
4,8.59395,
2,8.63485,
4,8.63485,
4,8.64149,
6,8.64149,
2,8.66420,
4,8.67065,
6,8.72559,
4,8.74294,
2,8.776947,
6,8.78073,
8,8.79389,
4,8.80956,
4,8.80972,
6,8.81912,
2,8.82756,
4,8.87992,
2,8.90159,
4,8.9174,
2,8.91749,
4,8.91839,
4,8.94236,
4,8.9424,
8,8.96922,
8,8.97431,
2,8.97638,
6,8.98909,
4,8.99126,
4,9.00377,
4,9.02345,
2,9.02612,
6,9.04395,
4,9.08120,
4,9.12102,
6,9.12102,
4,9.12958,
4,9.18099,
6,9.18099,
2,9.19266,
4,9.19266,
6,9.2310,
6,9.23101,
4,9.27532,
2,9.30948,
4,9.30948,
8,9.3206,
4,9.32069,
6,9.32069,
6,9.37056,
4,9.37056,
2,9.39793,
4,9.39793,
4,9.43225,
4,9.52640,
6,9.52640,
4,9.56187,
6,9.56187,
4,9.58057,
6,9.58057,
,9.78855,
6,9.905457l,
4,9.912421l,
6,9.915399l,
8,9.918417l,
2,9.966721l,
4,9.977455l,
2,10.261358l,
4,10.265845l,
2,11.400726l,
4,11.403665l,

#ignore,test#7.35
