g,LeveleV
1,0.000000,
7,1.8646693,
5,2.1871576,
3,3.4425152,
5,3.6725668,
9,5.0187254,
5,6.0145843,
7,6.4690625,
1,6.87326,
5,7.2148426,
1,7.2593028,
3,7.32759,
9,7.61071,
3,7.6559522,
5,7.8176151,
7,8.0594185,
5,8.44892,
9,8.9882505,
5,9.0729518,
3,9.1009161,
7,9.2729613,
5,9.5045915,
3,10.1245283,
1,10.2428034,
7,10.6254707,
3,10.6263844,
5,10.7327748,
1,11.29675,
7,13.4117367,
5,13.4685823,
3,14.388434,
9,14.4994966,
5,14.5142882,
3,14.54296,
7,14.5696309,
7,14.62800,
5,14.63372,
9,14.65092,
5,14.809479,
7,14.9099826,
3,14.9801338,
5,14.99614,
5,15.0168147,
5,15.09932,
3,15.10896,
9,15.25772,
7,15.29268,
,20.203,

#ignore,test#2.97
