g,LeveleV
2,0.0000000,
2,5.9956694,
4,5.9998973,
2,22.34219,
2,23.922904,
4,23.924145,
4,24.30943,
6,24.30979,
2,29.470829,
2,30.10705,
4,30.10754,
4,30.269704,
6,30.269857,
6,30.27683,
8,30.27691,
2,32.62765,
2,32.94528,
4,32.94555,
4,33.02832,
6,33.02840,
6,33.03217,
8,33.03220,
18,33.03273,
2,34.29779,
2,34.47878,
4,34.47878,
4,34.52668,
6,34.52668,
6,34.52900,
8,34.52900,
18,34.52924,
22,34.52930,
2,35.28713,
2,35.39988,
4,35.39988,
10,35.43000,
6,35.43149,
8,35.43149,
18,35.43164,
22,35.43168,
2,35.92112,
2,35.99607,
4,35.99607,
10,36.01622,
6,36.01723,
8,36.01723,
18,36.01733,
22,36.01736,
2,36.35163,
2,36.40395,
4,36.40395,
10,36.41809,
6,36.41881,
8,36.41881,
18,36.41888,
22,36.41890,
10,36.70553,
14,36.70605,
18,36.70611,
22,36.70612,
10,36.91819,
14,36.91858,
,37.93059,
2,192.73,
12,194.7606,
6,199.130,
6,201.976,
12,202.04522,
10,204.227,
6,205.197,
2,209.04,
4,218.6518,
2,220.32,
4,220.6745,
2,220.6746,
6,220.6754,
6,220.77,
20,221.8594,
10,222.56,
2,223.22,
4,223.8985,
2,223.8998,
6,223.9032,
6,224.37,
20,225.0941,
6,225.1930,
6,225.42,
4,225.5628,
12,225.8809,
10,225.96,
28,226.0500,
10,226.253,
10,226.3694,
6,226.68,
2,226.77,
6,226.7984,
8,226.8034,
20,226.8571,
12,227.1720,
4,227.3738,
12,228.1257,
10,228.265,
6,228.28,
20,228.4797,
14,228.760,
28,228.8845,
10,229.275,
4,230.8035,
12,231.1759,
20,231.4130,
28,231.5783,
12,231.9170,
20,232.3754,
4,232.4534,
12,232.6546,
10,232.71,
6,232.71,
28,232.7649,
10,232.8923,
36,232.9549,
18,232.9589,
20,232.9939,
20,233.0585,
28,233.1129,
14,233.1196,
28,233.1215,
12,233.2076,
36,233.3191,
20,233.3212,
18,233.3279,
20,233.930,
10,235.064,
12,235.3507,
10,235.41,
20,235.559,
12,235.6933,
20,235.892,
14,235.930,
28,235.9315,
10,235.94,
6,235.94,
12,235.949,
36,235.9587,
36,235.9604,
18,235.9615,
20,236.0251,
10,238.23,
10,263.93,
10,441.4,
4,444.01,

#ignore,test#2.01
