g,LeveleV
2,0.0000000,
4,0.6042806,
6,0.7035864,
2,2.5121134,
4,2.7217512,
2,5.2513724,
4,5.6970085,
6,5.7224717,
6,5.9833059,
8,6.0111671,
2,6.1235575,
4,6.2006159,
6,7.1155675,
8,7.1454250,
2,7.1942093,
4,7.4142866,
6,7.4260246,
2,7.60513,
4,7.64263,
8,7.8143180,
10,7.8143180,
6,8.008924,
8,8.021416,
2,8.1437342,
4,8.2664792,
6,8.2729189,
2,8.37032,
4,8.39142,
8,8.4837545,
10,8.4837545,
6,8.581163,
8,8.587203,
2,8.6807021,
4,8.7557947,
6,8.7597198,
2,8.81897,
4,8.83204,
8,8.8875126,
10,8.8875126,
6,8.944564,
8,8.947963,
2,9.014306,
4,9.063441,
6,9.066016,
2,9.10490,
4,9.11367,
8,9.149522,
10,9.149522,
6,9.186119,
8,9.188335,
2,9.235785,
4,9.269741,
6,9.271511,
2,9.29849,
4,9.30463,
8,9.329083,
10,9.329083,
6,9.35430,
8,9.35572,
6,9.416100,
8,9.457475,
10,9.457475,
6,9.47557,
8,9.47657,
6,9.56591,
8,9.56670,
6,9.635,
8,9.6354,
6,9.6910,
8,9.6910,
2,9.802072,
4,9.806772,
6,9.807008,
2,9.824570,
4,9.828503,
6,9.828712,
2,9.843494,
4,9.846830,
6,9.847002,
2,9.859593,
4,9.862423,
6,9.862514,
2,9.873368,
4,9.875834,
6,9.875956,
2,9.885263,
4,9.887395,
6,9.887509,
2,9.895597,
4,9.897450,
6,9.897548,
2,9.904643,
4,9.906272,
6,9.906366,
2,9.912600,
4,9.91404,
6,9.914113,
2,9.919631,
4,9.920906,
6,9.920970,
2,9.925879,
4,9.927022,
6,9.927073,
2,9.931468,
4,9.932509,
6,9.932509,
2,9.936452,
4,9.937403,
6,9.937403,
2,9.940965,
4,9.941813,
6,9.941813,
2,9.945037,
4,9.945795,
6,9.945795,
2,9.948712,
4,9.949406,
6,9.949406,
2,9.952060,
4,9.952693,
6,9.952693,
2,9.955107,
4,9.955684,
6,9.955684,
2,9.957906,
4,9.958429,
6,9.958429,
2,9.960457,
4,9.960945,
6,9.960945,
2,9.962794,
4,9.963235,
6,9.963235,
2,9.964957,
4,9.965366,
6,9.965366,
2,9.966948,
4,9.967330,
6,9.967330,
2,9.968792,
4,9.969153,
6,9.969153,
2,9.970503,
4,9.970829,
6,9.970829,
2,9.972100,
4,9.972404,
6,9.972404,
2,9.973575,
4,9.973856,
6,9.973856,
2,9.974959,
4,9.975232,
6,9.975232,
2,9.976247,
4,9.976486,
6,9.976486,
2,9.977440,
4,9.977679,
6,9.977679,
2,9.978571,
,10.003826,

#ignore,test#7.76
