g,LeveleV
2,0.000000,
2,3.958660,
4,3.959475,
2,10.9393633,
2,11.9638999,
4,11.9641389,
4,12.157217,
6,12.157283,
2,14.315766,
2,14.724427,
4,14.724527,
4,14.806342,
6,14.806372,
6,14.809490,
8,14.809506,
2,15.787543,
2,15.990443,
4,15.990496,
4,16.032413,
6,16.032428,
6,16.034114,
8,16.034123,
10,16.034313,
8,16.034313,
2,16.558888,
2,16.674061,
4,16.674091,
6,16.698334,
4,16.698334,
6,16.699332,
8,16.699336,
10,16.699452,
8,16.699452,
12,16.699487,
10,16.699487,
2,17.012960,
2,17.084523,
4,17.084541,
6,17.099798,
4,17.099798,
8,17.100435,
6,17.100435,
10,17.100534,
8,17.100534,
12,17.100537,
10,17.100537,
2,17.302635,
2,17.350111,
4,17.350123,
6,17.360339,
4,17.360339,
8,17.360778,
6,17.360778,
10,17.36084,
8,17.36084,
12,17.360850,
10,17.360850,
2,17.498671,
2,17.531767,
4,17.531776,
6,17.538947,
4,17.538947,
8,17.539257,
6,17.539257,
10,17.539294,
8,17.539294,
12,17.539303,
10,17.539303,
2,17.637476,
2,17.661462,
4,17.661468,
8,17.666921,
6,17.666921,
10,17.666949,
8,17.666949,
12,17.666955,
10,17.666955,
,18.21115,
2,114.31,
6,115.8748,
4,115.8748,
2,115.8748,
4,118.748,
2,118.748,
4,120.98,
2,120.98,
6,121.2067,
4,121.2067,
2,121.2067,
6,122.418,
4,122.418,
4,123.130,
2,123.130,
2,125.81,
4,128.0327,
2,128.82,
4,129.399,
6,129.399,
2,129.399,
2,129.514,
4,129.514,
8,130.17204,
6,130.17204,
4,130.17204,
2,130.17204,
6,130.63,
4,130.63,
2,131.22,
2,131.9306,
6,131.9306,
4,131.9306,
4,131.99,
2,131.99,
4,132.314,
2,132.70,
4,132.70,
8,132.7048,
2,132.7048,
4,132.7048,
6,132.7048,
2,132.77,
4,132.77,
6,132.8689,
4,132.8689,
2,132.8689,
8,133.03492,
10,133.03492,
6,133.03492,
4,133.03492,
4,133.08,
2,133.08,
4,133.10,
6,133.10,
4,133.1821,
2,133.224,
4,133.224,
6,133.224,
8,133.224,
2,133.2344,
4,133.2344,
6,133.2344,
4,133.42,
6,133.42,
4,133.571,
6,133.571,
4,133.62,
6,133.62,
4,133.70282,
6,133.70282,
8,133.70282,
10,133.70282,
2,133.83908,
4,133.83908,
6,133.83908,
8,133.83908,
2,134.00,
2,134.1137,
4,134.1137,
6,134.1137,
8,134.532,
4,134.532,
6,134.532,
2,134.532,
10,134.6549,
8,134.6549,
6,134.6549,
4,134.6549,
6,134.77,
4,134.77,
4,135.01,
2,135.01,
6,135.448,
4,135.448,
8,135.47,
6,135.47,
6,135.923,
4,135.923,
2,135.923,
2,136.2118,
4,136.2118,
6,136.2118,
8,136.2118,
4,136.25,
2,136.25,
4,136.3801,
6,136.3972,
2,136.3972,
4,136.3972,
6,136.546,
4,136.546,
6,136.6436,
8,136.6436,
4,136.6436,
2,136.6436,
6,136.673,
8,136.673,
10,136.67473,
8,136.67473,
6,136.67473,
4,136.67473,
8,136.7714,
4,136.7714,
6,136.7714,
2,136.7714,
,136.802739,
4,137.918,
6,137.918,
8,137.918,
2,137.918,
8,137.927,
6,137.927,
10,137.9292,
8,137.9292,
4,137.9292,
6,137.9292,
4,137.96,
2,137.96,
8,138.5663,
6,138.5663,
4,138.5663,
2,138.5663,
6,138.6078,
8,138.6078,
10,138.6078,
4,138.6078,
2,139.363,
4,139.363,
,139.86140,
,140.13328,
,141.87947,
4,148.24,
2,148.24,
4,150.13,
2,150.13,
4,268.77,
2,268.77,
4,269.22,
6,269.22,
2,269.22,
4,272.65,
6,272.65,
4,274.56,
2,275.33,
4,275.89,
2,275.89,
6,275.98,
4,275.98,
2,278.90,
4,278.90,
4,285.40,
2,285.40,
6,287.01,
2,287.01,
4,287.01,
4,287.28,
6,287.28,
4,288.10,
6,288.10,

#ignore,test#2.11
