g,LeveleV
4,0.0000000,
4,1.4157804,
6,1.9140062,
2,2.6856111,
2,4.0404245,
4,4.1119118,
2,5.0988483,
4,5.3239458,
4,5.4444405,
6,5.5565801,
4,5.5625605,
2,5.6928439,
2,5.8735626,
6,6.0119775,
4,6.1323713,
2,6.1989414,
4,6.2729294,
4,6.3255610,
6,6.3428449,
2,6.4788832,
2,6.6292554,
4,6.6801236,
2,6.6819784,
6,6.6923014,
2,6.7646568,
4,6.7658859,
4,6.8718615,
6,6.8779879,
2,6.9213594,
4,6.9540609,
2,6.9773036,
4,6.9840268,
4,7.013719,
2,7.0164,
6,7.076547,
2,7.14236,
4,7.16229,
4,7.2249911,
8,7.23790,
,7.285516,
4,7.5403,
2,7.5795,
2,7.6244,
4,7.6637,
4,7.7793,
2,7.79500,
4,7.83588,
2,7.90198,
6,7.9174,
4,7.9378,
6,7.9501,
2,7.9645,
4,7.9691,
6,8.0063,
4,8.1189,
2,8.1349,
2,8.24804,
2,8.30596,
4,8.3214,
2,8.3337,
4,8.3476,
4,8.4101,
2,8.4370,
6,8.4416,
2,8.47624,
2,8.5256,
6,8.5508,
4,8.5698,
2,8.7943,
4,8.8647,
,8.93770,
2,8.9843,
2,9.0975,
,9.39723,
,11.4958,

#ignore,test#6.35
