g,LeveleV
1,0.000000,
1,6.492688,
3,6.495625,
5,6.502613,
3,12.690036,
1,17.038615,
3,17.042174,
5,17.048076,
5,18.086335,
1,22.629581,
3,29.534648,
1,30.645207,
3,32.103388,
1,32.199384,
3,32.200087,
5,32.201709,
3,33.477076,
5,33.477213,
7,33.477561,
5,34.279506,
1,38.213986,
3,38.217994,
5,38.226472,
3,38.367799,
3,38.435885,
1,38.648542,
1,39.401467,
3,39.401746,
5,39.402339,
3,39.640271,
3,39.849924,
5,39.851837,
7,39.854727,
5,39.923368,
7,39.924100,
9,39.925140,
3,39.973026,
7,40.009951,
3,40.056428,
5,40.059463,
7,40.064295,
5,40.197226,
3,40.577334,
1,40.875778,
3,40.878392,
5,40.882992,
5,41.248462,
5,41.301394,
5,41.334721,
7,41.337764,
9,41.342189,
3,41.864006,
5,41.865607,
7,41.867981,
1,41.970428,
3,42.146534,
5,42.167254,
3,42.170439,
1,42.172212,
7,42.324602,
3,42.558572,
5,42.679450,
3,42.679860,
1,42.680157,
1,42.786380,
3,42.836115,
5,42.836134,
7,42.836187,
7,42.970346,
9,42.970346,
9,42.970358,
11,42.970380,
5,42.980156,
3,42.986900,
5,43.041349,
7,43.041519,
9,43.041785,
7,43.253126,
3,43.996788,
1,44.268481,
3,44.268579,
5,44.268711,
3,44.275957,
3,44.398466,
5,44.398466,
7,44.398466,
9,44.472162,
7,44.47216,
9,44.47216,
11,44.47219,
5,44.477215,
11,44.48259,
9,44.48259,
11,44.48259,
13,44.48259,
5,44.491732,
7,44.491769,
9,44.491821,
7,44.525447,
3,45.0823,
3,45.2413,
3,45.3333,
5,45.3333,
7,45.3333,
7,45.37802,
9,45.37802,
11,45.37802,
5,45.3817,
5,45.38677,
7,45.38677,
9,45.38677,
3,45.8650,
3,45.9360,
5,45.9360,
7,45.9360,
3,46.3488,
5,46.3488,
7,46.3488,
1,46.65254,
3,46.65515,
5,46.66810,
3,47.25105,
3,47.356,
5,47.3584,
7,47.363,
1,47.6527,
3,47.6552,
5,47.66020,
5,47.81303,
5,47.83524,
5,47.8363,
7,47.8363,
9,47.8363,
,47.88778,
3,48.0683,
5,48.0683,
7,48.0683,
7,48.1214y,
9,48.1214y,
11,48.1214y,
5,48.1272,
7,48.1287,
9,48.13245,
1,48.1670,
3,48.1670,
5,48.1670,
7,48.2017,
7,48.31271,
5,48.31931,
3,48.32108,
3,50.5150,
3,50.5640,
5,50.5640,
7,50.5640,
1,50.7002,
3,50.7002,
5,50.7002,
5,50.7723,
5,50.7942,
3,50.9061,
5,50.9061,
7,50.9061,
7,50.9351,
9,50.9351,
11,50.9351,
5,50.9405,
7,50.9405,
9,50.9405,
1,50.9441,
3,50.9441,
5,50.9441,
9,50.965,
11,50.965,
13,50.965,
7,50.9704,
9,50.9704,
11,50.97045,
5,51.01119,
7,51.01119,
9,51.01120,
3,52.2509,
5,52.2509,
7,52.2509,
1,52.3237,
3,52.3237,
5,52.3237,
3,52.4369,
5,52.4369,
7,52.4369,
1,52.4588,
3,52.4588,
5,52.4588,
7,52.46994,
9,52.47217,
11,52.47672,
3,53.2384,
5,53.2384,
7,53.2384,
1,53.2839,
3,53.2839,
5,53.2839,

#ignore,test#1.01
