g,LeveleV
2,0.000000,
4,1.692408,
6,1.699932,
2,3.123349,
4,3.150984,
2,6.467875,
4,7.047169,
6,7.049551,
2,7.505138,
4,7.514841,
8,8.437981,
6,8.437981,
2,8.762908,
4,9.016407,
6,9.017486,
2,9.234953,
4,9.239519,
8,9.675031,
6,9.675031,
8,9.691190,
10,9.691190,
2,9.850331,
4,9.983397,
6,9.983971,
6,10.347483,
8,10.347483,
8,10.357640,
10,10.357640,
2,10.451978,
4,10.530431,
6,10.530773,
6,10.752785,
8,10.752785,
8,10.759490,
10,10.759490,
2,10.819836,
4,10.869934,
6,10.870156,
8,11.015663,
6,11.015663,
10,11.020278,
8,11.020278,
12,11.021035,
10,11.021035,
2,11.061142,
4,11.095089,
6,11.095238,
8,11.19577,
6,11.19577,
10,11.199053,
8,11.199053,
4,11.252052,
6,11.252161,
8,11.32447,
6,11.32447,
12,11.327320,
10,11.327320,
6,11.36588,
4,11.36588,
6,11.45106,
4,11.45106,
4,11.51602,
6,11.51602,
4,11.56743,
6,11.56743,
6,11.60826,
4,11.60826,
6,11.64143,
4,11.64143,
,11.871719,
4,28.1995,
2,28.5441,

#ignore,test#4.12
