g,LeveleV
6,0.0000,
4,0.7206,
10,13.4776,
8,13.8533,
6,14.2282,
4,14.3977,
8,14.6714,
6,14.9472,
10,16.597,
8,16.615,
8,21.3733,
10,21.7368,
6,21.9764,
12,22.2146,
8,22.2397,
6,22.4178,
4,22.4248,
10,22.5245,
4,22.5869,
2,22.6722,
8,22.6858,
6,22.8504,
10,22.9825,
6,23.0991,
8,23.2059,
4,23.2115,
8,23.3273,
6,23.3457,
2,23.4831,
4,23.6080,
6,23.6430,
6,23.7991,
2,24.0792,
8,24.0984,
4,24.2441,
6,24.3325,
2,24.347,
4,24.3610,
10,24.370,
8,24.4879,
4,24.576,
6,24.5908,
6,24.7379,
4,24.8890,
12,24.9572,
4,25.0407,
2,25.1260,
8,25.1485,
6,25.3171,
4,25.3292,
2,25.5906,
,51.0,

#ignore,test#7.95
