g,LeveleV
9,0.000000,
11,0.189488,
13,0.387711,
9,0.406254,
5,0.466522,
5,0.473809,
7,0.590755,
9,0.620672,
9,0.635700,
7,0.682207,
7,0.776787,
11,0.788697,
5,0.814745,
9,0.882767,
9,0.886493,
9,0.971629,
13,1.035267,
3,1.106193,
11,1.156216,
5,1.227504,
7,1.255530,
1,1.435385,
3,1.439788,
7,1.549892,
5,1.567352,
5,1.591348,
1,1.992679,
11,2.002632,
3,2.048673,
5,2.147095,
13,2.159879,
3,2.286719,
5,2.384989,
7,2.413285,
9,2.662742,
7,2.708989,
1,4.071470,
5,5.013946,
7,5.199716,
9,5.395477,
5,5.813593,
1,5.960659,
7,5.984345,
5,6.001438,
3,6.034822,
5,6.204647,
9,6.206351,
7,6.245704,
7,6.355704,
9,6.359073,
5,6.402628,
3,6.438790,
9,6.501850,
7,6.647534,
11,6.719180,
9,6.763256,
5,6.764141,
3,7.852589,
5,7.936315,
7,8.127255,
1,8.39749,
5,8.732589,
5,11.077992,
5,11.108537,
9,11.115421,
7,11.116804,
7,11.126798,
9,11.164191,
7,11.169355,
3,11.176496,
5,11.186316,
11,11.240276,
3,11.267533,
1,11.270462,
9,11.373798,
9,11.386763,
7,11.396944,
7,11.400916,
5,11.408854,
9,11.416542,
11,11.428914,
13,11.471831,
5,11.485292,
7,11.493975,
5,11.505168,
11,11.558650,
3,11.605272,
3,11.717583,
5,11.881062,
7,11.905249,
5,11.949059,
7,12.146034,
7,12.263733,
9,12.295367,
11,12.296525,
3,12.305231,
3,12.310196,
9,12.345976,
11,12.349359,
7,12.362265,
5,12.385296,
13,12.400366,
3,12.421938,
7,12.480575,
5,12.489429,
9,12.499353,
5,12.518459,
11,12.544530,
7,12.565046,
5,12.566335,
15,12.592434,
3,12.602683,
7,12.624315,
5,12.667922,
9,12.673903,
3,12.677347,
7,12.692158,
3,12.692198,
11,12.697061,
1,12.708679,
9,12.716599,
7,12.726881,
13,12.757686,
7,12.765573,
9,12.780250,
5,12.799041,
9,12.813917,
3,12.846335,
13,12.854202,
5,12.916311,
9,12.930196,
7,12.930709,
11,12.937880,
5,12.998565,
5,14.623831,
7,14.628407,
5,14.666176,
9,14.668878,
7,14.669571,
9,14.689244,
7,14.703068,
5,14.712698,
3,14.714814,
11,14.728594,
3,14.759494,
9,14.902790,
7,14.909003,
9,14.936101,
11,14.958220,
7,14.958996,
9,14.963047,
5,14.969846,
13,14.982954,
7,15.002267,
11,15.009119,
5,15.013963,
3,15.071458,
7,15.145922,
11,15.161942,
11,15.201835,
9,15.204051,
7,15.211448,
5,15.226232,
13,15.233962,
9,15.238363,
11,15.238760,
13,15.240117,
11,15.240432,
9,15.241652,
7,15.241797,
5,15.247118,
7,15.247373,
3,15.247592,
13,15.251332,
15,15.252167,
5,15.253576,
3,15.253653,
9,15.275054,
5,15.318918,
11,15.427773,
7,15.437307,
15,15.449637,
11,15.498796,
9,15.509337,
7,15.514425,
13,15.517353,
11,15.517735,
9,15.518465,
11,15.518900,
13,15.520533,
15,15.521161,
9,15.522067,
7,15.522329,
5,15.526653,
7,15.526872,
5,15.531302,
3,15.531413,
17,15.531621,
15,15.532688,
1,15.534626,
3,15.534805,
13,15.535360,
5,15.547556,
9,15.574392,
13,15.586073,
5,15.628533,
3,16.206379,
5,16.901698,
7,16.917355,
7,17.097781,
5,17.142640,
7,17.293027,
5,17.494670,
5,17.581340,
,20.1974,

#ignore,test#101.39
