g,LeveleV
10,0.000000,
8,0.104315,
6,0.179942,
4,0.231540,
6,1.884877,
4,1.912899,
2,1.96048,
10,2.105197,
8,2.203059,
4,2.504152,
2,2.59391,
12,2.81710,
6,2.859193,
10,2.905685,
4,3.005229,
6,4.590195,
8,4.626824,
10,5.7576877,
8,5.8277190,
6,5.8788367,
4,5.9139546,
2,5.9345478,
8,6.9095728,
6,6.9894783,
4,7.0416752,
2,7.0716983,
4,7.09507,
6,7.15376,
6,8.7948492,
14,8.8802806,
12,8.9113757,
10,8.9373568,
8,8.9605701,
4,8.9693971,
2,9.0776340,
10,9.0864600,
8,9.1179938,
6,9.1411013,
4,9.1578483,
12,9.4873214,
4,9.5210695,
10,9.5619738,
8,9.5944297,
12,9.5979831,
6,9.6054941,
10,9.6241841,
2,9.7247776,
8,9.7859350,
6,9.8476387,
10,10.2119090,
8,10.2809987,
4,10.3868328,
2,10.388802,
6,10.3900395,
8,10.4072676,
14,10.5976226,
12,10.6029738,
10,10.6979895,
8,10.7033547,
4,11.0703037,
6,11.0987102,
2,11.271886,
6,11.371391,
4,11.383654,
10,12.1864997,
8,12.2181632,
6,12.2525699,
4,12.2798809,
2,12.2970962,
8,12.353321,
6,12.354063,
12,12.8008346,
10,12.8183954,
8,12.8326527,
6,12.8440534,
4,12.8517434,
2,12.8561147,
8,13.0195178,
2,13.034573,
4,13.104941,
6,13.1380897,
4,13.2001513,
8,13.2030059,
10,13.2095945,
6,13.2116300,
4,13.2158028,
8,13.218281,
6,13.229098,
10,13.2371768,
6,13.2607058,
4,13.3031438,
2,13.3292620,
8,13.3320324,
6,13.3968531,
4,13.4403335,
6,13.6843304,
4,13.7575091,
2,13.7973876,
6,13.8996789,
8,13.900045,
10,14.430564,
8,14.436720,
4,15.3661879,
12,15.4691856,
6,15.4986179,
10,15.4997318,
8,15.5263352,
14,15.5324354,
12,15.5349330,
6,15.5439779,
10,15.5504820,
8,15.5838491,
2,15.6116000,
6,15.6212697,
16,15.6369296,
10,15.6518783,
4,15.6694437,
14,15.6811662,
12,15.6843259,
8,15.6902918,
6,15.730163,
8,15.7327809,
4,15.7446314,
10,15.7459406,
10,15.7524744,
8,15.7855913,
4,15.8029890,
14,15.8296033,
2,15.86958,
8,15.8723777,
6,15.8807541,
12,15.9022326,
4,15.9226418,
6,15.9352548,
4,15.9699654,
2,15.9863756,
12,16.0630626,
10,16.0675710,
8,16.0817830,
6,16.0867974,
8,16.1409049,
6,16.1686956,
2,16.2077526,
10,16.2175278,
4,16.2308209,
12,16.2488332,
10,16.2542951,
8,16.2767557,
12,16.288120,
10,16.3088410,
8,16.3142052,
6,16.3516870,
10,16.3521224,
8,16.4004557,
2,16.405139,
14,16.4128201,
6,16.4267306,
12,16.4288783,
10,16.4388583,
4,16.439516,
8,16.4434279,
6,16.5782473,
4,16.6239574,
12,16.7003760,
10,16.7881529,
6,16.8780846,
8,16.8979036,
14,17.0310225,
10,17.0680177,
8,17.0867299,
16,17.1390709,
6,17.206072,
10,17.2241823,
4,17.230379,
12,17.251047,
2,17.273088,
4,17.311841,
2,17.324724,
6,17.3262199,
8,17.3355273,
4,17.354098,
6,17.3842787,
8,17.3859770,
10,17.402414,
8,17.4054629,
10,17.419017,
4,17.4289975,
2,17.431736,
8,17.438013,
6,17.45555,
12,17.5056004,
10,17.5250302,
14,17.5896848,
12,17.5903117,
4,17.6641060,
6,17.6898420,
8,17.8103702,
4,17.813693,
6,17.883647,
2,17.906372,
6,18.092669,
4,18.1832509,
8,18.203005,
6,18.224266,
2,18.284499,
4,18.374143,
8,18.846528,
10,18.96549,
6,18.97463,
4,19.070306,
2,19.275334,
4,19.304449,
6,19.332741,
8,19.347237,
6,19.431394,
8,19.433930,
2,19.80343,
6,19.8744061,
8,19.9080470,
10,19.9421010,
12,19.9815069,
4,20.06180,
2,20.202613,
4,20.235883,
4,20.255787,
10,20.309917,
6,20.314953,
6,20.34486,
8,20.3703227,
2,20.394589,
4,20.422595,
6,20.452814,
4,20.476228,
8,20.482147,
6,20.518238,
10,20.53253,
8,20.563717,
4,20.617417,
2,20.68639,
6,20.713508,
4,20.777675,
12,20.831005,
8,20.831901,
6,20.846419,
10,20.85563,
8,20.88514,
6,20.91480,
4,20.93921,
2,20.954740,
10,21.018830,
8,21.02668,
8,21.02726,
6,21.048942,
4,21.076843,
10,21.086388,
2,21.10152,
6,21.12146,
10,21.14372,
14,21.16735,
4,21.17715,
12,21.191372,
12,21.20499,
8,21.21121,
10,21.23465,
8,21.251386,
6,21.25915,
8,21.26679,
6,21.29186,
4,21.29321,
4,21.303715,
10,21.31819,
6,21.32114,
8,21.372050,
8,21.39771,
6,21.42473,
10,21.425283,
8,21.44175,
4,21.465823,
6,21.473483,
4,21.52481,
2,21.55479,
4,23.68429,
6,23.71928,
6,24.16972,
8,24.26418,
4,24.34897,
2,24.38925,
,33.50,

#ignore,test#31.83
