g,LeveleV
4,0.00000,
6,0.02943,
8,0.06898,
10,0.11723,
2,1.74321,
4,1.75779,
6,1.79432,
8,1.86641,
10,1.90965,
4,2.41018,
2,2.42027,
4,2.56040,
6,2.56220,
10,2.61196,
12,2.64348,
8,4.26063,
6,4.28451,
6,6.56824,
4,6.58899,
4,12.89392,
6,12.92642,
8,12.97249,
10,13.03145,
6,13.63101,
8,13.72403,
6,14.70099,
4,14.72037,
2,14.75593,
4,14.78536,
6,14.83735,
2,15.42494,
4,15.46509,
10,15.77026,
8,15.77182,
2,19.26149,
6,19.51033,
8,19.58123,
4,19.65493,
10,19.66755,
6,19.70018,
8,19.75713,
12,19.76918,
10,19.82056,
6,19.87534,
8,19.95369,
4,19.95978,
2,20.00545,
6,20.02287,
4,20.05523,
8,20.09349,
6,20.12281,
8,20.44620,
10,20.51071,
2,20.81651,
4,21.21138,
4,21.34810,
6,21.40419,
2,21.42735,
8,21.49464,
2,21.50282,
4,21.53098,
6,21.58518,
4,21.64016,
8,21.67817,
6,21.69334,
2,21.90688,
4,21.93488,
6,21.99560,
8,22.05883,
10,22.07291,
6,22.47128,
4,22.47560,
10,22.64933,
12,22.74418,
2,22.77841,
4,22.79767,
8,23.18266,
6,23.24939,
2,26.10601,
4,26.23207,
6,28.83452,
8,28.87550,
6,28.90286,
10,28.91767,
8,28.93280,
2,28.96499,
8,28.96737,
12,28.96854,
10,28.97616,
4,28.98737,
6,29.02287,
12,29.02471,
14,29.07441,
8,29.07455,
2,29.22841,
4,29.32120,
2,29.48322,
8,29.50818,
4,29.52069,
6,29.56367,
10,29.57783,
4,29.69935,
6,29.69935,
10,29.70448,
12,29.78953,
4,29.87621,
6,29.90282,
8,29.93881,
10,29.98341,
4,30.63638,
6,30.65377,
8,30.69188,
2,30.71894,
10,30.98768,
8,30.99700,
6,31.06241,
8,31.08937,
4,31.12218,
10,31.13158,
2,31.13189,
6,31.13712,
8,31.16252,
4,31.18995,
6,31.22009,
8,31.26736,
6,31.30165,
8,31.31008,
10,31.33013,
6,31.42703,
8,31.51828,
6,31.55827,
4,31.69809,
2,31.71560,
6,31.71973,
4,31.77792,
12,31.84574,
14,31.84973,
8,31.93692,
10,31.95251,
10,32.20557,
12,32.21105,
8,32.71644,
6,32.72823,
6,32.85973,
4,32.86184,
4,33.08865,
6,33.09531,
2,33.09716,
4,33.11995,
6,33.16193,
2,33.28456,
4,33.32861,
10,33.95497,
8,33.95513,
,49.16,

#ignore,test#34.05
