g,LeveleV
2,0.00000000,
2,1.385928617528,
4,1.454620692074,
4,1.79767873,
6,1.809777795,
2,2.2981127,
2,2.6985592,
4,2.721006,
4,2.80065687,
6,2.80597149,
2,3.01494227654,
8,3.03414695,
6,3.03416944,
2,3.187489360,
4,3.197739,
4,3.22951984,
6,3.23211592,
2,3.33649694,
8,3.3439968,
6,3.3440154,
8,3.34857194,
10,3.34857229,
2,3.42655087,
4,3.43209068,
4,3.44815430,
6,3.44959750,
2,3.50878117,
8,3.51239888,
6,3.51241200,
8,3.51525509,
10,3.51525529,
2,3.56167080,
4,3.56500158,
4,3.57430103,
6,3.575182547,
2,3.611874198,
8,3.61388003,
6,3.613889169,
8,3.615760113,
10,3.61576024,
2,3.645559844,
4,3.6477173,
4,3.65360204,
6,3.654178835,
2,3.678462803,
8,3.67968855,
6,3.679695137,
8,3.680983971,
10,3.68098408,
2,3.701229795,
4,3.7027069,
4,3.70667374,
6,3.707071301,
2,3.723963144,
8,3.72476740,
6,3.724772227,
8,3.725694560,
10,3.72569472,
2,3.740066199,
4,3.7411213,
4,3.74392558,
6,3.744210985,
2,3.756429242,
8,3.756986073,
6,3.756989684,
8,3.757671026,
10,3.75767114,
2,3.768235852,
4,3.7690159,
4,3.77107279,
6,3.771284489,
2,3.780405103,
8,3.780807106,
6,3.780809866,
10,3.78132657,
8,3.781326738,
2,3.789317765,
4,3.7899103,
4,3.79146490,
6,3.791626184,
2,3.798613336,
8,3.798913391,
6,3.798915550,
8,3.799316584,
2,3.805505791,
4,3.8059666,
4,3.80717042,
6,3.807296076,
2,3.812766301,
8,3.812996423,
6,3.812998144,
8,3.813315339,
2,3.818205847,
4,3.8185710,
4,3.81952272,
6,3.819622484,
2,3.823984841,
8,3.824165349,
6,3.824166742,
8,3.824421821,
2,3.828352787,
4,3.828647273,
4,3.82941264,
6,3.829493134,
2,3.833027612,
8,3.833171929,
6,3.833173072,
8,3.833381198,
2,3.836587939,
4,3.8368290,
4,3.83745366,
6,3.837519556,
2,3.840422987,
8,3.840540259,
6,3.840541207,
8,3.840713179,
2,3.843360,
4,3.843560,
4,3.84407924,
6,3.844134078,
2,3.846548204,
8,3.846644809,
6,3.846645597,
8,3.846789325,
2,3.849004282,
4,3.8491718,
4,3.84960343,
6,3.849649478,
2,3.851678300,
8,3.851758872,
6,3.851759542,
8,3.851880864,
2,3.853750986,
4,3.853896,
4,3.85425740,
6,3.854296426,
2,3.856017742,
8,3.856085694,
6,3.856086267,
8,3.856189418,
2,3.857782881,
4,3.857903527,
4,3.85821481,
6,3.858248132,
2,3.859721069,
8,3.859778881,
6,3.859779373,
8,3.859868093,
2,3.861236594,
4,3.861344,
4,3.86160800,
6,3.861636650,
2,3.862906784,
8,3.862956416,
6,3.862956850,
8,3.863033441,
2,3.864217654,
4,3.864307580,
4,3.86453966,
6,3.864564140,
8,3.865710008,
6,3.865710380,
8,3.865777177,
4,3.86708893,
6,3.867110622,
8,3.868111803,
6,3.868112125,
8,3.868170529,
8,3.870219302,
6,3.870219596,
8,3.870271119,
8,3.872078690,
6,3.872078950,
8,3.872124481,
,3.89390572743,
4,12.307,
6,13.1727,
2,13.5228,
2,14.5917,

#ignore,test#27.59
