g,LeveleV
2,0.0000000,
6,1.388948,
4,1.6422256,
2,3.7858977,
4,3.8166920,
6,4.837701,
4,4.973503,
10,5.072089,
2,5.076382,
8,5.102380,
6,5.153147,
4,5.244851,
2,5.3483348,
8,5.395050,
6,5.421363,
6,5.505682,
4,5.522772,
2,5.568835,
8,5.574734,
2,5.681073,
4,5.688311,
4,5.724709,
6,5.777459,
4,6.1227049,
2,6.1227444,
4,6.1911751,
6,6.1920252,
2,6.5524100,
4,6.7923584,
2,6.8225730,
4,6.8671955,
6,6.8676456,
8,6.8719921,
6,6.8723598,
8,6.946821,
4,6.985719,
6,7.023880,
2,7.0263553,
2,7.119078,
4,7.1778166,
6,7.1780681,
6,7.1793195,
8,7.1802167,
10,7.1816767,
8,7.1816767,
4,7.1847068,
6,7.205884,
2,7.236296,
2,7.261618,
4,7.276745,
4,7.345981,
6,7.3461333,
8,7.347225,
6,7.3472875,
10,7.3481359,
8,7.3481359,
22,7.3483475,
4,7.349162,
2,7.355080,
2,7.395393,
4,7.447174,
6,7.447282,
4,7.447752,
8,7.4479138,
6,7.4479334,
10,7.4485062,
8,7.4485062,
22,7.448643,
2,7.449569,
6,7.512670,
4,7.512763,
6,7.512825,
4,7.512835,
2,7.513590,
4,7.557620,
4,7.557694,
6,7.557744,
2,7.557999,
4,7.589709,
6,7.58984,
2,7.589923,
4,7.613467,
2,7.613558,
4,7.631530,
2,7.631562,
4,7.645592,
2,7.64560,
4,7.656732,
2,7.65674,
6,7.665725,
6,7.673078,
6,7.679171,
2,7.68153,
6,7.684278,
2,7.68625,
6,7.688595,
2,7.69026,
6,7.692282,
2,7.69372,
6,7.695452,
2,7.696685,
6,7.698200,
2,7.69928,
6,7.700600,
2,7.701571,
6,7.702704,
2,7.70352,
6,7.704557,
2,7.705299,
6,7.706209,
2,7.706852,
6,7.707680,
2,7.708270,
6,7.708993,
2,7.709521,
6,7.710172,
2,7.710647,
6,7.711242,
2,7.711660,
6,7.712206,
2,7.712595,
6,7.713079,
2,7.71342,
6,7.713867,
2,7.71420,
6,7.714586,
2,7.71485,
6,7.715254,
2,7.71551,
6,7.715868,
2,7.71609,
6,7.716429,
2,7.71662,
6,7.716944,
2,7.71712,
6,7.717424,
6,7.717866,
6,7.718274,
6,7.718654,
6,7.719014,
6,7.719345,
6,7.719654,
6,7.719947,
6,7.720211,
6,7.720471,
6,7.720715,
6,7.72093,
6,7.72114,
6,7.72133,
6,7.72154,
6,7.72171,
6,7.72187,
,7.726380,
8,7.737027,
6,7.804590,
4,7.883492,
2,7.993553,
6,8.016523,
4,8.091200,
6,8.324631,
4,8.427456,
4,8.71376,
8,8.720675,
6,8.730290,
8,8.733648,
6,8.74849,
4,8.784698,
2,8.78474,
10,8.785458,
6,8.797899,
4,8.802645,
2,8.80315,
4,8.806574,
6,8.815053,
8,8.818726,
12,8.819080,
6,8.824970,
8,8.836134,
10,8.838904,
8,8.879001,
6,8.895317,
2,8.912346,
4,8.91670,
4,8.917846,
4,8.92050,
10,8.924220,
8,8.928948,
4,8.929880,
6,8.935167,
8,8.938404,
4,8.939879,
6,8.945607,
2,8.945645,
2,9.00145,
2,9.01835,
8,9.063585,
4,9.063852,
6,9.075491,
6,9.088620,
4,9.090086,
8,9.174217,
4,9.20698,
6,9.213650,
8,9.217236,
10,9.237791,
6,9.289453,
4,9.304224,
2,9.310131,
2,9.312387,
6,9.319921,
8,9.32439,
4,9.331485,
10,9.34171,
2,9.34670,
4,9.353390,
6,9.354195,
6,9.365294,
8,9.369838,
2,9.430786,
4,9.464002,
10,9.52503,
4,9.52587,
