g,LeveleV
9,0.000000,
7,0.206956,
5,1.230295,
7,1.249965,
9,1.278627,
11,1.319623,
13,1.379723,
11,2.090463,
9,2.108235,
7,2.125197,
5,2.138439,
3,2.147984,
7,2.947635,
9,3.001392,
11,3.245017,
9,3.327550,
7,3.360476,
5,3.379357,
5,3.742997,
7,3.905604,
9,4.027763,
11,4.143577,
9,4.188180,
7,4.205507,
5,4.208580,
7,4.264259,
7,4.283171,
9,4.292052,
13,4.310307,
7,4.329953,
9,4.345148,
7,4.394109,
9,4.404789,
7,4.409838,
5,4.444457,
9,4.455473,
9,4.516607,
7,4.541293,
11,4.543891,
7,4.565247,
9,4.581712,
11,4.587415,
5,4.587816,
9,4.588742,
7,4.608232,
9,4.615161,
5,4.629177,
13,4.659776,
7,4.662489,
7,4.664641,
5,4.686589,
11,4.692720,
11,4.702992,
9,4.710611,
9,4.718594,
5,4.729556,
7,4.748085,
7,4.768886,
3,4.783568,
15,4.801328,
11,4.808661,
7,4.811204,
9,4.834828,
5,4.847711,
9,4.852087,
9,4.904124,
13,4.909997,
7,4.930548,
13,4.998661,
9,5.067323,
13,5.095640,
11,5.111030,
9,5.137673,
9,5.166026,
9,5.171981,
5,5.255818,
5,5.261711,
9,5.295382,
7,5.323813,
7,5.355307,
9,5.388486,
11,5.411057,
9,5.464708,
11,5.572736,
11,5.595008,
13,5.706886,
9,5.707244,
9,5.775736,
5,5.972506,
3,5.973643,
11,5.998111,
5,6.015996,
7,6.017773,
9,6.059461,
7,6.064185,
9,6.075610,
5,6.080557,
9,6.091099,
5,6.106802,
7,6.134795,
7,6.155396,
5,6.164605,
3,6.316680,
11,6.566625,
9,6.589802,
7,6.631969,
9,6.668243,
5,6.677945,
5,6.729116,
9,6.731725,
7,6.734907,
9,6.742298,
11,6.748306,
3,6.749131,
11,6.755189,
5,6.755977,
13,6.765203,
7,6.768186,
7,6.769546,
7,6.838495,
7,6.843070,
7,6.888441,
13,6.899946,
5,6.905169,
5,6.919217,
7,6.939133,
1,6.941435,
11,6.942040,
9,6.951470,
7,6.962786,
7,6.971529,
3,6.973567,
11,6.976764,
9,6.979483,
7,6.981452,
3,6.981661,
5,6.982948,
5,6.995389,
5,7.013915,
11,7.039972,
7,7.082878,
9,7.100592,
7,7.111740,
3,7.112190,
7,7.115313,
5,7.118560,
7,7.145708,
5,7.305228,
7,7.320708,
3,7.333078,
5,7.356565,
9,7.357650,
7,7.410011,
7,7.438474,
9,8.257100,
7,8.286628,
,11.240,

#ignore,test#39.08
