g,LeveleV
1,0.0000000,
1,5.872828,
3,5.9281946,
5,6.044211,
3,8.7658598,
3,12.7635031,
1,13.2244496,
5,13.3556666,
3,14.1113713,
5,14.1146464,
7,14.1197164,
1,14.220426,
3,14.286014,
5,14.399512,
1,14.6834445,
3,14.6944164,
5,14.7203798,
3,14.9463486,
5,15.645270,
3,16.491175,
1,16.581795,
1,16.817142,
3,17.0053657,
5,17.0067379,
7,17.0088300,
5,17.0270333,
7,17.0271807,
9,17.0279494,
7,17.0283085,
5,17.3210193,
3,18.0389824,
1,18.1046190,
5,18.285728,
7,18.2858673,
9,18.2865773,
7,18.2868419,
3,18.290191,
5,18.290904,
7,18.2919940,
7,18.327048,
9,18.327053,
11,18.327171,
9,18.327188,
5,18.4050487,
3,18.836167,
1,18.8705024,
5,18.9695920,
7,18.969784,
9,18.9703234,
7,18.970769,
3,18.977631,
5,18.978050,
7,18.978695,
7,18.99620,
9,18.996215,
11,18.996316,
9,18.996331,
5,19.0335219,
5,19.38150,
7,19.38168,
9,19.382126,
7,19.38260,
7,19.38948,
7,19.39966,
9,19.39967,
11,19.39975,
9,19.399777,
9,19.66135,
7,19.66135,
9,19.66150,
11,19.66153,
,20.51514,
3,30.6618,
3,31.0582,
3,31.115,
3,33.172,
3,33.336,
3,33.606,
3,33.741,
3,33.775,
3,34.440,
3,34.537,
3,34.871,
3,34.952,
3,34.977,
3,35.179,
3,35.223,
3,35.541,
3,35.560,
3,35.569,
3,35.611,
3,35.799,
3,35.823,
3,35.965,
3,35.984,
3,35.996,

#ignore,test#1.02
