g,LeveleV
2,0.0000,
2,10.08133,
4,10.42736,
4,23.63157,
6,23.66269,
2,24.70555,
2,28.07705,
4,28.19325,
8,31.9249,
6,31.9254,
6,32.2282,
4,32.7869,
4,33.16026,
6,33.17515,
2,33.55055,
4,34.9282,
2,35.09097,
4,35.14473,
2,35.2126,
4,36.1602,
2,36.2970,
4,36.3653,
2,36.4360,
4,36.6070,
6,36.89318,
8,36.89326,
10,36.9935,
8,36.9935,
4,37.58033,
6,37.58810,
2,37.77397,
2,38.6015,
4,38.6188,
4,39.4423,
8,39.58532,
6,39.58541,
2,39.9401,
2,40.12197,
2,41.5630,
,45.7155,
2,47.0537,
4,47.2149,
4,47.3250,
2,47.518,
2,47.6737,
4,48.0519,
6,48.4002,
4,48.607,
4,48.7724,
6,48.783,
6,48.871,
2,48.958,
2,49.175,
4,49.2671,
6,51.535,

#ignore,test#2.0
