g,LeveleV
2,0.00000000000000,
8,10.1988358,
18,12.0875052,
32,12.7485393,
50,13.0545017,
72,13.22070389,
98,13.32091817,
128,13.38596103,
162,13.43055424,
200,13.46245155,
242,13.48605194,
288,13.50400193,
338,13.51797128,
392,13.52905552,
450,13.53799772,
512,13.54531624,
578,13.55138166,
648,13.55646454,
722,13.56076619,
800,13.56443886,
882,13.56759946,
968,13.57033894,
1058,13.57272894,
1152,13.57482645,
1250,13.57667733,
1352,13.57831878,
1458,13.57978125,
1568,13.58108984,
1682,13.58226541,
1800,13.58332538,
1922,13.58428445,
2048,13.58515502,
2178,13.58594765,
2312,13.58667137,
2450,13.58733395,
2592,13.58794208,
2738,13.58850159,
2888,13.58901750,
3042,13.58949423,
3200,13.58993566,

#ignore,test#2.06
