g,LeveleV
1,0.00000000,
3,19.81961484203,
1,20.6157751334,
5,20.96408720675,
3,20.96409668230,
1,20.96421916817,
3,21.2180230218,
3,22.718466742,
1,22.920317682,
5,23.0070734673,
3,23.0070761918,
1,23.0071097475,
7,23.07365102990,
5,23.07365134140,
3,23.07365682165,
5,23.07407511941,
3,23.0870188528,
3,23.593959036,
1,23.6735709133,
5,23.7078915511,
3,23.7078926664,
1,23.7079063452,
7,23.73609051247,
5,23.73609066143,
3,23.73609295768,
5,23.73633535786,
7,23.737007130074,
9,23.737008015292,
5,23.737009083833,
7,23.737010045198,
3,23.7420703918,
3,23.9719717413,
1,24.0112153129,
5,24.0282253870,
3,24.0282259477,
1,24.0282328220,
7,24.042662564819,
5,24.042662644310,
3,24.042663817021,
5,24.042803734930,
7,24.043154407280,
9,24.043154788948,
5,24.043155335762,
7,24.043155971555,
9,24.0432159882911,
11,24.0432163317922,
7,24.0432166440935,
9,24.0432168542416,
3,24.0458007297,
3,24.1689985463,
1,24.1911605982,
5,24.2008157776,
3,24.2008160981,
1,24.2008200312,
7,24.209163433335,
5,24.209163480258,
3,24.209164158016,
5,24.209250116893,
7,24.2094551506479,
9,24.2094553495983,
5,24.2094556659472,
7,24.2094560889011,
9,24.2094922052525,
11,24.2094924038571,
7,24.2094925845692,
9,24.2094927063924,
11,24.20950088025301,
13,24.20950100971409,
9,24.20950112722159,
11,24.20950121490285,
3,24.2110030003,
3,24.2845663599,
1,24.2982862291,
5,24.30428952460,
3,24.30428972472,
1,24.30429218260,
7,24.309541220281,
5,24.309541250161,
3,24.309541676627,
5,24.309597704313,
7,24.3097276142809,
9,24.3097277315102,
5,24.3097279306893,
7,24.3097282201906,
9,24.3097514886974,
11,24.3097516136789,
7,24.3097517274726,
9,24.3097518042885,
11,24.30975716401156,
13,24.30975724553837,
9,24.30975731953549,
11,24.30975737475284,
13,24.30975894672121,
15,24.30975900390359,
11,24.30975905600832,
13,24.30975909740429,
3,24.31070850185,
3,24.3581044672,
1,24.3671804009,
5,24.37116620390,
3,24.37116633720,
1,24.37116797472,
7,24.374681203098,
5,24.374681223256,
3,24.374681508803,
5,24.374719867558,
7,24.3748072401842,
9,24.3748073153049,
5,24.3748074487220,
7,24.3748076533589,
9,24.3748234692642,
11,24.3748235529486,
7,24.3748236291783,
9,24.37482368068775,
11,24.37482736358889,
13,24.37482741820554,
9,24.37482746777703,
11,24.37482750476883,
13,24.37482860166212,
15,24.37482863996989,
11,24.37482867487578,
13,24.37482870260794,
15,24.37482907849952,
17,24.37482910682705,
13,24.37482913277335,
15,24.37482915425795,
3,24.37546702047,
3,24.40777570227,
1,24.41408840062,
5,24.41686920906,
3,24.41686930227,
1,24.41687044765,
7,24.419335888144,
5,24.419335902367,
3,24.419336102843,
5,24.419363440351,
7,24.4194249695298,
9,24.4194250206772,
5,24.4194251143717,
7,24.4194252634467,
9,24.41943648105410,
11,24.41943653980575,
7,24.41943659334250,
9,24.41943662954452,
11,24.41943926060352,
13,24.41943929896249,
9,24.41943933377775,
11,24.41943935975852,
13,24.41944015122678,
15,24.41944017813147,
11,24.41944020264687,
13,24.41944022212417,
15,24.41944049736809,
17,24.41944051726346,
13,24.41944053548629,
15,24.41944055057566,
3,24.41988963744,
3,24.44289372042,
1,24.44746034222,
5,24.44947721493,
3,24.44947728263,
1,24.44947811498,
7,24.451274135127,
5,24.451274145530,
3,24.451274291635,
5,24.4512944275430,
7,24.4513393678505,
9,24.4513394043085,
5,24.4513394726070,
7,24.4513395841480,
9,24.45134781888615,
11,24.45134786170360,
7,24.45134790073097,
9,24.45134792713613,
11,24.45134986834879,
13,24.45134989631256,
9,24.45134992169262,
11,24.45134994063270,
13,24.45135052860618,
15,24.45135054821986,
11,24.45135056609144,
13,24.45135058029048,
15,24.45135078680538,
17,24.45135080130905,
13,24.45135081459346,
15,24.45135082559359,
3,24.45167878250,
3,24.475209,
3,24.493108,
3,24.507043,
3,24.518101,
3,24.527024,
,24.587389011,
9,58.311,
9,59.67378,
15,63.120,
15,63.78658,
9,64.0719,

#ignore,test#1.0
