g,LeveleV
5,0.000000,
7,0.292191,
9,0.566315,
1,0.684613,
5,0.699100,
3,0.814892,
5,1.113843,
9,1.305869,
3,1.737989,
3,1.747220,
5,1.789728,
7,1.802939,
5,1.827611,
7,1.943245,
5,2.004001,
9,2.078793,
11,2.219476,
5,2.233086,
3,2.249491,
9,2.259611,
1,2.265205,
7,2.279014,
7,2.391989,
5,2.453808,
3,2.576995,
5,2.592314,
9,2.598720,
3,2.695255,
7,2.752335,
5,2.783515,
7,2.836788,
11,2.839404,
9,2.882981,
5,2.892267,
7,2.907257,
7,2.931574,
11,2.986177,
9,3.072977,
1,3.095486,
5,3.110037,
3,3.123716,
7,3.134545,
5,3.178237,
7,3.183741,
11,3.248700,
7,3.261501,
3,3.281109,
7,3.312284,
3,3.337424,
9,3.356810,
5,3.366126,
9,3.411600,
3,3.413750,
7,3.428699,
3,3.477498,
5,3.496421,
5,3.504710,
1,3.536797,
3,3.537017,
7,3.543926,
3,3.569536,
9,3.626122,
5,3.645314,
5,3.688882,
7,3.719130,
5,3.737677,
9,3.810434,
11,3.840657,
7,3.850285,
5,3.858289,
7,3.885976,
5,3.919240,
5,3.920377,
9,3.960466,
5,3.960531,
3,3.961574,
3,3.978850,
7,4.033615,
5,4.106540,
3,4.108572,
7,4.108727,
5,4.158201,
7,4.209174,
9,4.214807,
5,4.214825,
3,4.289413,
9,4.315380,
7,4.324202,
5,4.332994,
3,4.338410,
5,4.353740,
3,4.374699,
7,4.395715,
11,4.462650,
9,4.472732,
7,4.492858,
11,4.515413,
7,4.528379,
7,4.539043,
5,4.559252,
9,4.568823,
3,4.581128,
5,4.592230,
9,4.620869,
3,4.629099,
3,4.730209,
5,4.747278,
5,4.751753,
7,4.761960,
11,4.816222,
9,4.833877,
7,4.845533,
7,4.851205,
7,4.859426,
3,4.870867,
5,4.889342,
3,4.903121,
3,4.922719,
5,4.933194,
3,4.933418,
1,4.940010,
5,4.975514,
5,4.983478,
5,4.992515,
5,5.023040,
3,5.036067,
5,5.038254,
3,5.046668,
7,5.054518,
7,5.068729,
12,5.078088,
3,5.107401,
5,5.109517,
5,5.120344,
7,5.135727,
7,5.142349,
7,5.175021,
5,5.178655,
7,5.185587,
3,5.211846,
7,5.214973,
3,5.221185,
9,5.229105,
9,5.242483,
5,5.244794,
7,5.252082,
3,5.267531,
9,5.290506,
5,5.296553,
3,5.304360,
9,5.315329,
5,5.333363,
7,5.344303,
7,5.391984,
5,5.395526,
3,5.400970,
3,5.428844,
9,5.435256,
3,5.436041,
11,5.471669,
3,5.487236,
5,5.501851,
9,5.551702,
7,5.589614,
7,5.593202,
5,5.596508,
5,5.610894,
3,5.612781,
7,5.624523,
7,5.635720,
3,5.638132,
7,5.659799,
5,5.669626,
3,5.678412,
7,5.702604,
5,5.710242,
5,5.724365,
5,5.725972,
7,5.738021,
9,5.738279,
5,5.757543,
7,5.799482,
5,5.809993,
5,5.822541,
7,5.823117,
5,5.824926,
9,5.826313,
5,5.865069,
7,5.870147,
7,5.900419,
9,5.902418,
5,5.914345,
3,5.935674,
7,5.943609,
9,5.953994,
9,5.957180,
7,5.957370,
3,5.967306,
7,5.990802,
9,5.995491,
5,6.001737,
5,6.024992,
7,6.025507,
5,6.039072,
7,6.051640,
7,6.059037,
5,6.069271,
9,6.075889,
11,6.142258,
9,6.152517,
7,6.173404,
9,6.247962,
11,6.373860,
,6.825070,

#ignore,test#52.64
