g,LeveleV
6,0.00000,
4,1.94465,
10,7.45614,
8,8.19647,
6,8.67175,
4,8.89749,
6,9.63050,
8,9.77659,
2,10.21517,
4,10.40422,
6,10.66650,
4,11.02216,
10,11.45056,
8,11.55316,
2,11.58087,
4,12.41767,
6,12.51157,
8,16.21884,
10,16.56633,
4,17.19797,
6,17.26632,
6,18.19697,
8,18.26115,
2,18.54623,
12,18.62623,
4,18.85710,
10,18.90673,
8,19.01346,
6,19.10910,
2,19.12329,
6,19.33614,
4,19.43745,
8,19.80013,
6,19.90617,
10,20.01209,
2,20.15280,
8,20.35168,
4,20.46598,
6,20.47895,
10,20.56919,
8,20.79545,
4,20.88094,
6,20.99589,
4,21.42027,
6,21.45517,
8,21.48750,
2,21.52234,
4,21.55365,
2,22.05473,
6,22.07245,
4,22.08781,
12,22.15554,
6,22.30377,
4,22.33706,
8,22.72756,
10,22.93017,
4,23.15779,
6,23.40724,
8,23.41707,
2,23.70910,
,48.55,

#ignore,test#6.58
