g,LeveleV
5,0.00000,
1,0.79944,
3,0.8786621,
5,1.70196,
1,3.65770,
5,10.046774,
5,10.155277,
3,10.442221,
3,10.519175,
1,10.586285,
7,10.628915,
9,10.667144,
5,10.683081,
3,10.877637,
1,11.208785,
5,11.220360,
3,11.422988,
7,11.531268,
5,11.616247,
3,11.756843,
3,11.897009,
7,11.983141,
5,12.036795,
5,12.113357,
1,12.137361,
7,12.172242,
3,12.301664,
5,12.314996,
9,12.321236,
7,12.391365,
7,12.448346,
9,12.541968,
3,12.602276,
5,12.722455,
1,12.770873,
9,12.782966,
3,12.962076,
1,13.043258,
3,13.155130,
5,13.329761,
7,13.343910,
5,13.456935,
3,13.550909,
3,13.639094,
5,13.695162,
1,13.767089,
5,13.799204,
3,13.881467,
5,13.908484,
7,13.938185,
5,14.055839,
7,14.058933,
7,14.091568,
3,14.110988,
5,14.153690,
5,14.194032,
1,14.213030,
3,14.245466,
7,14.291388,
9,14.302066,
5,14.346019,
3,14.392686,
5,14.622127,
3,14.639321,
5,14.705463,
5,14.764383,
5,14.793930,
3,14.864313,
3,15.011480,
7,15.026336,
1,15.089086,
7,15.098590,
5,15.103588,
9,15.104510,
3,15.156272,
5,15.222570,
3,15.314620,
7,15.321970,
9,15.458820,
7,15.462309,
11,15.466099,
5,15.471143,
3,15.478407,
3,15.491940,
1,15.498816,
1,15.5030,
5,15.508479,
3,15.518110,
5,15.525574,
7,15.526159,
5,15.528711,
7,15.533768,
3,15.540057,
9,15.557175,
7,15.557972,
5,15.563062,
3,15.651258,
5,15.672118,
1,15.768546,
3,15.856368,
3,15.939798,
7,16.047432,
5,16.089772,
3,16.194222,
5,16.194516,
3,16.220232,
5,16.297065,
3,16.457033,
5,16.469719,
3,16.526732,
5,16.527069,
7,16.558157,
7,16.608367,
7,16.616843,
5,16.618477,
1,16.643135,
1,16.658915,
5,16.659697,
7,16.668648,
1,16.676041,
9,16.676171,
3,16.681693,
3,16.727199,
5,16.732925,
7,16.755040,
9,16.755342,
11,16.760540,
5,16.765339,
3,16.767836,
7,16.780344,
7,16.810390,
9,16.822682,
5,16.827857,
5,16.867341,
9,16.873028,
7,16.873851,
7,16.882824,
3,16.885040,
7,16.886306,
3,16.887795,
3,16.912492,
8,16.916822,
5,16.927180,
8,16.931504,
11,16.932894,
9,16.933777,
9,16.935665,
7,16.937900,
13,16.939135,
11,16.939185,
5,16.940282,
7,16.940428,
3,16.943661,
5,16.948711,
9,16.952783,
11,16.955132,
9,16.961302,
5,16.987613,
7,17.030507,
5,17.032089,
3,17.034563,
7,17.048457,
5,17.065300,
1,17.139130,
5,17.149059,
1,17.154960,
3,17.231056,
11,17.289561,
9,17.295742,
8,17.302211,
7,17.312418,
7,17.319508,
9,17.322963,
5,17.346800,
5,17.352573,
3,17.362348,
9,17.371186,
3,17.373368,
7,17.378075,
5,17.381254,
3,17.389400,
1,17.398448,
7,17.405392,
7,17.405799,
5,17.418826,
3,17.419823,
3,17.427285,
1,17.464838,
5,17.465733,
7,17.466798,
3,17.467811,
9,17.468131,
9,17.490844,
7,17.491801,
11,17.492794,
5,17.493438,
7,17.531156,
5,17.539197,
5,17.540169,
3,17.546303,
9,17.547470,
7,17.560405,
11,17.608041,
9,17.608062,
7,17.608598,
9,17.608613,
13,17.609321,
11,17.609555,
5,17.609941,
7,17.610113,
5,17.610691,
1,17.738072,
3,17.760301,
5,17.856647,
3,17.876326,
7,17.926600,
9,17.927043,
9,17.930591,
11,17.931823,
7,17.931874,
3,17.933241,
5,17.937719,
7,17.954179,
5,17.956882,
5,17.964843,
9,17.967685,
7,17.973358,
11,18.012768,
9,18.012825,
9,18.013065,
7,18.013152,
13,18.013618,
11,18.013792,
5,18.013977,
7,18.014122,
8,18.081575,
3,18.137891,
12,18.158780,
8,18.161343,
5,18.173289,
3,18.174759,
8,18.199013,
7,18.207101,
11,18.216016,
7,18.217552,
9,18.217999,
5,18.219474,
12,18.222330,
3,18.228206,
7,18.232406,
5,18.243273,
9,18.243915,
5,18.255743,
7,18.263771,
1,18.269868,
11,18.275369,
9,18.275442,
7,18.275741,
9,18.275780,
13,18.275980,
11,18.276107,
5,18.276279,
7,18.276454,
3,18.323956,
7,18.327856,
3,18.332796,
12,18.342524,
5,18.348119,
12,18.359508,
5,18.387768,
3,18.3936,
9,18.413330,
11,18.413709,
7,18.414069,
16,18.429756,
5,18.431047,
9,18.433495,
7,18.436556,
12,18.452572,
11,18.455310,
9,18.455438,
9,18.455586,
7,18.455612,
13,18.455804,
11,18.455872,
5,18.456037,
7,18.456150,
3,18.461112,
21,18.470211,
12,18.499046,
9,18.506640,
8,18.519154,
7,18.533298,
7,18.553550,
15,18.581095,
13,18.584351,
5,18.597998,
8,18.624786,
12,18.624868,
16,18.628787,
8,18.632271,
12,18.637813,
8,18.640526,
5,18.643084,
8,18.657922,
8,18.6713,
7,18.6730,
12,18.677983,
13,18.679432,
9,18.7454,
13,18.751684,
8,18.8139,
16,18.835400,
15,18.8703,
,19.13126,

#ignore,test#7.64
