g,LeveleV
4,0.00000,
4,2.11239,
6,2.31854,
2,3.85050,
4,4.14177,
6,14.72455,
4,15.17895,
2,15.38764,
4,18.07352,
6,18.18163,
4,20.26461,
2,20.60133,
4,21.41505,
2,21.56731,
6,21.58636,
8,21.84986,
10,22.17792,
6,22.22148,
2,22.40230,
8,22.41193,
4,22.44120,
6,22.64800,
8,23.13119,
6,24.97342,
2,25.09109,
2,25.38395,
4,25.44336,
4,25.46630,
4,25.73855,
6,25.79666,
2,25.9028,
2,26.07979,
4,26.24566,
6,26.26733,
6,26.95622,
4,26.97383,
6,27.27510,
8,27.42338,
4,27.65264,
6,27.68728,
4,27.93141,
6,28.7569,
4,28.86444,
2,29.11495,
2,29.43944,
4,29.54164,
6,29.91015,
4,29.97970,
2,30.19848,
4,30.23960,
8,30.30714,
6,30.30991,
4,30.57610,
6,30.89763,
4,31.01760,
2,31.10723,
6,31.88163,
4,32.03199,
8,32.05111,
6,32.08255,
2,32.62769,
4,32.91128,
4,34.58754,
4,36.03060,
8,36.49688,
4,36.52975,
2,36.60859,
2,36.78776,
6,36.81765,
8,36.95379,
4,37.10299,
4,37.18933,
2,37.30677,
8,37.41800,
6,37.59589,
4,37.75861,
6,39.15447,
4,39.16573,
,50.85,

#ignore,test#5.18
