g,LeveleV
2,0.000000,
2,1.847818,
4,1.847860,
2,3.373129,
2,3.834258,
4,3.834258,
4,3.878608,
6,3.878613,
2,4.340942,
2,4.521648,
4,4.521648,
4,4.540720,
6,4.540723,
6,4.54157,
8,4.54157,
2,4.748533,
2,4.837313,
4,4.837313,
4,4.847154,
6,4.847155,
6,4.84834,
8,4.84834,
2,4.957835,
2,5.007826,
4,5.007826,
4,5.013587,
6,5.013589,
2,5.07937,
2,5.110300,
4,5.110300,
4,5.11391,
6,5.11391,
2,5.15614,
2,5.176542,
4,5.176542,
4,5.17898,
6,5.17898,
2,5.20775,
2,5.222000,
4,5.222000,
4,5.22362,
6,5.22362,
2,5.2443,
2,5.254346,
4,5.254346,
4,5.2556,
6,5.2556,
2,5.2706,
2,5.27790,
4,5.27790,
4,5.2790,
6,5.2790,
2,5.296498,
4,5.296498,
4,5.2972,
6,5.2972,
2,5.310605,
4,5.310605,
2,5.321822,
4,5.321822,
2,5.330764,
4,5.330764,
2,5.338182,
4,5.338182,
2,5.344391,
4,5.344391,
2,5.349541,
4,5.349541,
2,5.353866,
4,5.353866,
2,5.357530,
4,5.357530,
2,5.360725,
4,5.360725,
2,5.363450,
4,5.363450,
2,5.365907,
4,5.365907,
2,5.368024,
4,5.368024,
2,5.369935,
4,5.369935,
2,5.371592,
4,5.371592,
2,5.373029,
4,5.373029,
2,5.374267,
4,5.374267,
2,5.375324,
4,5.375324,
2,5.376415,
4,5.376415,
2,5.377450,
4,5.377450,
2,5.378225,
4,5.378225,
2,5.37904,
4,5.37904,
2,5.37971,
4,5.37971,
2,5.38034,
4,5.38034,
2,5.38098,
4,5.38098,
2,5.38150,
4,5.38150,
2,5.38198,
4,5.38198,
2,5.38245,
4,5.38245,
2,5.38301,
4,5.38301,
2,5.38351,
4,5.38351,
2,5.38393,
4,5.38393,
,5.391714996,
2,57.469,
4,57.469,
6,57.469,
2,58.911,
4,58.911,
2,60.807,
4,60.807,
6,60.807,
2,61.319,
4,61.319,
6,61.319,
2,61.599,
4,61.599,
4,61.69,
2,62.769,
4,62.769,
6,62.769,
2,62.773,
4,62.773,
6,62.773,
8,62.773,
4,63.180,
4,63.729,
2,63.929,
4,63.929,
6,63.929,
4,63.989,
2,64.232,
4,64.232,
6,64.232,
4,64.329,
2,64.872,
4,64.872,
6,64.872,
2,65.126,
4,65.126,
6,65.126,
8,65.126,
2,65.267,
4,65.267,
2,65.780,
4,65.780,
6,65.780,
2,66.169,
4,66.169,
6,66.169,
2,66.379,
4,66.379,
6,66.379,
2,66.454,
4,66.454,
2,66.93,
4,66.93,
2,67.165,
4,67.165,
2,67.292,
4,67.292,
2,67.378,
4,67.378,
2,67.433,
4,67.433,
2,67.476,
4,67.476,
2,67.499,
4,67.499,

#ignore,test#5.49
