g,LeveleV
6,0.000000,
10,2.114215,
8,2.142695,
6,2.163713,
4,2.178214,
2,2.186728,
6,2.281614,
8,2.297631,
10,2.319170,
8,2.888419,
6,2.919729,
4,2.940846,
2,2.953164,
4,3.072244,
6,3.073327,
8,3.075087,
12,3.132553,
6,3.134449,
10,3.134994,
8,3.135280,
6,3.372561,
4,3.378321,
2,3.382518,
8,3.763442,
2,3.770575,
6,3.771551,
4,3.772307,
6,3.843653,
4,3.852985,
2,3.859002,
6,4.193826,
14,4.232682,
12,4.246523,
10,4.258101,
8,4.267942,
4,4.272913,
2,4.320262,
10,4.331847,
8,4.344576,
6,4.353703,
4,4.359911,
4,4.424994,
6,4.429441,
8,4.434911,
12,4.605847,
14,4.607780,
12,4.639518,
4,4.660074,
10,4.665602,
8,4.678819,
6,4.685354,
12,4.712478,
10,4.726300,
2,4.755015,
8,4.794419,
6,4.827317,
8,4.888859,
10,5.087255,
8,5.111906,
6,5.133433,
10,5.181235,
8,5.198985,
6,5.213998,
4,5.225137,
2,5.231955,
14,5.337929,
12,5.348588,
12,5.370280,
10,5.384458,
8,5.396298,
6,5.405153,
4,5.411222,
2,5.414720,
10,5.491106,
8,5.520204,
6,5.541634,
4,5.556318,
8,5.578535,
6,5.598644,
4,5.611422,
8,5.672806,
6,5.695949,
6,5.700972,
8,5.703369,
10,5.706590,
4,5.713674,
2,5.724342,
4,5.790817,
6,5.790934,
8,5.791095,
10,5.791321,
12,5.791622,
6,5.814999,
4,5.846414,
10,5.852957,
8,5.853549,
6,5.853990,
4,5.854304,
2,5.854489,
2,5.864365,
8,5.875316,
2,5.883318,
4,5.885116,
6,5.909027,
6,5.920740,
8,5.923286,
4,5.924266,
10,5.939314,
12,5.953899,
10,5.972072,
8,5.979261,
6,5.984830,
4,5.988558,
2,5.990683,
6,6.126723,
4,6.148564,
8,6.185325,
6,6.200760,
8,6.207326,
10,6.208210,
12,6.209291,
14,6.210939,
4,6.211488,
8,6.218754,
10,6.241526,
8,6.243755,
6,6.245485,
4,6.246729,
2,6.300708,
4,6.30627,
6,6.311376,
6,6.314675,
8,6.325046,
10,6.335653,
12,6.344170,
6,6.361048,
4,6.378435,
6,6.387124,
8,6.388981,
10,6.390923,
2,6.391730,
12,6.392741,
6,6.402317,
4,6.412242,
2,6.420884,
4,6.449036,
6,6.463120,
8,6.478567,
6,6.50793,
8,6.508825,
4,6.534275,
6,6.534275,
8,6.534275,
10,6.53435,
12,6.534616,
10,6.537239,
8,6.537738,
6,6.538086,
4,6.538308,
2,6.538410,
10,6.541172,
8,6.555043,
2,6.556669,
6,6.556754,
4,6.556754,
2,6.56800,
4,6.56800,
6,6.56800,
8,6.56800,
10,6.56800,
12,6.56800,
14,6.56800,
10,6.568404,
8,6.568413,
12,6.568421,
4,6.568426,
6,6.568439,
2,6.583725,
4,6.583944,
6,6.584694,
8,6.586537,
8,6.603529,
6,6.607279,
4,6.609736,
4,6.722252,
6,6.752217,
10,6.811560,
8,6.812504,
2,6.812882,
6,6.813032,
4,6.813330,
8,6.832462,
6,6.84220,
4,6.853835,
6,6.854340,
8,6.854788,
4,6.864839,
8,6.865595,
10,6.865712,
12,6.865836,
6,6.86947,
2,6.875816,
6,6.880078,
4,6.880125,
8,6.880141,
8,6.880182,
10,6.880196,
12,6.880223,
6,6.880318,
14,6.88094,
12,6.881010,
10,6.881010,
8,6.88106,
4,6.881092,
6,6.881111,
10,6.903676,
8,6.904444,
6,6.904779,
4,6.904916,
2,6.904978,
6,6.933690,
4,6.935586,
4,6.942731,
6,6.944129,
8,6.944679,
8,6.960989,
10,6.966604,
8,6.987280,
8,7.000406,
6,7.003965,
6,7.012788,
4,7.013529,
4,7.017708,
2,7.025696,
8,7.036795,
4,7.04248,
6,7.04248,
8,7.04248,
10,7.04248,
12,7.04248,
2,7.05062,
4,7.05062,
6,7.05062,
8,7.05062,
10,7.05062,
12,7.05062,
8,7.057964,
6,7.058562,
4,7.058937,
6,7.077803,
8,7.094146,
2,7.095405,
8,7.104991,
4,7.111824,
10,7.115317,
6,7.127352,
6,7.127486,
4,7.130589,
4,7.144205,
6,7.144382,
8,7.144546,
2,7.15354,
4,7.15354,
6,7.15354,
8,7.15354,
10,7.15354,
12,7.15354,
2,7.154611,
8,7.155959,
6,7.156331,
4,7.156621,
12,7.200390,
10,7.204752,
8,7.208031,
6,7.210888,
6,7.213678,
8,7.213678,
8,7.220691,
6,7.220939,
4,7.221108,
14,7.233073,
12,7.244062,
10,7.251280,
8,7.255543,
6,7.260661,
8,7.260661,
8,7.265317,
6,7.265515,
4,7.265588,
24,7.294077,
14,7.295651,
12,7.296655,
16,7.296792,
8,7.297335,
6,7.297467,
4,7.297521,
10,7.298536,
24,7.318678,
8,7.321067,
4,7.321143,
6,7.321143,
6,7.329529,
24,7.337308,
8,7.339093,
4,7.339155,
6,7.339155,
10,7.346986,
8,7.351037,
24,7.351767,
18,7.353188,
8,7.357159,
6,7.359785,
4,7.362707,
24,7.363232,
18,7.364333,
4,7.366664,
24,7.372408,
8,7.373358,
18,7.373379,
6,7.374679,
24,7.379967,
2,7.380452,
4,7.380518,
18,7.380681,
2,7.385527,
24,7.386209,
18,7.386776,
6,7.389502,
24,7.39138,
14,7.391581,
18,7.391888,
24,7.39577,
12,7.396017,
18,7.396210,
24,7.39953,
18,7.399904,
18,7.403078,
10,7.405817,
18,7.405828,
18,7.408231,
18,7.410336,
18,7.412199,
8,7.412310,
18,7.413848,
18,7.415318,
6,7.416450,
18,7.416628,
12,7.417712,
18,7.417802,
18,7.418876,
18,7.419839,
18,7.420701,
18,7.421504,
18,7.422245,
18,7.422891,
18,7.423498,
18,7.424055,
18,7.424578,
18,7.425049,
,7.4340380,
4,7.437784,
6,7.451655,
2,7.456655,
4,7.488105,
10,7.521934,
8,7.530728,
4,7.533388,
6,7.540762,
14,7.549581,
8,7.550985,
12,7.554820,
10,7.555469,
10,7.557566,
8,7.557731,
16,7.588396,
10,7.589250,
14,7.591001,
12,7.591028,
12,7.621211,
6,7.62127,
8,7.62262,
10,7.623211,
8,7.651186,
12,7.651514,
10,7.651625,
6,7.653207,
12,7.655285,
8,7.660480,
12,7.664588,
18,7.67098,
14,7.676180,
14,7.687155,
10,7.690762,
8,7.691241,
6,7.696387,
12,7.703690,
8,7.723553,
12,7.723640,
10,7.724294,
4,7.731005,
4,7.735399,
2,7.735504,
10,7.735724,
8,7.739897,
10,7.746414,
6,7.747399,
8,7.749650,
6,7.750821,
4,7.758077,
8,7.765474,
10,7.770190,
6,7.780426,
6,7.781339,
2,7.782260,
4,7.784610,
8,7.792561,
6,7.799326,
6,7.821082,
4,7.821325,
4,7.825152,
6,7.828325,
10,7.839698,
12,7.846809,
8,7.846809,
10,7.854140,
14,7.856078,
6,7.857075,
10,7.857440,
8,7.860034,
8,7.863574,
10,7.866129,
12,7.866690,
12,7.867771,
6,7.875846,
8,7.878737,
10,7.879009,
4,7.883292,
6,7.905808,
4,7.915811,
12,7.941425,
10,7.941854,
8,7.985784,
10,8.007574,
2,8.014175,
8,8.015479,
4,8.019788,
6,8.023382,
14,8.025730,
18,8.03501,
12,8.036597,
6,8.037043,
10,8.045087,
8,8.049095,
8,8.057512,
10,8.091491,
8,8.096804,
8,8.13542,
6,8.139455,
10,8.154293,
6,8.167261,
8,8.167625,
12,8.168985,
10,8.171665,
6,8.176335,
4,8.178233,
6,8.185515,
8,8.201443,
8,8.224426,
10,8.227145,
6,8.231954,
12,8.234851,
8,8.239279,
4,8.245551,
10,8.247754,
14,8.253452,
12,8.254074,
8,8.257369,
10,8.261181,
6,8.264079,
8,8.274435,
8,8.280099,
6,8.286752,
4,8.287203,
