g,LeveleV
1,0.000000,
3,0.030009,
5,0.082851,
7,0.151752,
9,0.232137,
1,1.382325,
3,1.551083,
9,1.572070,
11,1.645953,
13,1.712369,
5,1.726939,
7,1.729353,
9,1.772490,
5,1.780111,
7,1.967778,
9,2.018805,
11,2.072319,
7,2.416178,
5,2.427196,
13,2.515668,
9,2.555546,
5,2.827603,
1,2.850412,
3,4.019404,
5,4.072048,
7,4.147548,
9,4.243406,
11,4.355497,
9,4.483768,
3,5.257518,
5,5.272035,
5,5.289881,
7,5.388554,
7,5.400970,
9,5.536549,
7,5.740416,
9,5.777860,
11,5.822558,
5,6.086227,
9,6.142384,
11,6.238739,
3,6.244157,
13,6.258923,
7,6.375999,
5,6.383062,
9,6.533714,
3,6.547733,
1,6.621681,
5,6.718857,
11,6.800947,
3,6.864567,
5,7.035094,
9,7.281635,
7,7.301899,
5,9.156627,
7,9.264691,
9,9.400049,
3,9.419372,
5,9.526552,
11,9.560832,
7,9.690402,
1,9.741239,
3,9.754821,
13,9.756240,
3,9.788275,
5,9.796485,
5,9.852768,
9,9.856384,
7,9.857774,
9,9.930583,
11,9.961286,
7,9.962683,
7,10.047765,
9,10.167935,
5,10.233667,
11,10.309008,
7,10.363156,
9,10.482181,
3,10.576961,
5,10.579574,
3,10.623363,
9,10.649767,
5,10.715553,
11,10.773321,
7,10.835194,
5,10.845319,
7,10.887129,
3,10.889690,
13,10.965366,
7,10.972504,
5,10.984013,
9,11.047018,
9,11.097063,
11,11.120138,
9,11.190205,
5,11.231240,
7,11.231540,
5,11.280407,
11,11.283421,
7,11.288794,
9,11.330606,
5,11.366192,
5,11.418894,
11,11.438113,
13,11.496920,
11,11.516171,
9,11.543178,
13,11.568482,
9,11.666697,
7,11.669098,
5,11.702577,
15,11.707079,
7,11.738425,
3,11.780526,
7,11.884665,
11,11.937866,
7,12.006424,
13,12.015053,
11,12.114382,
,27.13,

#ignore,test#41.16
