g,LeveleV
1,0.00000,
3,0.00604,
5,0.01622,
5,1.89897,
1,4.05289,
5,5.80055,
7,11.43596,
5,11.43758,
3,11.43777,
3,13.54113,
5,13.54126,
1,13.54199,
5,17.877026,
1,18.462312,
3,18.466228,
5,18.483133,
3,18.496930,
3,19.233263,
3,20.409133,
3,20.646058,
5,20.653592,
7,20.665518,
3,20.676307,
3,20.939965,
1,21.148308,
3,21.152682,
5,21.159916,
5,21.599539,
1,22.103082,
5,23.124489,
7,23.131853,
9,23.141959,
5,23.196374,
3,23.239296,
5,23.242271,
7,23.246033,
5,23.415330,
3,23.421752,
1,23.425232,
7,23.474568,
3,23.571906,
1,24.367883,
3,24.374310,
5,24.389123,
3,24.531351,
3,25.065964,
3,25.133348,
5,25.139688,
7,25.151603,
1,25.188937,
3,25.192229,
5,25.200902,
3,25.235454,
5,25.460177,
3,25.490900,
5,25.497874,
7,25.506626,
1,25.653600,
5,25.996219,
7,26.004194,
9,26.014849,
5,26.027477,
3,26.066417,
5,26.069666,
7,26.074085,
5,26.124123,
3,26.129847,
1,26.132949,
7,26.164394,
5,26.164749,
7,26.167641,
9,26.168135,
7,26.173514,
7,26.196278,
9,26.197223,
3,26.202344,
11,26.209014,
9,26.210511,
7,26.211558,
5,26.212139,
3,26.220994,
5,26.221455,
1,26.253573,
3,26.257305,
5,26.263284,
1,26.558898,
3,26.564568,
5,26.580245,
3,26.635424,
5,27.312,
3,27.31,
1,27.315,
5,27.337940,
5,27.3601,
7,27.3653,
7,27.407265,
5,27.407576,
7,27.409090,
9,27.409602,
7,27.418065,
7,27.420805,
9,27.420805,
9,27.421260,
11,27.421284,
7,27.428609,
9,27.429262,
3,27.431029,
7,27.436750,
5,27.437237,
11,27.437839,
9,27.439081,
9,27.440525,
11,27.440537,
7,27.443011,
9,27.443034,
3,27.444104,
5,27.444457,
11,27.445636,
13,27.445638,
5,27.44766,
7,27.44766,
3,27.616756,
5,27.633399,
3,27.657034,
3,27.661100,
1,27.728235,
3,27.730126,
5,27.733833,
7,27.739182,
9,27.745867,
3,27.971269,
5,27.974241,
7,27.979665,
7,28.080274,
5,28.080517,
7,28.081031,
9,28.081440,
7,28.099806,
9,28.100182,
7,28.104241,
5,28.10454,
11,28.10584,
9,28.10675,
3,28.10952,
5,28.10980,
3,28.354479,
5,28.359130,
7,28.366572,
7,28.48523,
9,28.48533,
5,28.496399,
9,28.50490,
11,28.50869,
9,28.50931,
5,28.619488,
,29.60125,
,29.622907,
3,30.124337,
5,30.126519,
7,30.129743,
9,30.133933,
11,30.138939,
7,30.295949,
5,30.300731,
3,30.304034,
1,30.368161,
3,30.368676,
5,30.369653,
7,30.371039,
9,30.372819,
9,33.274675,
9,33.279252,
11,33.279324,
13,33.285202,
7,33.316540,
9,33.317643,
11,33.318735,
9,34.50896,
11,34.51315,
13,34.519713,
,36.69159,
,36.69899,
,36.70904,

#ignore,test#9.68
