g,LeveleV
4,0.000000,
2,0.16943,
2,32.78824,
6,45.397361,
4,45.507242,
2,45.570413,
4,46.324504,
2,46.454388,
6,49.491356,
4,49.492299,
6,50.361160,
4,50.405854,
2,50.444845,
8,50.954646,
6,51.024008,
4,51.075511,
2,51.104980,
6,51.364403,
4,51.474802,
2,51.690167,
4,51.751498,
4,51.877158,
2,51.894397,
2,53.936598,
6,54.669617,
8,54.683934,
4,55.271848,
6,55.281231,
4,55.488875,
2,55.558226,
8,57.064621,
6,57.083528,
4,57.106331,
2,57.125345,
10,57.391175,
8,57.435154,
6,57.490469,
8,57.525063,
4,57.538235,
6,57.577043,
2,57.579742,
4,57.606938,
6,57.645879,
4,57.654863,
6,57.702071,
2,57.778113,
4,57.874340,
2,59.368964,
4,59.374058,
6,59.509358,
4,59.609025,
2,59.680866,
4,59.810250,
2,59.932542,
10,61.039146,
8,61.039455,
4,61.148022,
2,61.160659,
2,61.229502,
6,61.322923,
4,61.333230,
6,61.425460,
8,61.426136,
4,63.409710,
6,63.409772,
6,63.7287,
4,63.7364,
4,63.7578,
6,63.8033,
6,63.8132,
4,63.8540,
2,63.8692,
6,63.8971,
10,63.92571,
8,63.92715,
6,63.93060,
8,63.93064,
4,63.94661,
6,63.94779,
12,63.95997,
10,63.96008,
4,63.9739,
2,63.97516,
4,63.97592,
4,64.07724,
6,64.07796,
10,64.08246,
8,64.08305,
8,64.10350,
6,64.10392,
8,64.14627,
6,64.14664,
4,64.8090,
2,64.9091,
6,65.644877,
4,65.649348,
2,67.4028,
4,67.4754,
2,67.4819,
6,67.5403,
4,67.5451,
6,67.5608,
4,67.71857,
12,67.74996,
10,67.75005,
4,67.75852,
6,67.75867,
8,67.79581,
6,67.79592,
8,67.80539,
10,67.80551,
2,67.93227,
4,68.4894,
6,68.4909,
,71.6200,
,71.7571,
,71.8154,
,75.4436,
,79.8644,

#ignore,test#5.69
