g,LeveleV
2,0.000000,
4,0.019117,
6,0.048601,
8,0.086200,
10,0.130216,
4,0.141688,
6,0.196751,
8,0.267076,
10,0.347820,
2,0.619694,
4,0.656858,
6,0.739622,
2,1.042819,
4,1.079322,
8,1.094409,
6,1.121206,
10,1.156634,
4,1.170297,
8,1.177542,
2,1.255471,
6,1.269289,
8,1.354247,
10,1.369291,
12,1.394559,
4,1.403264,
6,1.406564,
14,1.428874,
6,1.490073,
10,1.500472,
8,1.504779,
4,1.523549,
10,1.532160,
12,1.550171,
6,1.573622,
8,1.609610,
12,1.613307,
10,1.629860,
6,1.661980,
8,1.675671,
2,1.689799,
4,1.761977,
6,1.847273,
8,1.894770,
4,1.914223,
2,1.916891,
6,1.917674,
4,2.067065,
10,2.086471,
8,2.097661,
6,2.105377,
8,2.1579846,
12,2.166775,
10,2.223937,
10,2.236175,
12,2.272883,
12,2.3021609,
2,2.329798,
8,2.360003,
4,2.360231,
14,2.391850,
6,2.408753,
10,2.424748,
6,2.426212,
2,2.433061,
4,2.450570,
8,2.469355,
6,2.471251,
6,2.478913,
8,2.487227,
2,2.492995,
8,2.518831,
4,2.527247,
10,2.533259,
10,2.570673,
6,2.583580,
12,2.5962192,
8,2.667170,
2,2.728488,
6,2.807874,
8,2.843813,
4,2.852487,
10,2.852948,
8,2.854434,
12,2.857660,
4,2.881873,
4,2.916827,
10,2.918188,
6,2.922821,
6,2.936496,
2,2.964574,
2,2.973745,
8,2.977494,
4,2.996052,
12,3.000796,
4,3.010750,
6,3.024818,
10,3.038422,
6,3.042960,
8,3.071077,
6,3.071464,
8,3.087809,
10,3.124378,
12,3.183959,
2,3.208687,
4,3.214912,
6,3.231109,
4,3.231904,
8,3.244144,
6,3.271492,
10,3.278183,
2,3.292078,
4,3.312030,
2,3.312576,
8,3.326797,
8,3.334763,
4,3.339745,
6,3.345508,
10,3.388711,
6,3.392170,
10,3.399600,
8,3.400523,
2,3.409434,
8,3.421560,
6,3.423712,
2,3.430204,
4,3.444600,
6,3.446443,
8,3.453596,
4,3.461496,
10,3.468442,
4,3.481363,
4,3.497406,
4,3.506056,
10,3.525334,
2,3.526378,
6,3.526771,
8,3.537934,
6,3.539677,
6,3.552477,
8,3.592209,
8,3.621507,
8,3.629264,
6,3.640124,
10,3.659896,
4,3.672750,
8,3.690105,
6,3.691729,
4,3.692180,
12,3.700494,
6,3.717970,
6,3.726915,
10,3.734072,
8,3.739557,
14,3.743238,
10,3.754146,
12,3.801058,
6,3.808361,
10,3.8360736,
8,3.846674,
6,3.850528,
4,3.865164,
12,3.890448,
8,3.903667,
4,3.911882,
8,3.928753,
4,3.931284,
8,3.942789,
6,3.943634,
4,3.956056,
6,3.959272,
8,3.964177,
10,3.968068,
6,3.969156,
2,3.975685,
8,3.978353,
6,3.984825,
10,3.986836,
10,3.994020,
4,3.998328,
8,4.008803,
12,4.014886,
8,4.023534,
8,4.029651,
6,4.035130,
12,4.038503,
10,4.042553,
4,4.044739,
6,4.048640,
14,4.050860,
10,4.066984,
8,4.078966,
10,4.082040,
8,4.091961,
2,4.092898,
4,4.102263,
16,4.105905,
10,4.108378,
6,4.139816,
12,4.144569,
4,4.180376,
6,4.199615,
2,4.203342,
12,4.215969,
8,4.236409,
10,4.244604,
4,4.246826,
8,4.255025,
14,4.255534,
10,4.266981,
2,4.295336,
6,4.296646,
6,4.302710,
4,4.308786,
2,4.315589,
12,4.319402,
8,4.321283,
4,4.323041,
6,4.351828,
4,4.354282,
10,4.358905,
8,4.361618,
14,4.381201,
12,4.382204,
10,4.400991,
6,4.401127,
12,4.417634,
16,4.430122,
4,4.442287,
2,4.453568,
6,4.454548,
4,4.465447,
8,4.469395,
6,4.485764,
12,4.497622,
10,4.504805,
8,4.504868,
4,4.509435,
8,4.520506,
8,4.526848,
10,4.552341,
6,4.570876,
12,4.584452,
8,4.584836,
4,4.601261,
6,4.610759,
14,4.618958,
6,4.622952,
8,4.630004,
2,4.638270,
10,4.652325,
2,4.653940,
8,4.654326,
4,4.659167,
8,4.664847,
12,4.681718,
6,4.688418,
10,4.690518,
6,4.691855,
4,4.694714,
10,4.694793,
2,4.695443,
4,4.705819,
4,4.714054,
12,4.729224,
8,4.733425,
6,4.733756,
2,4.734084,
8,4.740145,
12,4.742554,
6,4.745692,
6,4.760186,
4,4.766793,
10,4.767040,
14,4.775109,
10,4.781804,
14,4.783687,
8,4.790560,
4,4.799386,
2,4.801928,
6,4.806042,
8,4.817299,
4,4.823357,
8,4.833177,
12,4.837964,
10,4.847873,
6,4.866169,
10,4.882593,
8,4.888305,
6,4.901152,
8,4.912270,
10,4.914465,
12,4.915809,
10,4.940214,
8,4.945192,
4,4.957037,
12,4.959740,
10,4.960424,
6,4.960588,
6,4.969200,
6,4.985370,
8,5.004250,
10,5.011681,
8,5.017605,
6,5.018124,
12,5.019123,
8,5.028214,
6,5.050519,
12,5.051896,
10,5.065237,
10,5.073576,
8,5.077570,
4,5.093549,
8,5.100704,
12,5.129371,
4,5.140505,
4,5.152146,
8,5.154223,
6,5.159652,
2,5.167266,
6,5.175887,
6,5.186149,
10,5.191703,
10,5.194401,
8,5.198765,
8,5.205768,
10,5.231352,
6,5.246627,
2,5.247546,
4,5.249436,
4,5.266007,
8,5.275721,
6,5.287046,
6,5.296503,
2,5.306731,
6,5.317538,
4,5.318208,
4,5.318931,
6,5.334123,
8,5.352770,
6,5.354506,
8,5.372565,
6,5.373832,
10,5.380393,
8,5.382705,
8,5.399905,
8,5.440454,
4,5.463176,
6,5.567577,
4,5.571736,
10,5.592943,
8,5.600478,
12,5.611405,
6,5.616149,
8,5.668442,
2,5.700650,
10,5.701111,
2,5.703805,
6,5.704696,
4,5.724355,
4,5.748501,
8,5.761634,
6,5.766480,
6,5.770666,
10,5.793062,
6,5.804020,
6,5.817274,
8,5.818834,
10,5.821604,
8,5.830082,
12,5.837279,
10,5.845366,
12,5.846502,
8,5.861432,
8,5.892782,
4,5.893920,
10,5.911640,
10,5.981300,
10,6.420931,
,6.75885,

#ignore,test#168.68
