g,LeveleV
4,0.000000,
6,5.11242,
4,5.11793,
2,7.74089,
4,7.74167,
6,22.7961,
4,22.87220,
2,22.91218,
6,31.50186,
4,31.50447,
2,37.14906,
4,39.67776,
2,39.76646,
2,59.350114,
4,59.397432,
6,59.469031,
4,60.1201,
2,60.2393,
2,60.56635,
4,60.65403,
6,63.44525,
4,63.44610,
2,63.90414,
2,64.59614,
4,64.62248,
6,64.666007,
8,64.72549,
2,65.02933,
4,65.05021,
6,65.09310,
4,65.78882,
6,65.87673,
4,66.08189,
2,66.54300,
4,66.55758,
2,67.65938,
6,68.85036,
8,68.86771,
6,69.57448,
4,69.58675,
2,70.29430,
4,70.33135,
6,70.466419,
4,71.01568,
6,71.04010,
8,71.07509,
10,71.12099,
4,71.44649,
2,71.49373,
4,71.55690,
6,71.55815,
2,71.56938,
8,71.58222,
6,71.82754,
4,71.86151,
6,71.87069,
2,71.87931,
8,71.95851,
4,72.77640,
6,72.80326,
4,72.90503,
2,73.37847,
4,73.37894,
8,75.08982,
6,75.10746,
10,75.25952,
8,75.26058,
4,75.55146,
6,75.55833,
4,75.93973,
6,75.94572,
8,75.95558,
2,75.99582,
4,76.01164,
2,76.46662,
6,77.55174,
4,77.55432,
2,77.55601,
2,78.53499,
4,78.58022,
6,78.65162,
2,78.91589,
4,79.00517,
6,79.34359,
4,79.3915,
2,80.24319,
2,80.25273,
4,80.26804,
6,80.30004,
8,80.34573,
2,80.58103,
4,80.59708,
6,80.64260,
4,81.00975,
6,81.10027,
4,81.20948,
4,81.38860,
4,81.7130,
6,81.7197,
8,81.7254,
10,82.18242,
8,82.18283,
6,82.18368,
4,82.18447,
2,82.18500,
6,82.37087,
4,82.37110,
4,82.7128,
6,82.7391,
8,82.7741,
4,82.7833,
6,82.7873,
10,82.8336,
2,82.9253,
4,82.9253,
6,82.94993,
4,82.9767,
8,82.98013,
2,83.0264,
6,83.12853,
4,83.17747,
6,83.18086,
2,83.2442,
8,83.26073,
8,83.41193,
4,83.4158,
6,83.4158,
2,83.4159,
6,83.48937,
8,83.49820,
6,83.51613,
8,83.52467,
4,83.5269,
4,83.54619,
6,83.55014,
6,83.55031,
10,83.55099,
8,83.55786,
4,83.59052,
2,83.59227,
12,83.61406,
10,83.62894,
4,83.67253,
6,83.67865,
8,83.69082,
10,83.69636,
6,83.70158,
8,83.71418,
6,84.37159,
8,84.37800,
6,85.5595,
2,85.934,
4,86.0097,
6,86.0857,
4,86.3297,
2,86.41588,
8,86.5529,
6,86.55869,
4,86.604,
6,86.607,
8,86.6116,
8,86.6465,
10,86.6482,
4,86.77551,
6,86.78009,
6,86.9531,
8,87.19180,
10,87.19185,
6,87.20520,
8,87.20551,
2,87.2358,
6,87.260,
8,87.2616,
4,87.29545,
6,87.29988,
10,87.33506,
12,87.33528,
4,87.39502,
6,88.327,
4,88.353,
18,88.447,
18,88.473,
22,88.497,
14,88.497,
26,88.565,
10,88.577,
14,88.594,
18,88.608,
22,88.614,
4,88.80818,
6,89.61694,
10,89.8779,
10,90.8461,
6,90.9963,
8,91.0121,
22,91.119,
22,91.151,
26,91.161,
18,91.164,
14,91.252,
30,91.254,
18,91.255,
26,91.272,
22,91.273,
4,91.60880,
6,91.61099,
8,91.61483,
14,91.864,
22,92.178,
10,93.596,
30,93.79186,
6,93.9195,
42,94.60330,
26,94.855,
,97.1900,

#ignore,test#4.06
