g,LeveleV
1,0.0000000,
3,0.0140323,
5,0.0379607,
5,2.513565,
1,5.354349,
5,7.479321,
7,14.88123,
5,14.88472,
3,14.88532,
5,17.65299,
3,17.65309,
1,17.65454,
5,23.19174,
3,24.43576,
3,26.09394,
1,33.135857,
3,33.150537,
5,33.182387,
3,33.857770,
5,35.181719,
3,35.208710,
1,35.220427,
3,36.074225,
3,36.434801,
5,36.451709,
7,36.479011,
3,36.892572,
5,36.98374,
1,37.223767,
3,37.233938,
5,37.250129,
5,38.011829,
1,38.906585,
5,40.228518,
7,40.252809,
5,40.262089,
9,40.274907,
3,40.571256,
5,40.577338,
7,40.586496,
5,40.849049,
3,40.863194,
1,40.870788,
7,41.140615,
3,41.259330,
3,41.978229,
5,41.993693,
7,42.013661,
1,42.56456,
1,43.397506,
3,43.409899,
5,43.431464,
1,44.229664,
3,44.243139,
5,44.276866,
3,44.469276,
3,45.038919,
1,45.319582,
3,45.323905,
5,45.332392,
3,45.344339,
7,45.344825,
9,45.360597,
3,45.438777,
5,45.452081,
7,45.477729,
3,45.620469,
3,45.692969,
5,45.700071,
7,45.712602,
1,45.914967,
3,45.926018,
5,45.939430,
5,45.986014,
3,46.440965,
5,46.452356,
7,46.468675,
5,46.627967,
5,46.789849,
7,46.811760,
5,46.827199,
9,46.834854,
5,46.916325,
3,46.917833,
1,46.919980,
3,47.018174,
5,47.026342,
7,47.034243,
7,47.189899,
5,47.191101,
7,47.197226,
9,47.199036,
5,47.201591,
3,47.203006,
1,47.205372,
7,47.210972,
3,47.249048,
7,47.259912,
9,47.264177,
11,47.288131,
7,47.294616,
9,47.296562,
5,47.297219,
3,47.315321,
5,47.317949,
1,48.580823,
3,48.591614,
5,48.627784,
3,48.698696,
3,48.85962,
5,48.86556,
7,48.87431,
3,48.915263,
5,48.920079,
7,48.927225,
9,48.936597,
11,48.948128,
5,49.363059,
3,49.363601,
1,49.363767,
7,49.364358,
9,49.374411,
7,49.406101,
5,49.414791,
3,49.419562,
5,49.637267,
3,49.650835,
1,49.657518,
5,49.764169,
7,49.776716,
5,49.78211,
9,49.792738,
7,49.80763,
5,49.81582,
9,49.82841,
5,49.89267,
7,49.90777,
7,50.01275,
3,50.03180,
3,50.312974,
5,50.316554,
7,50.322703,
5,51.4133,
3,51.476,
5,51.476,
7,51.476,
7,52.4427,
7,52.7,
5,52.859,
3,53.127337,
5,53.143000,
7,53.163419,
3,53.3166,
3,54.18264,
3,54.33643,
5,54.34406,
7,54.35580,
9,54.37089,
3,54.46509,
5,54.47150,
7,54.48372,
7,54.8900,
,54.93554,
,54.98335,
7,55.814923,
5,55.823989,
3,55.830696,
5,56.149,
7,56.149,
9,56.149,
3,56.3113,
5,56.3113,
7,56.3113,
1,56.7319,
3,56.7319,
5,56.7319,
7,58.7390,
,63.79291,
,63.80906,
,63.83205,
,70.67360,
,70.67532,

#ignore,test#9.18
