g,LeveleV
2,0.0000000,
4,1.7458307,
2,7.179984,
2,7.370682,
4,8.198397,
6,8.5504847,
4,8.6466088,
6,9.1631400,
2,9.231738,
4,9.580578,
4,10.3010,
2,10.9414,
6,11.031142,
2,11.056933,
8,11.470428,
6,11.472340,
4,11.689798,
2,11.7880,
6,11.816221,
4,11.9320,
2,12.5653,
8,12.7540,
6,12.7556,
4,12.8192,
18,12.8397,
6,12.9179,
2,12.9312,
2,12.9467,
4,12.9773,
4,13.0208,
2,13.3816,
8,13.4559,
6,13.4570,
18,13.510506,
8,13.510517,
4,13.5461,
6,13.5559,
2,13.5763,
4,13.6198,
2,13.8334,
8,13.8788,
6,13.8795,
18,13.9147,
4,13.9369,
6,13.9441,
2,13.9579,
4,13.9854,
2,14.1233,
8,14.1522,
6,14.1528,
18,14.1771,
4,14.1920,
6,14.1971,
2,14.2067,
4,14.2253,
2,14.3197,
8,14.3391,
6,14.3396,
18,14.3570,
4,14.3679,
6,14.3713,
2,14.3781,
4,14.3911,
2,14.4584,
8,14.4724,
6,14.4727,
18,14.4854,
4,14.4936,
6,14.4962,
2,14.5009,
8,14.5706,
6,14.5709,
18,14.5805,
4,14.5867,
6,14.5887,
8,14.6451,
6,14.6453,
18,14.6528,
4,14.6578,
6,14.6593,
8,14.7030,
18,14.7091,
4,14.7130,
6,14.7143,
18,14.7536,
4,14.7568,
6,14.7580,
18,14.7896,
6,14.7932,
6,14.8221,
0,15.032499,

#ignore,test#2.71
