g,LeveleV
1,0.0000000,
7,0.8138506,
5,0.9615006,
3,1.2514955,
5,1.4533191,
9,3.1121565,
7,3.4980613,
5,3.6837080,
5,4.2240148,
5,4.3446234,
7,4.3954187,
9,4.4544978,
3,4.4858322,
5,4.5844364,
7,4.6362356,
3,4.6971068,
1,4.7223340,
5,4.8120618,
5,4.9003598,
7,4.9418069,
3,5.0050928,
5,5.0550230,
3,5.0633751,
9,5.2361245,
7,6.0509760,
9,6.0646238,
5,6.0776723,
7,6.3121092,
3,6.4888980,
9,6.5039070,
5,6.5076727,
5,6.5313473,
11,6.5784282,
7,6.6656007,
3,6.6857316,
5,6.7168308,
9,6.7367580,
7,6.7459334,
3,6.7663486,
9,6.7695065,
7,6.7785553,
5,6.7786233,
5,6.7937313,
11,6.7951030,
9,6.7957577,
5,6.7969133,
3,6.7971920,
3,6.7975241,
7,6.8126676,
5,6.8189653,
7,6.8206640,
9,6.8222721,
1,6.8653975,
7,6.8976785,
5,6.9846930,
9,7.0106280,
3,7.0136459,
7,7.0987127,
5,7.1371479,
5,7.1818932,
3,7.1932215,
7,7.1990764,
3,7.2038458,
7,7.2045420,
5,7.2082737,
3,7.2153129,
9,7.2303425,
7,7.2343695,
9,7.2392059,
7,7.2393445,
3,7.2417058,
5,7.2426040,
5,7.2467158,
5,7.2600134,
7,7.2607460,
1,7.2755787,
7,7.3327180,
3,7.3879500,
5,7.4057257,
7,7.4222694,
5,7.4477270,
9,7.4663472,
5,7.4669207,
3,7.4670411,
3,7.4750745,
1,7.4752756,
7,7.4775949,
5,7.4776848,
3,7.4778901,
11,7.4783141,
11,7.4783633,
13,7.4783704,
9,7.4785354,
5,7.4789159,
3,7.4791613,
5,7.4804911,
7,7.4810239,
9,7.4821408,
11,7.4824887,
9,7.4826781,
7,7.4828351,
7,7.4849688,
5,7.4881955,
7,7.4883677,
9,7.4890958,
5,7.5200536,
1,7.5214445,
9,7.5286823,
3,7.5295204,
3,7.6378241,
5,7.6422515,
7,7.6544105,
5,7.6601142,
7,7.7262503,
5,7.7522836,
3,7.7832526,
11,7.7893698,
9,7.7894467,
5,7.7895803,
3,7.7898061,
7,7.7925636,
7,7.7942629,
5,7.7942902,
9,7.7946718,
9,7.8474201,
7,7.8701135,
7,7.8818233,
3,7.9092554,
7,7.9149738,
5,7.9157320,
3,7.9161762,
7,7.9169423,
11,7.9177110,
9,7.9177700,
9,7.9192839,
3,7.9198265,
7,7.9199824,
5,7.9204605,
9,7.9218616,
7,7.9219699,
5,7.9221138,
5,7.9271933,
7,7.9275540,
,8.336839,
,8.775649,

#ignore,test#10.09
