g,LeveleV
6,0.000000,
8,0.099661,
10,0.216821,
12,0.346796,
14,0.485898,
16,0.631054,
2,0.650853,
4,0.677016,
6,0.728139,
8,0.813691,
10,0.929632,
12,1.067406,
8,2.120715,
4,2.480433,
8,2.499255,
6,2.512661,
6,2.543903,
6,2.550077,
8,2.561514,
6,2.563474,
8,2.592386,
8,2.616079,
8,2.621405,
10,2.633113,
8,2.646842,
8,2.649673,
4,2.676893,
10,2.681214,
6,2.685236,
8,2.686341,
10,2.694540,
10,2.717794,
4,2.720972,
8,2.724709,
4,2.729314,
6,2.737581,
8,2.738148,
10,2.753124,
2,2.759790,
10,2.764223,
6,2.765001,
8,2.766080,
10,2.771751,
4,2.775766,
12,2.779003,
6,2.780418,
12,2.782974,
10,2.784278,
6,2.792484,
10,2.800403,
8,2.808780,
6,2.809070,
12,2.822045,
12,2.828964,
6,2.839888,
8,2.843540,
12,2.852424,
12,2.855846,
8,2.873722,
6,2.875013,
12,2.876226,
10,2.885869,
8,2.886216,
6,2.893060,
8,2.893485,
12,2.894420,
10,2.905619,
6,2.906660,
10,2.911227,
12,2.913823,
6,2.918447,
12,2.919902,
10,2.922465,
8,2.924082,
14,2.929630,
8,2.939983,
2,2.942464,
14,2.943437,
8,2.943876,
12,2.945935,
4,2.966559,
14,2.968028,
14,2.977269,
12,2.980434,
10,2.984427,
4,2.986952,
14,2.990798,
14,2.998037,
8,3.000959,
10,3.004685,
14,3.006079,
10,3.017568,
8,3.027501,
14,3.030564,
10,3.030616,
8,3.034030,
12,3.038041,
14,3.040121,
12,3.041738,
10,3.044873,
10,3.053425,
12,3.060138,
16,3.063061,
10,3.069177,
14,3.071094,
10,3.073551,
12,3.085334,
12,3.088737,
12,3.112533,
16,3.137553,
4,3.143180,
12,3.143897,
12,3.149522,
14,3.149855,
10,3.155185,
16,3.158431,
10,3.164269,
14,3.166229,
16,3.176323,
12,3.193234,
14,3.213608,
12,3.225565,
2,3.231726,
18,3.233631,
18,3.235585,
14,3.236146,
12,3.236429,
14,3.246152,
8,3.249804,
10,3.253078,
14,3.258578,
8,3.258927,
2,3.260822,
14,3.280158,
2,3.281713,
4,3.283053,
4,3.288352,
18,3.291266,
14,3.292455,
14,3.296913,
6,3.299144,
6,3.301769,
12,3.309681,
6,3.309856,
14,3.310870,
4,3.313542,
4,3.326588,
6,3.327905,
16,3.342021,
6,3.352119,
16,3.352803,
16,3.357978,
16,3.361181,
6,3.378072,
8,3.381354,
16,3.385283,
8,3.387159,
6,3.389044,
8,3.391144,
4,3.405654,
8,3.406625,
6,3.411171,
14,3.421501,
8,3.424659,
4,3.432613,
10,3.450467,
4,3.461551,
6,3.462057,
10,3.464102,
8,3.472561,
14,3.475400,
10,3.480973,
6,3.482007,
12,3.482246,
8,3.490246,
6,3.490613,
8,3.492599,
8,3.494657,
2,3.495928,
8,3.505470,
10,3.505555,
8,3.511869,
6,3.513586,
8,3.529523,
10,3.532353,
10,3.541690,
10,3.546857,
4,3.547011,
2,3.553018,
8,3.555899,
12,3.594909,
4,3.595906,
10,3.604720,
10,3.611610,
10,3.615622,
12,3.625625,
12,3.668099,
10,3.669384,
10,3.675936,
12,3.683046,
12,3.689483,
10,3.692755,
12,3.701761,
8,3.705128,
10,3.708231,
12,3.714619,
12,3.720567,
10,3.727414,
12,3.750708,
14,3.754487,
12,3.766014,
14,3.776241,
12,3.786636,
10,3.809571,
10,3.816857,
12,3.856310,
12,3.948488,
10,3.970262,
14,4.021435,
16,4.113858,
10,4.122059,
,5.58187,

#ignore,test#151.34
