g,LeveleV
1,0.00000000,
1,1.621515,
3,1.7005399,
5,1.735027,
3,1.73569904,
7,1.823472,
5,2.069115,
5,2.117813,
3,2.56840882,
3,3.317076,
5,3.476269,
7,3.734121,
5,3.833345,
1,3.854148,
3,3.874334,
3,3.913363,
5,3.951903,
5,3.966676,
3,3.967591,
7,3.991953,
5,3.994121,
3,3.995997,
9,4.013083,
5,4.030295,
3,4.073815,
5,4.084188,
7,4.115952,
1,4.188474,
3,4.193596,
5,4.262928,
3,4.274447,
5,4.371126,
7,4.372660,
9,4.375938,
7,4.70175,
9,4.70267,
7,4.88013,
9,4.88087,
5,4.98657,
7,4.98658,
9,4.98807,
3,5.0876172,
3,5.1253753,
3,5.1530680,
3,5.1739325,
3,5.1900083,
3,5.2026598,
3,5.2127753,
3,5.2210176,
3,5.2277901,
3,5.2334375,
3,5.2381872,
3,5.2422234,
3,5.2456871,
3,5.2486646,
3,5.2512710,
3,5.2535543,
3,5.2555380,
3,5.2573139,
3,5.2588876,
3,5.2602838,
3,5.2615295,
3,5.2626585,
3,5.2636891,
3,5.2646000,
3,5.2654586,
3,5.2662185,
3,5.2669109,
3,5.2675507,
3,5.2681351,
3,5.2686794,
3,5.2691898,
3,5.2696477,
3,5.2700870,
3,5.2704800,
3,5.2708485,
3,5.2712044,
3,5.2715357,
3,5.2718236,
3,5.2721085,
3,5.2723627,
,5.2784239,

#ignore,test#8.94
