g,LeveleV
5,0.000000,
3,0.776188,
1,0.861415,
5,2.152076,
1,4.761436,
5,16.735202,
3,17.310417,
1,17.681250,
3,20.831188,
1,21.173462,
3,21.183357,
5,21.187455,
7,21.193550,
9,21.231737,
5,22.500759,
7,22.686040,
3,22.761211,
5,23.247591,
1,23.377119,
7,23.430764,
9,23.666374,
7,24.251529,
9,24.335721,
11,24.422011,
9,24.728110,
5,25.203669,
5,25.450560,
3,25.681875,
3,26.029483,
1,26.099859,
5,26.125990,
3,26.266682,
7,26.370736,
5,26.465657,
9,26.528984,
7,26.594761,
5,26.918704,
3,27.746224,
5,27.777923,
3,27.890870,
7,27.917929,
7,28.081422,
5,28.172393,
5,28.398083,
7,28.412238,
3,28.572466,
5,28.904130,
1,28.906933,
3,29.049620,
3,29.267049,
1,29.857632,
5,29.862866,
3,29.918219,
3,29.994741,
5,30.035721,
7,30.193576,
5,30.214986,
7,30.424805,
3,30.541214,
3,30.631676,
5,30.735963,
1,30.769315,
3,32.016406,
3,32.128515,
5,32.340145,
7,32.543961,
5,32.552597,
3,32.607762,
7,32.744688,
7,32.841536,
9,32.885191,
5,33.250852,
1,33.382873,
3,33.398072,
5,34.026342,
3,34.445919,
5,34.684043,
3,34.718330,
3,34.799405,
1,34.865213,
7,34.943145,
5,35.271833,
3,35.326127,
5,35.469802,
1,37.032075,
3,37.034426,
5,37.036846,
7,37.040732,
9,37.055988,
5,37.666747,
3,37.742528,
5,37.754288,
7,37.756438,
3,38.029372,
5,39.299269,
7,39.417371,
7,39.477928,
9,39.498859,
3,39.592598,
9,39.673172,
11,39.756962,
9,39.765435,
5,39.771718,
7,39.857792,
3,39.964355,
5,40.028778,
3,40.059142,
1,40.087717,
3,40.134766,
5,40.163269,
3,40.209160,
5,40.293842,
7,40.413339,
5,40.511703,
7,40.524959,
5,41.458774,
7,41.547849,
5,41.573476,
3,41.701980,
1,41.836019,
3,41.918567,
5,41.933336,
7,42.109270,
1,42.11327,
3,42.150235,
5,42.170190,
7,42.195283,
5,42.549213,
3,42.632311,
3,42.78739,
,52.20,

#ignore,test#7.39
