g,LeveleV
6,0.000000,
6,1.687959,
2,1.784931,
4,1.955476,
8,2.094150,
6,2.125074,
4,2.220423,
12,2.234195,
10,2.274560,
2,2.280404,
6,2.444825,
8,2.535882,
6,2.674203,
2,2.724423,
8,2.740824,
4,2.843797,
10,2.910068,
4,3.239547,
12,3.244674,
6,3.305391,
8,3.336425,
10,3.399774,
14,3.544444,
8,3.751200,
6,3.757004,
2,3.823146,
6,3.886321,
4,3.966197,
10,3.975969,
8,4.070761,
8,4.258779,
8,4.294950,
4,4.317834,
10,4.356803,
2,4.484006,
6,4.520956,
12,4.578429,
10,4.637821,
12,4.732210,
4,4.792754,
8,4.804674,
14,4.872610,
6,4.909244,
4,4.933334,
6,4.959442,
6,5.040576,
10,5.075291,
8,5.097724,
4,5.109420,
10,5.133574,
6,5.281794,
6,5.355085,
8,5.424355,
12,5.611096,
8,5.654675,
10,5.742302,
8,5.792319,
10,5.828718,
4,5.838541,
12,5.936543,
6,5.940114,
14,6.260804,
6,6.324120,
8,6.406135,
8,6.502253,
12,6.621092,
10,6.940100,
10,7.092750,
8,7.199678,
10,7.593187,
2,8.022949,
2,8.340946,
4,8.473079,
6,8.831460,
4,8.907316,
8,9.130227,
10,9.362956,
6,9.364411,
8,9.640991,
4,9.653607,
2,9.753518,
4,9.890089,
6,9.901588,
2,10.059620,
8,10.092888,
10,10.161431,
6,10.187389,
8,10.204079,
4,10.223735,
4,10.338550,
10,10.365730,
12,10.408497,
6,10.470934,
8,10.494706,
6,10.609640,
12,10.659596,
10,10.746774,
2,10.752351,
4,10.799737,
2,10.815361,
8,10.817774,
6,10.906158,
4,10.911614,
6,10.928389,
14,10.930162,
10,11.006629,
6,11.076789,
8,11.146594,
8,11.166786,
4,11.249786,
12,11.280622,
10,11.323473,
8,11.425486,
10,11.462223,
8,11.476911,
4,11.483074,
2,11.50159,
6,11.541320,
6,11.593046,
6,11.635865,
8,11.694136,
12,11.703919,
10,11.717995,
6,11.753492,
8,11.757317,
12,11.773660,
4,11.791871,
2,11.805236,
10,11.860543,
4,11.902984,
6,11.931788,
14,11.960432,
4,11.989401,
6,11.989412,
2,12.014095,
12,12.030553,
4,12.060172,
8,12.062031,
10,12.085526,
8,12.127557,
14,12.128886,
6,12.133158,
16,12.21747,
8,12.224382,
10,12.265380,
6,12.308867,
8,12.339915,
4,12.353088,
12,12.382867,
6,12.388884,
10,12.397605,
12,12.436843,
4,12.512984,
8,12.531809,
14,12.546003,
6,12.56356,
12,12.578568,
2,12.58743,
8,12.593086,
10,12.596452,
4,12.629494,
10,12.643348,
4,12.70150,
8,12.708878,
8,12.758269,
6,12.767900,
10,12.787667,
4,12.848430,
12,12.879493,
2,12.88300,
6,12.912453,
10,12.915868,
6,12.939663,
8,12.962796,
4,12.964460,
2,12.98628,
8,12.998946,
4,13.026544,
14,13.034481,
10,13.046999,
6,13.07398,
10,13.08105,
12,13.081417,
8,13.140409,
6,13.143305,
8,13.168488,
2,13.20168,
8,13.225386,
6,13.250197,
6,13.283843,
14,13.314130,
8,13.318539,
12,13.385237,
16,13.46012,
10,13.467797,
8,13.496413,
6,13.49743,
12,13.504944,
10,13.51610,
10,13.654995,
6,13.660586,
10,13.738966,
6,13.76151,
12,13.76686,
8,13.781042,
10,13.791447,
6,13.86991,
12,13.988724,
8,14.01172,
6,14.12032,
10,14.161497,
6,14.17098,
8,14.18540,
12,14.20229,
8,14.27894,
10,14.299941,
10,14.621377,
8,14.717059,
12,14.784322,
8,14.89712,
14,14.98290,
12,14.995100,
8,15.03477,
10,15.33058,
12,15.35149,
10,15.41012,
10,15.45386,
12,15.512407,
8,15.653315,
14,15.68961,
14,17.09888,
,27.0,

#ignore,test#20.23
