g,LeveleV
10,0.00000,
8,0.26629,
6,0.43217,
4,0.53586,
4,1.36347,
6,1.37155,
2,1.54606,
10,1.61551,
8,1.87582,
4,1.99503,
12,2.16036,
2,2.25428,
6,2.26607,
10,2.42716,
4,2.69027,
6,3.32290,
8,3.45786,
4,5.24508,
10,5.33405,
6,5.36249,
8,5.50420,
6,5.61378,
4,5.68797,
2,5.73142,
8,6.77350,
6,6.95875,
4,7.06866,
2,7.13297,
14,7.73072,
10,7.73687,
12,7.75343,
6,7.76269,
8,7.79477,
10,7.96245,
8,8.02586,
6,8.04333,
4,8.09373,
4,8.12421,
12,8.19586,
2,8.36821,
10,8.38053,
6,8.40302,
8,8.43332,
12,8.64439,
10,8.64751,
4,8.75604,
8,8.76231,
2,8.77594,
6,8.79616,
4,8.83493,
8,8.85644,
6,8.97576,
10,9.15178,
14,9.17593,
2,9.17835,
12,9.22078,
8,9.26667,
10,9.44548,
8,9.49502,
6,9.63435,
4,9.63906,
2,9.87467,
6,9.97504,
4,9.98973,
8,10.28216,
6,10.31164,
10,11.38407,
8,11.40922,
6,11.50897,
4,11.58174,
2,11.63087,
8,12.07338,
10,12.09679,
12,12.10158,
6,12.10458,
4,12.12180,
2,12.12743,
8,12.28016,
10,12.49233,
8,12.50327,
6,12.51521,
6,12.62873,
4,12.68029,
8,12.70178,
4,12.71274,
2,12.74896,
6,12.80925,
4,12.89188,
6,12.91707,
4,13.07950,
2,13.17155,
8,13.66425,
4,13.67061,
10,13.70799,
12,13.76733,
12,13.81356,
14,13.81623,
10,13.86354,
6,13.87482,
8,13.88964,
6,13.90536,
10,13.97614,
6,14.00792,
8,14.04918,
4,14.07638,
8,14.14298,
16,14.14882,
10,14.16271,
2,14.17601,
12,14.17949,
4,14.18788,
6,14.19680,
14,14.21502,
10,14.23352,
8,14.27648,
12,14.31332,
14,14.31819,
8,14.32981,
2,14.36124,
6,14.38121,
10,14.41882,
6,14.44577,
4,14.46722,
12,14.47611,
8,14.50212,
10,14.50499,
12,14.54016,
2,14.58482,
10,14.60198,
4,14.60536,
6,14.61399,
8,14.62028,
4,14.63967,
8,14.66057,
12,14.69664,
6,14.73544,
10,14.76694,
6,14.79308,
10,14.79777,
2,14.80841,
14,14.80938,
8,14.81371,
6,14.82671,
12,14.84152,
8,14.84233,
4,14.84876,
8,14.85258,
10,14.85606,
4,14.97011,
6,14.99262,
2,15.00186,
14,15.01411,
4,15.05235,
6,15.06027,
6,15.10405,
12,15.16539,
8,15.16587,
10,15.24373,
8,15.27304,
2,15.32146,
16,15.33093,
4,15.35052,
10,15.35115,
12,15.38845,
2,15.41186,
6,15.42841,
4,15.43075,
6,15.45918,
10,15.47351,
4,15.47586,
8,15.48201,
2,15.52180,
10,15.53844,
4,15.59989,
6,15.60874,
8,15.64844,
8,15.68794,
6,15.69315,
10,15.73903,
12,15.74160,
14,15.75361,
12,15.81079,
10,15.82015,
8,15.86037,
4,15.92219,
6,15.92562,
4,16.09818,
2,16.16952,
8,16.25569,
6,16.25909,
8,16.34419,
4,16.45113,
10,16.50429,
8,16.61336,
8,16.84382,
,31.06,

#ignore,test#33.18
