g,LeveleV
1,0.00000,
5,6.772060,
3,6.941755,
3,8.213330,
5,8.270680,
1,8.419335,
7,8.435820,
3,8.472101,
5,8.528864,
3,8.541438,
1,8.647151,
9,8.653849,
5,8.706520,
7,8.733499,
3,9.551666,
5,9.566830,
1,9.620532,
7,9.621735,
3,9.630823,
3,9.647969,
5,9.649420,
9,9.681730,
1,9.691010,
5,9.692254,
7,9.699367,
5,9.729780,
7,9.748664,
5,9.872428,
3,9.873981,
5,9.874713,
9,9.88034,
7,9.887169,
5,9.887742,
3,9.889336,
7,9.892102,
3,10.042480,
5,10.048831,
1,10.071751,
7,10.074155,
3,10.077837,
3,10.083630,
5,10.086303,
5,10.103534,
1,10.105985,
7,10.106498,
5,10.119503,
7,10.128909,
3,10.162526,
3,10.190329,
5,10.191001,
5,10.192887,
9,10.193847,
7,10.197295,
5,10.197832,
7,10.200264,
3,10.200920,
3,10.281660,
5,10.284973,
1,10.295962,
7,10.298745,
3,10.300525,
3,10.302621,
5,10.305159,
9,10.312024,
5,10.313831,
7,10.315411,
1,10.315978,
5,10.322185,
7,10.327539,
3,10.346404,
3,10.361988,
5,10.362420,
9,10.364153,
5,10.364481,
7,10.366066,
5,10.366407,
7,10.367856,
3,10.368859,
1,10.423981,
7,10.426990,
3,10.42812,
3,10.428509,
5,10.43099,
9,10.434772,
5,10.435725,
7,10.436659,
1,10.437369,
5,10.440709,
7,10.443995,
3,10.465221,
5,10.465557,
9,10.466627,
5,10.467168,
7,10.507208,
5,10.50981,
9,10.512103,
5,10.512774,
7,10.513306,
5,10.515906,
7,10.518064,
9,10.533038,
7,10.533786,
9,10.564008,
7,10.564806,
9,10.578590,
1,10.6597,
,10.74850,
3,10.7932,

#ignore,test#1.04
