g,LeveleV
10,0.0000000,
8,0.1888610,
6,0.3092098,
4,0.3848792,
6,1.0236990,
4,1.0510810,
10,1.1346829,
2,1.1621963,
8,1.2585548,
6,1.3454978,
10,1.34658,
4,1.4015143,
2,1.4387633,
8,1.52419,
4,1.60641,
6,1.80784,
12,1.81803,
2,1.83490,
10,1.99925,
4,2.10991,
8,2.4027080,
6,2.5435803,
4,2.6342668,
6,2.6728608,
2,2.6837569,
8,2.7635095,
14,3.2177109,
12,3.2372054,
10,3.2383274,
8,3.2816797,
6,3.3366365,
10,3.4151491,
8,3.4652619,
6,3.4888107,
4,3.5330227,
12,3.5978960,
4,3.6068477,
10,3.7319223,
6,3.7559022,
8,3.7740541,
2,3.7802191,
12,4.0447649,
10,4.0526696,
4,4.0776784,
2,4.0866442,
6,4.0938538,
8,4.1327628,
4,4.1826126,
8,4.2202547,
4,4.3138247,
6,4.3182971,
6,4.3764714,
6,4.44578,
14,4.4559825,
10,4.4654530,
2,4.4752478,
12,4.4919484,
8,4.5274184,
10,4.6411467,
8,4.7091376,
6,4.8331663,
4,4.9236824,
2,4.98741,
4,5.30034,
6,5.40694,
10,5.7617342,
8,5.7915395,
6,5.8626474,
4,5.9151496,
2,5.9492755,
12,6.2932741,
10,6.3040749,
8,6.3062068,
6,6.3455208,
4,6.3625326,
2,6.3703597,
8,6.3912857,
6,6.5489607,
10,6.5668112,
8,6.6105254,
4,6.6561632,
6,6.7033024,
8,6.7231659,
4,6.7774483,
6,6.7936735,
2,6.8168915,
4,6.8469633,
6,6.9053707,
4,7.0256089,
2,7.0998344,
4,7.7423914,
8,7.7523534,
10,7.7995027,
12,7.8492116,
12,7.8753352,
14,7.8839722,
6,7.9099526,
10,7.9166062,
8,7.9277467,
6,7.9381741,
10,7.9828144,
6,7.9925350,
8,8.0278816,
4,8.0492881,
8,8.0854394,
6,8.0893613,
16,8.0912785,
10,8.0995222,
12,8.1175503,
4,8.1220269,
14,8.1267728,
10,8.1552474,
8,8.1845581,
14,8.2076161,
12,8.2139183,
8,8.2249256,
2,8.2615406,
6,8.2637282,
6,8.3192932,
4,8.3197588,
10,8.3274876,
12,8.3691567,
12,8.3815985,
8,8.3870867,
4,8.4185894,
10,8.4186928,
6,8.4243540,
2,8.44294,
10,8.4458906,
8,8.4594009,
8,8.4639026,
12,8.4716584,
4,8.4862491,
6,8.5269332,
10,8.5433788,
6,8.5617492,
10,8.5773797,
14,8.5935071,
8,8.6050614,
2,8.6094506,
8,8.6234598,
10,8.6309439,
4,8.6317808,
6,8.6350836,
12,8.6351482,
8,8.6362292,
4,8.6976223,
6,8.7497480,
4,8.7755874,
2,8.8074262,
6,8.8171803,
12,8.8280900,
6,8.8771265,
14,8.9018981,
4,8.91026,
10,8.9177661,
8,8.9281833,
8,8.9577153,
4,8.9917985,
4,9.02118,
4,9.0244067,
16,9.0388768,
6,9.03954,
6,9.0472007,
8,9.0685353,
2,9.0751214,
8,9.07728,
10,9.0779543,
6,9.0861209,
4,9.0900198,
10,9.0959492,
2,9.1438755,
8,9.1513394,
12,9.1687535,
10,9.1805614,
4,9.2483241,
8,9.2485284,
6,9.3133968,
10,9.3417879,
8,9.3523713,
12,9.3809421,
14,9.3967292,
12,9.4135894,
10,9.4710663,
8,9.5440494,
4,9.58307,
6,9.6483789,
4,9.7473344,
6,9.80899,
8,9.8572524,
8,9.8944981,
6,10.13220,
4,10.19640,
2,10.24739,
10,10.4780856,
8,10.5896279,
6,10.6797087,
8,10.7173448,
4,10.7373187,
6,10.8516306,
12,11.0660065,
10,11.0776627,
8,11.1061053,
6,11.1527161,
8,11.17913,
8,11.2133790,
4,11.2256869,
6,11.2361117,
10,11.2374200,
6,11.26147,
2,11.2655925,
8,11.2870781,
4,11.2981911,
4,11.34501,
8,11.3662077,
6,11.3689251,
10,11.3793968,
8,11.81877,
6,11.86695,
8,11.91603,
4,11.94584,
10,11.96469,
12,11.99205,
8,12.75368,
10,12.82421,
,16.76,

#ignore,test#55.5
