g,LeveleV
4,0.000000,
4,1.841530,
6,1.845471,
2,3.040691,
4,3.046483,
6,9.843774,
4,9.888587,
2,9.914100,
4,12.136905,
6,12.140391,
4,13.092615,
2,13.147810,
2,13.583794,
4,13.617382,
4,13.660210,
6,13.671564,
6,13.677118,
8,13.701334,
10,13.733303,
2,14.002474,
4,14.067438,
2,14.154321,
4,14.159062,
6,14.162844,
8,14.168831,
6,14.233928,
8,14.293594,
2,14.851295,
4,15.067641,
6,15.067802,
2,15.558193,
8,15.761752,
10,15.761907,
2,15.848290,
4,15.867044,
6,15.898891,
8,15.944264,
2,16.091640,
4,16.100362,
6,16.134580,
6,16.192610,
4,16.197433,
4,16.219470,
2,16.235599,
4,16.245507,
6,16.265139,
2,16.523210,
4,16.534639,
4,16.539488,
6,16.590926,
2,16.902616,
6,17.172948,
8,17.175281,
2,17.338569,
4,17.359867,
6,17.386317,
8,17.397367,
6,17.445679,
4,17.450818,
2,17.790362,
4,17.807052,
6,17.854893,
4,17.871350,
4,18.040413,
2,18.086525,
6,18.459582,
4,18.461360,
2,18.629681,
4,18.663504,
6,18.721169,
2,18.769200,
2,18.802417,
4,18.834542,
4,18.840600,
6,18.857332,
8,18.883413,
10,18.921905,
2,18.988664,
4,18.994621,
6,19.004679,
8,19.020880,
6,19.319058,
4,19.345197,
6,19.356624,
2,19.359944,
2,19.362245,
4,19.375858,
8,19.416442,
2,19.444411,
4,19.458018,
6,19.487054,
8,19.534798,
4,19.537390,
2,19.549496,
6,19.594289,
4,19.604226,
4,19.616233,
6,19.678209,
4,19.692201,
2,19.748657,
6,19.774591,
4,19.774976,
6,19.850380,
8,19.853453,
6,19.869463,
8,19.872713,
10,19.892356,
4,19.894782,
6,19.895436,
8,19.897376,
4,19.928436,
2,19.928436,
12,19.940216,
10,19.951655,
4,19.988863,
6,19.992882,
8,20.002327,
10,20.006114,
6,20.009370,
8,20.017864,
6,20.052349,
4,20.052955,
8,20.355871,
6,20.362218,
10,20.366734,
8,20.375267,
2,20.546566,
4,20.580304,
2,20.600174,
4,20.604372,
2,20.622439,
6,20.640867,
4,20.654662,
6,20.669315,
4,20.688339,
8,20.695228,
2,20.736957,
10,20.738731,
4,20.741545,
6,20.750613,
4,20.763934,
6,20.768145,
8,20.776681,
6,20.856262,
4,20.878677,
6,20.884288,
8,20.888049,
2,20.890151,
2,20.966911,
6,20.988484,
4,20.995533,
2,21.038571,
8,21.040406,
4,21.067676,
6,21.079202,
6,21.108906,
8,21.114283,
6,21.138938,
8,21.139915,
10,21.150122,
8,21.154184,
8,21.154364,
10,21.154416,
4,21.157649,
6,21.159531,
8,21.185459,
10,21.185484,
12,21.193318,
10,21.193387,
6,21.195130,
8,21.195162,
10,21.197066,
4,21.201321,
2,21.201321,
8,21.202279,
12,21.203237,
10,21.216846,
4,21.223946,
6,21.224728,
8,21.224779,
6,21.226624,
8,21.234014,
10,21.236173,
6,21.239103,
8,21.245700,
14,21.253477,
12,21.253498,
12,21.262725,
4,21.297861,
6,21.297861,
10,21.303197,
12,21.303197,
2,21.370376,
4,21.370376,
2,21.488548,
4,21.523132,
2,21.542132,
6,21.585413,
4,21.607287,
4,21.614080,
6,21.617999,
10,21.638872,
6,21.683937,
4,21.699687,
2,21.707589,
12,21.890630,
10,21.897432,
8,21.908148,
10,21.909559,
6,21.954661,
4,21.954752,
8,22.090685,
10,22.099023,
6,22.111883,
6,22.174445,
4,22.182658,
2,22.189368,
12,22.304740,
8,22.483358,
10,22.483358,
6,22.497915,
8,22.497915,
10,22.531901,
12,22.531901,
4,22.536657,
6,22.536657,
2,22.580060,
4,22.580060,
4,22.892785,
6,22.892785,
6,23.210540,
8,23.210540,
,23.33788,
,23.37494,
,23.44120,
,24.7417,
,26.7055,

#ignore,test#5.87
