g,LeveleV
2,0.000000,
2,8.838529,
4,8.895698,
6,19.883893,
4,19.884040,
2,24.050317,
2,27.061642,
4,27.081704,
6,30.997044,
4,30.997059,
6,31.507742,
8,31.507984,
2,32.907632,
2,34.282086,
4,34.291429,
4,36.141084,
6,36.141096,
8,36.416514,
6,36.416514,
10,36.431259,
8,36.431259,
2,37.155206,
2,37.894667,
4,37.899771,
6,38.920490,
4,38.920490,
8,39.083572,
6,39.083572,
10,39.092872,
8,39.092872,
10,39.094370,
12,39.094370,
2,39.519069,
2,39.961710,
4,39.964797,
4,40.587711,
6,40.587711,
6,40.691619,
8,40.691619,
10,40.697769,
8,40.697769,
10,40.698696,
12,40.698696,
12,40.699147,
14,40.699147,
2,40.969296,
2,41.254982,
4,41.256972,
6,41.665082,
4,41.665082,
8,41.735133,
6,41.735133,
8,41.739366,
10,41.739366,
,45.14179,

#ignore,test#2.0
