g,LeveleV
1,0.000000,
3,0.036275,
5,0.100665,
7,0.184681,
9,0.281827,
11,0.387508,
13,0.498498,
3,1.339166,
5,1.369393,
7,1.414226,
9,1.472622,
5,1.526631,
11,1.543027,
7,1.592780,
5,1.618000,
13,1.623666,
3,1.657588,
9,1.668636,
7,1.679093,
1,1.680135,
5,1.697065,
3,1.702617,
1,1.710531,
15,1.712829,
3,1.735717,
3,1.739058,
7,1.742809,
9,1.754910,
11,1.760929,
5,1.781095,
5,1.782955,
5,1.804032,
9,1.805703,
17,1.809140,
7,1.811712,
5,1.832922,
11,1.841934,
3,1.842883,
7,1.849327,
7,1.849900,
5,1.864672,
13,1.870046,
19,1.911669,
7,1.922666,
7,1.924800,
5,1.930102,
9,1.931565,
1,1.932455,
13,1.936317,
3,1.939088,
3,1.940421,
1,1.958167,
7,1.963240,
3,1.973153,
5,1.978198,
3,1.997674,
5,1.998181,
9,2.000055,
7,2.009923,
11,2.026493,
9,2.027712,
15,2.032464,
5,2.068272,
3,2.069390,
7,2.076525,
11,2.090288,
9,2.094166,
5,2.131313,
13,2.131751,
7,2.137928,
17,2.141326,
5,2.165058,
9,2.170298,
11,2.180567,
13,2.188884,
3,2.203163,
1,2.208264,
7,2.210737,
5,2.214890,
9,2.226666,
5,2.241097,
15,2.246452,
5,2.253558,
7,2.257633,
3,2.259628,
13,2.268700,
1,2.270029,
7,2.272462,
11,2.275160,
5,2.283370,
3,2.290643,
9,2.294140,
5,2.329425,
11,2.332280,
7,2.349349,
3,2.353927,
15,2.356400,
5,2.356880,
17,2.372909,
9,2.377377,
9,2.379460,
7,2.381748,
13,2.387228,
11,2.388510,
7,2.417849,
5,2.439694,
13,2.444027,
7,2.452032,
9,2.478475,
3,2.490970,
11,2.498712,
9,2.499893,
11,2.502416,
7,2.503955,
15,2.505962,
9,2.528865,
7,2.536630,
13,2.553214,
9,2.568064,
5,2.574262,
13,2.610582,
11,2.611457,
3,2.627681,
9,2.633834,
13,2.640423,
11,2.660563,
11,2.678039,
7,2.690567,
11,2.704063,
5,2.704495,
1,2.732738,
13,2.747594,
3,2.766538,
15,2.785785,
5,2.788645,
7,2.806048,
13,2.807389,
5,2.832295,
9,2.838376,
5,2.838416,
3,2.840983,
13,2.844741,
7,2.880246,
3,2.881869,
7,2.890894,
15,2.893469,
5,2.898844,
5,2.919399,
9,2.925387,
3,2.929744,
7,2.939663,
15,2.942686,
9,2.951084,
5,2.956682,
7,2.957324,
5,2.973944,
9,2.975193,
7,2.994318,
3,2.998440,
7,3.005972,
9,3.014306,
11,3.015731,
3,3.022189,
7,3.033555,
11,3.033626,
5,3.037484,
9,3.046295,
9,3.054196,
11,3.058540,
9,3.071428,
5,3.088853,
7,3.095531,
11,3.096856,
9,3.107710,
13,3.131816,
9,3.147608,
11,3.148072,
11,3.155783,
9,3.170536,
7,3.174586,
11,3.175923,
9,3.181881,
11,3.183356,
5,3.199896,
13,3.203790,
5,3.221023,
5,3.230291,
11,3.231754,
3,3.241692,
15,3.244815,
13,3.246020,
7,3.250215,
5,3.250972,
7,3.256710,
3,3.258440,
11,3.262204,
9,3.270982,
3,3.277925,
13,3.282027,
11,3.286488,
7,3.300355,
9,3.305059,
7,3.310855,
7,3.312163,
5,3.313025,
9,3.316858,
11,3.319922,
5,3.321140,
3,3.323235,
1,3.325520,
3,3.342877,
9,3.342877,
13,3.363628,
7,3.368217,
17,3.371965,
11,3.379310,
15,3.380190,
3,3.380794,
15,3.383229,
5,3.389480,
5,3.397033,
9,3.398023,
7,3.400329,
13,3.410692,
3,3.415551,
9,3.419903,
5,3.425342,
11,3.428771,
5,3.430810,
5,3.435528,
15,3.436637,
9,3.438701,
13,3.444580,
9,3.444720,
15,3.445616,
7,3.449061,
11,3.453305,
3,3.457787,
5,3.461651,
1,3.462297,
7,3.470609,
5,3.479672,
15,3.488667,
7,3.491988,
1,3.492414,
9,3.493992,
7,3.499336,
3,3.500456,
15,3.502556,
19,3.509373,
11,3.512700,
7,3.515723,
5,3.516068,
17,3.517810,
9,3.521275,
9,3.524288,
5,3.526733,
9,3.529247,
5,3.533124,
7,3.534259,
11,3.537770,
7,3.544097,
13,3.545951,
3,3.547587,
11,3.557610,
3,3.558873,
9,3.559038,
3,3.559363,
7,3.563925,
9,3.564836,
9,3.577347,
7,3.577658,
13,3.578790,
3,3.584875,
7,3.588351,
7,3.595310,
11,3.598512,
5,3.600160,
5,3.600664,
5,3.603727,
11,3.604208,
3,3.611663,
11,3.614282,
9,3.614420,
5,3.614883,
5,3.620415,
9,3.621669,
7,3.623650,
7,3.630540,
9,3.640800,
13,3.642631,
21,3.653528,
1,3.653763,
11,3.654501,
5,3.654898,
9,3.655209,
11,3.656344,
5,3.658327,
9,3.660231,
7,3.663964,
9,3.664709,
19,3.665499,
11,3.670191,
15,3.673282,
5,3.674823,
7,3.675989,
9,3.676280,
3,3.676908,
9,3.678984,
5,3.685189,
9,3.686174,
17,3.687476,
13,3.688100,
7,3.691642,
13,3.695141,
11,3.695690,
3,3.696941,
9,3.701661,
13,3.710770,
15,3.713126,
5,3.724603,
3,3.728201,
11,3.730594,
13,3.730998,
3,3.732798,
7,3.735116,
5,3.735505,
5,3.737925,
9,3.743237,
11,3.748494,
3,3.749091,
7,3.750718,
13,3.751316,
15,3.754003,
11,3.754787,
13,3.758242,
7,3.759418,
15,3.760537,
11,3.760732,
9,3.761364,
5,3.769082,
3,3.770669,
11,3.771203,
5,3.773459,
7,3.778588,
5,3.786146,
7,3.788849,
13,3.788962,
11,3.788967,
15,3.790095,
13,3.792243,
5,3.793445,
9,3.796347,
11,3.798034,
13,3.801274,
11,3.805069,
17,3.806119,
7,3.812967,
3,3.812975,
7,3.813169,
15,3.814994,
9,3.815700,
7,3.817318,
5,3.818251,
5,3.821632,
7,3.823262,
5,3.831285,
3,3.832503,
11,3.833838,
11,3.835032,
7,3.838931,
9,3.844651,
13,3.845395,
11,3.846579,
3,3.848594,
11,3.849350,
5,3.851234,
13,3.856953,
17,3.859602,
9,3.862901,
13,3.865168,
7,3.866472,
15,3.869202,
11,3.869588,
3,3.870749,
9,3.872599,
5,3.874047,
9,3.883537,
7,3.886031,
7,3.887159,
9,3.888659,
3,3.892087,
9,3.895707,
5,3.897958,
7,3.903459,
9,3.904685,
3,3.905930,
13,3.905977,
9,3.906509,
17,3.909733,
11,3.913983,
3,3.916030,
7,3.917594,
9,3.926013,
17,3.930200,
5,3.932334,
13,3.933485,
19,3.936085,
11,3.937023,
5,3.941053,
7,3.945290,
13,3.948357,
13,3.950859,
7,3.954325,
9,3.955707,
1,3.958047,
11,3.958158,
