g,LeveleV
4,0.00000,
2,1.20611,
2,18.660130,
8,23.204923,
6,23.209934,
4,23.312019,
2,23.447847,
10,24.432330,
8,24.838998,
2,24.862458,
6,25.211495,
4,25.315058,
2,25.384959,
4,25.393073,
4,25.605727,
8,25.724022,
6,25.904986,
4,25.938867,
6,26.281311,
6,26.649909,
10,26.679872,
8,26.679955,
6,28.004457,
8,28.280514,
6,28.349504,
4,28.790424,
2,29.374914,
4,29.535265,
2,30.015687,
4,30.025448,
6,30.467247,
6,31.001847,
4,31.058494,
4,31.291872,
2,31.396741,
6,31.593772,
2,31.906712,
4,32.754340,
4,33.169401,
6,33.170400,
2,33.519165,
8,33.630647,
6,33.640454,
2,34.056968,
2,34.226416,
4,34.239372,
2,34.456925,
4,34.477278,
6,34.612138,
4,34.906990,
4,35.006383,
2,35.018160,
6,35.788675,
8,35.994087,
4,36.259758,
4,36.558926,
6,36.590060,
2,36.910727,
2,39.013713,
4,39.153180,
8,40.563485,
6,40.579571,
4,40.650190,
10,40.735183,
2,40.757807,
8,40.779478,
10,40.799299,
6,40.875242,
8,40.911553,
4,41.015391,
2,41.110046,
4,41.290530,
6,41.311037,
6,41.428562,
2,41.443902,
12,41.581709,
4,41.582951,
2,41.588160,
4,41.588873,
6,41.622345,
10,41.631408,
8,41.631458,
2,41.700069,
4,41.748422,
8,41.770061,
4,41.788557,
6,41.801436,
4,41.902175,
6,41.930754,
6,41.978719,
4,42.196523,
6,42.275270,
6,42.284244,
10,42.298165,
4,42.305513,
8,42.330762,
2,42.481483,
4,42.489392,
8,42.559644,
6,42.591109,
2,42.674848,
8,42.702329,
6,42.803850,
8,43.159379,
10,43.184771,
6,43.388559,
4,43.420640,
10,43.450229,
6,43.457749,
2,43.477596,
8,43.483123,
4,43.497676,
6,43.539127,
8,43.566237,
6,43.573434,
8,43.575741,
6,43.608581,
2,43.609618,
4,43.651814,
6,43.696125,
4,43.719816,
2,43.784849,
10,43.785785,
12,43.790257,
4,43.799238,
4,43.877901,
8,43.882641,
4,43.944377,
6,43.994782,
4,44.006586,
6,44.060515,
8,44.328173,
10,44.370818,
2,44.405128,
2,44.534822,
4,44.538676,
6,44.562487,
2,44.677054,
4,44.684277,
8,44.701180,
4,44.729788,
2,44.782388,
4,44.808668,
6,44.817597,
6,45.098430,
4,45.538319,
6,45.677267,
6,45.944858,
8,46.028758,
4,46.221896,
6,46.250587,
6,46.286629,
4,46.334197,
8,46.644187,
6,46.654920,
4,46.680430,
6,46.716935,
8,46.729512,
10,46.742327,
2,46.745798,
8,46.785269,
10,46.806724,
12,46.810538,
10,46.837134,
8,46.869599,
2,46.893542,
2,46.924827,
6,46.931088,
6,46.976694,
4,46.979469,
6,46.998313,
4,47.074412,
8,47.109304,
6,47.217533,
12,47.472508,
10,47.473278,
8,47.475390,
10,47.477569,
6,47.502578,
8,47.504730,
14,47.520292,
12,47.521410,
4,47.541870,
6,47.542653,
2,47.696140,
8,47.733807,
4,47.753517,
6,47.757651,
4,47.794639,
6,47.826282,
6,47.947856,
4,48.021723,
4,48.040498,
2,48.051018,
2,48.141085,
6,48.507927,
8,48.509748,
12,48.517916,
10,48.519541,
10,48.565776,
8,48.565992,
10,48.583728,
8,48.584014,
8,49.183504,
10,49.197635,
4,49.247020,
2,49.260658,
6,49.300054,
2,49.341372,
6,49.354840,
8,49.357078,
4,49.382900,
6,49.534445,
4,49.539195,
14,49.970472,
12,49.970591,
8,50.013733,
6,50.014745,
10,50.065581,
8,50.066801,
10,50.072748,
12,50.072836,
12,50.170537,
10,50.171168,
8,50.174151,
10,50.175191,
8,50.189291,
14,50.196333,
12,50.197203,
4,50.209947,
6,50.211330,
10,50.216422,
12,50.216581,
12,50.216823,
14,50.216892,
8,50.224275,
10,50.224422,
16,50.230875,
14,50.231054,
8,50.235994,
6,50.236249,
12,51.249909,
14,51.250033,
10,51.264993,
12,51.265020,
10,51.305538,
16,52.727076,
14,52.727195,
8,52.742809,
10,52.742876,
12,52.757700,
14,52.757788,
12,52.759105,
10,52.759296,
,56.280,

#ignore,test#4.6
