g,LeveleV
5,0.0000000,
1,0.5835310,
3,0.5890132,
5,1.3090099,
1,2.8762340,
5,5.4866727,
3,5.7842023,
3,6.7149958,
5,6.7198347,
7,6.7615210,
3,6.7799378,
5,6.8042615,
3,6.8632286,
5,6.9019224,
7,6.9031577,
1,6.9194505,
9,6.9203292,
5,6.9204646,
1,6.9216086,
3,6.9247076,
7,7.0475765,
5,7.0812591,
5,7.2645360,
3,7.2835849,
7,7.2936124,
5,7.5171358,
3,7.5795580,
5,7.8478059,
3,7.8800274,
5,7.8867364,
3,7.8940670,
7,7.9028907,
5,7.9252541,
1,7.9306631,
1,7.9328144,
3,7.9341885,
7,7.9408920,
5,7.9422777,
9,7.9427225,
3,7.9460229,
3,7.9731931,
5,7.9892504,
5,8.0049752,
7,8.0122156,
3,8.0374605,
5,8.0466051,
7,8.0492043,
9,8.1452303,
7,8.1453321,
3,8.1462347,
11,8.1468243,
5,8.1470374,
7,8.1475563,
9,8.1476461,
5,8.1482094,
3,8.1505541,
5,8.1746277,
1,8.1834351,
3,8.1965403,
7,8.2509115,
7,8.2992693,
3,8.3017755,
9,8.3035423,
5,8.3069382,
9,8.35903,
7,8.36004,
5,8.3937435,
7,8.4577714,
9,8.4578106,
5,8.4578866,
11,8.4579150,
7,8.4584610,
5,8.4758827,
3,8.4814708,
5,8.5057947,
3,8.5067992,
7,8.5253004,
3,8.5450202,
7,8.5725570,
9,8.5742748,
3,8.63194,
5,8.637694,
7,8.69552,
5,8.69629,
9,8.6963936,
5,8.735927,
3,8.73676,
7,8.77361,
9,8.77364,
5,8.79477,
3,8.79510,
7,8.82547,
9,8.82564,
3,8.83938,
3,8.84285,
5,8.84454,
7,8.86230,
7,8.87104,
3,8.87501,
7,8.88856,
7,8.89500,
3,8.89846,
7,8.90855,
7,8.91324,
3,8.91611,
7,8.92395,
7,8.92745,
7,8.93609,
7,8.93876,
7,8.94586,
7,8.94794,
7,8.95547,
7,8.96191,
7,8.96701,
7,8.97142,
7,8.97525,
7,8.97827,
7,8.98112,
7,8.98328,
,9.009808,

#ignore,test#8.86
