g,LeveleV
5,0.0000000000,
1,0.3171586159,
7,0.3557427977,
5,0.4572521355,
3,0.4792576672,
9,0.6151672932,
3,0.6897416420,
5,0.7888365657,
5,0.902620242,
7,0.9301651190,
9,0.966490959,
9,1.005636397,
5,1.022076397,
9,1.0910919079,
11,1.215641081,
9,1.291188428,
7,1.305125170,
5,1.336940873,
11,1.388254945,
7,1.393796936,
3,1.438344449,
5,1.463377110,
3,1.472664364,
5,1.501989980,
7,1.592945153,
7,1.622774763,
9,1.633505867,
9,1.648671592,
5,1.716904709,
7,1.728997759,
3,1.731131837,
5,1.739756853,
11,1.761104381,
9,1.761433209,
1,1.763900930,
3,1.766030147,
1,1.766440990,
5,1.793458939,
13,1.795523000,
7,1.880456013,
11,1.920524884,
9,1.920914392,
7,1.936507287,
3,1.951135368,
5,1.966871474,
7,1.980039530,
5,2.010711511,
9,2.026726250,
1,2.02738205,
13,2.052464528,
9,2.080931827,
3,2.116882543,
11,2.128325734,
5,2.135541319,
3,2.151700954,
7,2.157126090,
7,2.158716703,
11,2.169869268,
5,2.212755599,
9,2.226743183,
11,2.233126549,
9,2.238363337,
7,2.240278611,
1,2.279180032,
7,2.285237890,
5,2.299833145,
3,2.302958156,
3,2.307883790,
5,2.318457821,
9,2.332128677,
7,2.347057245,
5,2.360554170,
13,2.383885923,
5,2.389582246,
7,2.418081613,
5,2.419797174,
9,2.421710998,
11,2.428647391,
7,2.444104358,
3,2.457017414,
3,2.45886881,
9,2.473285786,
13,2.477968921,
5,2.486474731,
7,2.506331889,
11,2.519639824,
3,2.532190560,
5,2.544492306,
1,2.547112309,
9,2.549936368,
1,2.569497625,
3,2.571095889,
15,2.587299228,
5,2.594012580,
11,2.613233808,
11,2.621450226,
7,2.624137715,
1,2.62549014,
5,2.634986930,
9,2.670569119,
5,2.674963685,
3,2.67540722,
7,2.677398258,
9,2.683744315,
3,2.686608273,
5,2.695174721,
7,2.714030537,
9,2.715535366,
15,2.715676522,
9,2.739826117,
7,2.745209091,
9,2.747878354,
5,2.758518172,
7,2.769682369,
3,2.776852395,
11,2.777171240,
3,2.77739581,
1,2.785375645,
5,2.790642114,
5,2.79161383,
7,2.806687780,
7,2.810708039,
7,2.833695961,
3,2.836450667,
11,2.836458818,
5,2.850213586,
11,2.853515099,
9,2.855726329,
3,2.857768661,
5,2.863288782,
9,2.865714673,
7,2.876680128,
11,2.886028261,
13,2.889678365,
7,2.89569723,
1,2.902494738,
3,2.911319332,
7,2.916238418,
5,2.926463589,
11,2.927163739,
17,2.928693548,
1,2.92983046,
9,2.932863424,
3,2.943518113,
5,2.944957708,
3,2.947089041,
9,2.965317362,
5,2.974431955,
9,2.979616340,
13,2.986152316,
5,2.998239060,
9,3.000735574,
9,3.00175785,
9,3.007828712,
11,3.009680634,
5,3.013776541,
5,3.022900075,
7,3.025104795,
7,3.027825377,
7,3.045256708,
3,3.053467308,
7,3.058036741,
5,3.058925227,
11,3.062539110,
7,3.071053350,
3,3.079633793,
13,3.081045536,
3,3.084754205,
7,3.089068601,
7,3.097262925,
15,3.121927628,
5,3.137638544,
7,3.139517852,
13,3.141325392,
9,3.143690619,
9,3.149838693,
7,3.154490970,
3,3.164859140,
9,3.170901474,
11,3.185212758,
5,3.186815564,
11,3.193081366,
3,3.19960279,
3,3.199945790,
9,3.208401254,
5,3.209999907,
9,3.214045292,
7,3.228095898,
9,3.229607614,
7,3.235613756,
3,3.237418215,
5,3.237632718,
13,3.25238966,
9,3.255277300,
3,3.25917875,
5,3.268608042,
11,3.270770347,
9,3.271313846,
1,3.28308397,
5,3.28610875,
7,3.286576628,
11,3.30360932,
5,3.304405516,
13,3.313312690,
9,3.321589636,
7,3.322289894,
7,3.332467345,
1,3.33300996,
11,3.34177856,
9,3.344035236,
7,3.347049387,
13,3.347232112,
7,3.353056141,
5,3.35518781,
13,3.358046648,
3,3.35848156,
11,3.371299378,
7,3.379830080,
9,3.380556465,
3,3.38446845,
7,3.38692477,
7,3.390191811,
5,3.40308647,
9,3.409018576,
9,3.412234530,
5,3.417854251,
11,3.420947469,
7,3.423485323,
7,3.430762016,
5,3.43117903,
5,3.444822294,
11,3.453299761,
9,3.465185702,
13,3.468044929,
7,3.469162908,
3,3.47461842,
11,3.475774027,
9,3.489022961,
13,3.49490942,
1,3.49721958,
9,3.499817899,
5,3.505432323,
11,3.511357580,
11,3.514022553,
3,3.51455757,
5,3.514647921,
7,3.515992941,
3,3.51776780,
3,3.527414465,
9,3.53108995,
5,3.53519838,
15,3.535818990,
5,3.537399515,
9,3.541319107,
7,3.544622612,
3,3.55204085,
5,3.55505278,
7,3.55540088,
5,3.555775009,
9,3.555958097,
9,3.576394271,
5,3.580968332,
7,3.581278217,
5,3.585369560,
9,3.587191615,
7,3.587471399,
11,3.601832121,
3,3.607641697,
9,3.60843659,
13,3.61089694,
11,3.613089262,
3,3.61501853,
7,3.615115998,
3,3.62000693,
5,3.62007897,
5,3.62688332,
1,3.63270548,
9,3.633978949,
11,3.64478234,
5,3.647415558,
5,3.647519877,
3,3.64787360,
13,3.664045428,
3,3.67492346,
5,3.676250265,
11,3.680371824,
7,3.68064053,
11,3.68377145,
11,3.686462224,
7,3.687850466,
9,3.689323229,
7,3.699074652,
9,3.700824493,
5,3.70131815,
9,3.704828438,
3,3.71478941,
7,3.720932959,
9,3.721302531,
7,3.72164568,
5,3.735971992,
9,3.73936395,
5,3.74538650,
7,3.75119785,
3,3.75436674,
3,3.755097039,
13,3.765736753,
11,3.782510451,
11,3.783638922,
9,3.78367396,
5,3.787043357,
9,3.788027797,
5,3.78812550,
13,3.790563314,
1,3.79560684,
7,3.800259527,
3,3.80926728,
15,3.809636121,
5,3.813507442,
7,3.81396695,
11,3.817247465,
5,3.82032358,
3,3.82986374,
3,3.83467467,
13,3.834885895,
7,3.839127800,
9,3.839943932,
7,3.842334320,
9,3.84587992,
11,3.84730293,
5,3.85292158,
13,3.85386106,
5,3.85539172,
11,3.86102319,
7,3.861090414,
9,3.86765020,
13,3.869580753,
5,3.87399635,
7,3.87644482,
11,3.877110085,
7,3.87861182,
9,3.88404986,
1,3.88741036,
3,3.89673081,
7,3.90846969,
7,3.910119702,
5,3.91781048,
11,3.92122670,
9,3.92672227,
3,3.93187707,
13,3.932256566,
11,3.93235627,
7,3.939547616,
7,3.94032446,
9,3.941916225,
5,3.95138787,
3,3.95687075,
7,3.958753644,
9,3.96172489,
9,3.966955146,
9,3.969100925,
11,3.970418531,
5,3.97260668,
3,3.97746445,
5,3.98739166,
5,3.98762282,
7,3.99193347,
11,3.992538831,
7,4.00285184,
11,4.003936309,
9,4.00395603,
15,4.004006913,
5,4.01664357,
9,4.02192919,
9,4.024301377,
5,4.02993511,
7,4.03588578,
5,4.03883734,
3,4.04256796,
3,4.04819594,
3,4.05001280,
11,4.05263141,
5,4.05554085,
11,4.058872721,
7,4.06104126,
9,4.064400484,
7,4.06620149,
9,4.07442750,
13,4.077323828,
5,4.08584817,
11,4.086940295,
7,4.09685041,
13,4.099920103,
7,4.10380423,
3,4.11153661,
11,4.118077806,
9,4.12502190,
3,4.12543271,
7,4.12804465,
5,4.12831753,
5,4.12979498,
1,4.13516209,
3,4.13992706,
7,4.14214662,
9,4.14331890,
5,4.14442487,
9,4.14841005,
9,4.15688760,
9,4.16091642,
7,4.16151146,
7,4.16477456,
13,4.166302781,
5,4.16665018,
3,4.17358428,
5,4.17690917,
5,4.18055062,
5,4.180911947,
5,4.18257062,
3,4.18739544,
9,4.19063238,
7,4.19074289,
9,4.194619190,
11,4.19623999,
7,4.21148155,
9,4.21562743,
11,4.21718819,
5,4.22637761,
3,4.22924662,
7,4.23622737,
11,4.23811527,
3,4.25241960,
9,4.25283683,
5,4.25564399,
9,4.25819334,
5,4.26156312,
13,4.265995087,
7,4.26880376,
7,4.26894195,
5,4.27058592,
9,4.27090529,
11,4.27260422,
9,4.27646556,
17,4.284740002,
7,4.28774592,
3,4.28873820,
13,4.29108020,
7,4.30279874,
7,4.30320923,
7,4.30540402,
3,4.31155123,
5,4.31330277,
11,4.32073257,
5,4.32105690,
9,4.32374478,
7,4.32383353,
3,4.32440286,
11,4.32539626,
13,4.332437548,
3,4.33818103,
5,4.34137151,
3,4.34515286,
11,4.34949185,
13,4.34967366,
7,4.350529842,
5,4.35293835,
11,4.35407139,
9,4.35571542,
5,4.35801477,
11,4.36635012,
7,4.36930466,
11,4.37340379,
11,4.37675560,
3,4.38019079,
9,4.38301972,
5,4.38854282,
7,4.38969965,
3,4.39164486,
7,4.39411168,
7,4.39673440,
5,4.40114342,
5,4.40556628,
7,4.41092598,
11,4.41164156,
9,4.41803500,
3,4.42361342,
9,4.43038363,
1,4.43660767,
9,4.43793712,
13,4.43863106,
7,4.44018652,
7,4.44251365,
5,4.44828182,
5,4.44928223,
5,4.46929602,
9,4.47122650,
7,4.47261364,
9,4.47455170,
11,4.47985633,
